Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario0_1000rps,1,Baseline0,0,1000,1000.0021950325959,0.086,0.083,0.0,0.1,0.106,0.14,2.407,0
1replicas_scenario1_1000rps,1,Baseline1,1,1000,1000.0002426056144,0.086,0.084,0.0,0.099,0.106,0.14,2.314,0
1replicas_scenario2_1000rps,1,Baseline2,2,1000,1000.0011555013352,0.088,0.085,0.0,0.101,0.11,0.141,2.427,0
1replicas_scenario11_1000rps,1,1_iBench_CPU_pod,11,1000,1000.0051849491057,0.09,0.085,0.0,0.101,0.109,0.156,3.988,0
1replicas_scenario12_1000rps,1,2_iBench_CPU_pods,12,1000,1000.0020916543749,0.095,0.085,0.0,0.103,0.114,0.181,3.963,0
1replicas_scenario13_1000rps,1,3_iBench_CPU_pods,13,1000,1000.0012449626611,0.115,0.085,0.0,0.105,0.126,1.211,5.693,0
1replicas_scenario14_1000rps,1,4_iBench_CPU_pods,14,1000,1000.003787392122,0.12,0.085,0.0,0.105,0.123,1.404,6.305,0
1replicas_scenario21_1000rps,1,1_stress-ng_l3_pod,21,1000,1000.0041662340241,0.105,0.098,0.0,0.136,0.151,0.209,2.762,0
1replicas_scenario22_1000rps,1,2_stress-ng_l3_pods,22,1000,1000.0017700642443,0.143,0.121,0.0,0.218,0.329,0.449,3.215,0
1replicas_scenario23_1000rps,1,3_stress-ng_l3_pods,23,1000,1000.0052504109001,0.398,0.235,0.0,0.832,1.356,1.974,6.763,0
1replicas_scenario24_1000rps,1,4_stress-ng_l3_pods,24,1000,1000.0043671357384,0.504,0.387,0.0,0.992,1.531,2.147,7.993,0
1replicas_scenario31_1000rps,1,1_iBench_memBW_pod,31,1000,1000.0015340745756,0.098,0.094,0.0,0.122,0.133,0.177,3.612,0
1replicas_scenario32_1000rps,1,2_iBench_memBW_pods,32,1000,1000.00041765573,0.112,0.101,0.0,0.154,0.171,0.236,4.274,0
1replicas_scenario33_1000rps,1,3_iBench_memBW_pods,33,1000,1000.0020934154934,0.197,0.132,0.0,0.241,0.352,2.031,7.2,0
1replicas_scenario34_1000rps,1,4_iBench_memBW_pods,34,1000,1000.0032863719113,0.289,0.147,0.0,0.342,1.342,3.048,8.429,0
1replicas_scenario0_1500rps,1,Baseline0,0,1500,1500.0051117540431,0.085,0.083,0.0,0.101,0.108,0.135,2.478,0
1replicas_scenario1_1500rps,1,Baseline1,1,1500,1500.0033122406471,0.085,0.083,0.0,0.102,0.109,0.134,2.839,0
1replicas_scenario2_1500rps,1,Baseline2,2,1500,1500.0034096577504,0.085,0.083,0.0,0.102,0.11,0.136,2.208,0
1replicas_scenario11_1500rps,1,1_iBench_CPU_pod,11,1500,1500.001837618918,0.091,0.084,0.0,0.107,0.12,0.188,3.429,0
1replicas_scenario12_1500rps,1,2_iBench_CPU_pods,12,1500,1500.003555850096,0.111,0.085,0.0,0.112,0.133,1.058,5.382,0
1replicas_scenario13_1500rps,1,3_iBench_CPU_pods,13,1500,1500.005305521338,0.169,0.112,0.0,0.214,0.283,1.623,6.991,0
1replicas_scenario14_1500rps,1,4_iBench_CPU_pods,14,1500,1499.9828014414504,0.166,0.096,0.0,0.206,0.282,1.965,6.946,0
1replicas_scenario21_1500rps,1,1_stress-ng_l3_pod,21,1500,1500.003574507868,0.104,0.099,0.0,0.137,0.151,0.207,4.452,0
1replicas_scenario22_1500rps,1,2_stress-ng_l3_pods,22,1500,1500.0042996289912,0.144,0.118,0.0,0.23,0.353,0.5,3.744,0
1replicas_scenario23_1500rps,1,3_stress-ng_l3_pods,23,1500,1500.0013860183697,0.291,0.199,0.0,0.515,0.674,1.69,6.485,0
1replicas_scenario24_1500rps,1,4_stress-ng_l3_pods,24,1500,1500.0029597587668,0.498,0.379,0.0,0.926,1.498,2.345,9.503,0
1replicas_scenario31_1500rps,1,1_iBench_memBW_pod,31,1500,1500.0038799933695,0.095,0.09,0.0,0.117,0.128,0.174,2.685,0
1replicas_scenario32_1500rps,1,2_iBench_memBW_pods,32,1500,1500.004361279347,0.108,0.099,0.0,0.147,0.172,0.241,7.337,0
1replicas_scenario33_1500rps,1,3_iBench_memBW_pods,33,1500,1500.0012313843442,0.185,0.114,0.0,0.254,0.352,1.734,7.811,0
1replicas_scenario34_1500rps,1,4_iBench_memBW_pods,34,1500,1499.9711019317429,0.315,0.144,0.0,0.394,1.504,3.35,12.035,0
1replicas_scenario0_2000rps,1,Baseline0,0,2000,1999.999196895861,0.088,0.084,0.0,0.108,0.117,0.151,2.714,0
1replicas_scenario1_2000rps,1,Baseline1,1,2000,2000.0024168763007,0.088,0.084,0.0,0.109,0.12,0.172,2.752,0
1replicas_scenario2_2000rps,1,Baseline2,2,2000,2000.0023549583286,0.093,0.086,0.0,0.117,0.148,0.166,2.727,0
1replicas_scenario11_2000rps,1,1_iBench_CPU_pod,11,2000,2000.0025948589223,0.092,0.084,0.0,0.111,0.123,0.174,3.348,0
1replicas_scenario12_2000rps,1,2_iBench_CPU_pods,12,2000,2000.0013797342854,0.097,0.084,0.0,0.116,0.131,0.208,4.998,0
1replicas_scenario13_2000rps,1,3_iBench_CPU_pods,13,2000,1999.9970469879545,0.121,0.086,0.0,0.144,0.192,1.211,4.974,0
1replicas_scenario14_2000rps,1,4_iBench_CPU_pods,14,2000,2000.002095952463,0.172,0.098,0.0,0.229,0.343,1.93,7.121,0
1replicas_scenario21_2000rps,1,1_stress-ng_l3_pod,21,2000,2000.0020666412095,0.107,0.103,0.0,0.14,0.156,0.214,3.312,0
1replicas_scenario22_2000rps,1,2_stress-ng_l3_pods,22,2000,2000.0040288526404,0.193,0.13,0.0,0.396,0.466,0.672,6.703,0
1replicas_scenario23_2000rps,1,3_stress-ng_l3_pods,23,2000,2000.0089802514333,0.317,0.165,0.0,0.639,1.006,1.855,7.7,0
1replicas_scenario24_2000rps,1,4_stress-ng_l3_pods,24,2000,2000.0043634428532,0.552,0.393,0.0,1.155,1.794,2.735,8.964,0
1replicas_scenario31_2000rps,1,1_iBench_memBW_pod,31,2000,2000.0029219487133,0.096,0.092,0.0,0.122,0.134,0.18,3.172,0
1replicas_scenario32_2000rps,1,2_iBench_memBW_pods,32,2000,2000.0112719301944,0.115,0.1,0.0,0.169,0.199,0.306,3.931,0
1replicas_scenario33_2000rps,1,3_iBench_memBW_pods,33,2000,2000.0102911973986,0.187,0.11,0.0,0.263,0.388,1.775,7.164,0
1replicas_scenario34_2000rps,1,4_iBench_memBW_pods,34,2000,2000.011706179628,0.292,0.143,0.0,0.408,1.409,2.938,10.088,0
1replicas_scenario0_3000rps,1,Baseline0,0,3000,3000.0048182311393,0.093,0.087,0.0,0.119,0.134,0.175,2.779,0
1replicas_scenario1_3000rps,1,Baseline1,1,3000,3000.005948428461,0.093,0.087,0.0,0.119,0.134,0.174,2.631,0
1replicas_scenario2_3000rps,1,Baseline2,2,3000,3000.006372719783,0.092,0.086,0.0,0.117,0.132,0.171,2.943,0
1replicas_scenario11_3000rps,1,1_iBench_CPU_pod,11,3000,3000.0045559598007,0.099,0.088,0.0,0.125,0.144,0.242,3.608,0
1replicas_scenario12_3000rps,1,2_iBench_CPU_pods,12,3000,3000.0062303355876,0.106,0.089,0.0,0.134,0.157,0.294,3.756,0
1replicas_scenario13_3000rps,1,3_iBench_CPU_pods,13,3000,3000.0074797019815,0.113,0.089,0.0,0.14,0.168,0.436,3.918,0
1replicas_scenario14_3000rps,1,4_iBench_CPU_pods,14,3000,3000.0104304891715,0.263,0.165,0.0,0.388,0.825,2.523,9.723,0
1replicas_scenario21_3000rps,1,1_stress-ng_l3_pod,21,3000,3000.003265770222,0.113,0.106,0.0,0.154,0.175,0.25,3.139,0
1replicas_scenario22_3000rps,1,2_stress-ng_l3_pods,22,3000,3000.0023229838785,0.281,0.219,0.0,0.525,0.684,1.072,6.586,0
1replicas_scenario23_3000rps,1,3_stress-ng_l3_pods,23,3000,2999.996502037412,0.484,0.269,0.0,1.168,1.667,2.819,11.387,0
1replicas_scenario24_3000rps,1,4_stress-ng_l3_pods,24,3000,3000.014412464772,0.63,0.413,0.0,1.461,2.072,3.27,12.645,0
1replicas_scenario31_3000rps,1,1_iBench_memBW_pod,31,3000,3000.005550093601,0.103,0.096,0.0,0.138,0.154,0.219,3.308,0
1replicas_scenario32_3000rps,1,2_iBench_memBW_pods,32,3000,3000.0045249401587,0.131,0.111,0.0,0.198,0.245,0.371,5.623,0
1replicas_scenario33_3000rps,1,3_iBench_memBW_pods,33,3000,3000.0024753520424,0.309,0.162,0.0,0.527,1.373,2.817,8.198,0
1replicas_scenario34_3000rps,1,4_iBench_memBW_pods,34,3000,3000.0035914542996,0.28,0.157,0.0,0.42,1.198,2.497,8.148,0
2replicas_scenario0_1000rps,2,Baseline0,0,1000,1000.003792764385,0.088,0.086,0.0,0.102,0.111,0.143,3.126,0
2replicas_scenario1_1000rps,2,Baseline1,1,1000,1000.0042978129155,0.087,0.084,0.0,0.1,0.107,0.14,2.361,0
2replicas_scenario2_1000rps,2,Baseline2,2,1000,1000.0055763422065,0.086,0.084,0.0,0.099,0.107,0.14,2.54,0
2replicas_scenario11_1000rps,2,1_iBench_CPU_pod,11,1000,1000.0046323659031,0.091,0.085,0.0,0.101,0.109,0.151,3.895,0
2replicas_scenario12_1000rps,2,2_iBench_CPU_pods,12,1000,1000.0012509126759,0.097,0.085,0.0,0.103,0.113,0.185,4.094,0
2replicas_scenario13_1000rps,2,3_iBench_CPU_pods,13,1000,999.9992808727394,0.1,0.086,0.0,0.105,0.118,0.223,4.214,0
2replicas_scenario14_1000rps,2,4_iBench_CPU_pods,14,1000,1000.0036992803513,0.19,0.104,0.0,0.209,0.29,2.372,6.525,0
2replicas_scenario21_1000rps,2,1_stress-ng_l3_pod,21,1000,1000.0002399945021,0.11,0.102,0.0,0.147,0.164,0.219,3.49,0
2replicas_scenario22_1000rps,2,2_stress-ng_l3_pods,22,1000,1000.0041960564957,0.175,0.128,0.0,0.365,0.417,0.535,4.933,0
2replicas_scenario23_1000rps,2,3_stress-ng_l3_pods,23,1000,1000.0017354030116,0.293,0.243,0.0,0.483,0.631,1.457,3.742,0
2replicas_scenario24_1000rps,2,4_stress-ng_l3_pods,24,1000,999.9985416576824,0.519,0.388,0.0,1.059,1.561,2.342,6.833,0
2replicas_scenario31_1000rps,2,1_iBench_memBW_pod,31,1000,1000.0029119418127,0.1,0.095,0.0,0.124,0.137,0.189,3.641,0
2replicas_scenario32_1000rps,2,2_iBench_memBW_pods,32,1000,1000.000891089683,0.111,0.103,0.0,0.145,0.168,0.245,4.167,0
2replicas_scenario33_1000rps,2,3_iBench_memBW_pods,33,1000,999.999663105669,0.196,0.116,0.0,0.229,0.328,2.51,10.355,0
2replicas_scenario34_1000rps,2,4_iBench_memBW_pods,34,1000,1000.0024432948586,0.269,0.142,0.0,0.322,1.317,2.745,8.763,0
2replicas_scenario0_1500rps,2,Baseline0,0,1500,1500.0027834099183,0.085,0.083,0.0,0.101,0.108,0.134,2.633,0
2replicas_scenario1_1500rps,2,Baseline1,1,1500,1500.002282661807,0.085,0.083,0.0,0.101,0.108,0.135,2.264,0
2replicas_scenario2_1500rps,2,Baseline2,2,1500,1500.0052676184985,0.085,0.083,0.0,0.101,0.108,0.135,2.819,0
2replicas_scenario11_1500rps,2,1_iBench_CPU_pod,11,1500,1500.0052566128413,0.089,0.084,0.0,0.104,0.115,0.154,3.386,0
2replicas_scenario12_1500rps,2,2_iBench_CPU_pods,12,1500,1500.0047984864668,0.1,0.085,0.0,0.112,0.133,0.264,4.048,0
2replicas_scenario13_1500rps,2,3_iBench_CPU_pods,13,1500,1500.0052052626731,0.131,0.087,0.0,0.143,0.186,1.492,5.762,0
2replicas_scenario14_1500rps,2,4_iBench_CPU_pods,14,1500,1500.00515023435,0.203,0.144,0.0,0.24,0.361,2.359,7.858,0
2replicas_scenario21_1500rps,2,1_stress-ng_l3_pod,21,1500,1500.0036891257396,0.106,0.1,0.0,0.142,0.156,0.215,4.032,0
2replicas_scenario22_1500rps,2,2_stress-ng_l3_pods,22,1500,1500.0024071621963,0.155,0.124,0.0,0.269,0.385,0.567,3.06,0
