System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-04-12,18:36:41.722,4.64,86.66,0.0,4.64,86.66,0.0,0.43,0.44,1.07,3.73,87.32,0.0,0.86,17.13,0.49,0.43,1.08,3.72,88.15,0.0,0.98,19.67,0.54,1.29,3.29,11.27,79.41,0.0,1.08,21.53,0.52,0.42,1.04,3.66,87.93,0.0,1.03,20.69,0.46,0.42,1.06,3.75,87.3,0.0,0.91,18.29,0.5,0.46,1.09,3.8,88.08,0.0,0.99,19.83,0.45,0.42,1.0,3.51,87.17,0.0,0.9,17.97,0.48,0.46,1.08,3.71,87.88,0.0,0.96,19.25
2025-04-12,18:36:46.721,5.63,94.37,0.0,5.63,94.37,0.0,0.49,0.53,1.25,4.57,95.43,0.0,0.98,19.59,0.46,0.55,1.28,4.51,95.49,0.0,0.92,18.5,0.47,1.61,3.75,13.37,86.63,0.0,0.94,18.85,0.45,0.53,1.27,4.39,95.61,0.0,0.89,17.8,0.47,0.57,1.31,4.6,95.4,0.0,0.94,18.78,0.52,0.55,1.31,4.62,95.38,0.0,1.04,20.73,0.46,0.53,1.23,4.34,95.66,0.0,0.92,18.34,0.45,0.58,1.36,4.66,95.34,0.0,0.9,18.05
2025-04-12,18:36:51.722,5.82,94.18,0.0,5.82,94.18,0.0,0.45,0.54,1.33,4.7,95.3,0.0,0.91,18.19,0.46,0.59,1.32,4.65,95.35,0.0,0.92,18.41,0.49,1.7,3.79,13.69,86.31,0.0,0.98,19.65,0.48,0.53,1.3,4.69,95.31,0.0,0.97,19.3,0.46,0.57,1.34,4.73,95.27,0.0,0.93,18.5,0.51,0.57,1.31,4.79,95.21,0.0,1.03,20.51,0.49,0.55,1.26,4.56,95.44,0.0,0.97,19.49,0.49,0.57,1.36,4.72,95.28,0.0,0.99,19.71
2025-04-12,18:36:56.723,5.57,94.43,0.0,5.57,94.43,0.0,0.43,0.57,1.31,4.6,95.4,0.0,0.87,17.32,0.49,0.54,1.25,4.41,95.59,0.0,0.98,19.53,0.48,1.61,3.71,13.01,86.99,0.0,0.96,19.23,0.45,0.54,1.26,4.39,95.61,0.0,0.91,18.11,0.43,0.52,1.31,4.55,95.45,0.0,0.86,17.17,0.51,0.54,1.3,4.59,95.41,0.0,1.02,20.45,0.5,0.55,1.25,4.49,95.51,0.0,1.01,20.11,0.44,0.56,1.3,4.51,95.49,0.0,0.88,17.68
2025-04-12,18:37:01.725,5.91,94.09,0.0,5.91,94.09,0.0,0.42,0.56,1.37,4.84,95.16,0.0,0.84,16.81,0.47,0.6,1.39,4.81,95.19,0.0,0.93,18.64,0.52,1.67,3.86,14.0,86.0,0.0,1.05,20.91,0.46,0.55,1.32,4.73,95.27,0.0,0.92,18.48,0.44,0.54,1.35,4.82,95.18,0.0,0.88,17.55,0.5,0.56,1.3,4.66,95.34,0.0,1.0,19.99,0.48,0.6,1.3,4.63,95.37,0.0,0.95,19.07,0.46,0.57,1.37,4.79,95.21,0.0,0.91,18.25
2025-04-12,18:37:06.723,5.82,94.17,0.0,5.82,94.17,0.0,0.45,0.57,1.32,4.78,95.22,0.0,0.89,17.82,0.52,0.6,1.31,4.75,95.25,0.0,1.04,20.75,0.45,1.73,3.85,13.59,86.41,0.0,0.91,18.12,0.44,0.53,1.31,4.53,95.46,0.0,0.88,17.7,0.44,0.55,1.32,4.74,95.26,0.0,0.88,17.51,0.52,0.59,1.37,4.83,95.17,0.0,1.05,20.91,0.49,0.57,1.29,4.68,95.32,0.0,0.98,19.6,0.47,0.54,1.35,4.67,95.31,0.0,0.94,18.79
2025-04-12,18:37:11.723,5.81,94.19,0.0,5.81,94.19,0.0,0.44,0.57,1.32,4.7,95.3,0.0,0.88,17.57,0.5,0.55,1.28,4.63,95.37,0.0,1.0,20.1,0.5,1.65,3.82,13.8,86.2,0.0,1.01,20.16,0.46,0.54,1.32,4.68,95.32,0.0,0.91,18.26,0.46,0.53,1.26,4.56,95.44,0.0,0.92,18.32,0.52,0.59,1.33,4.76,95.24,0.0,1.04,20.79,0.48,0.58,1.33,4.67,95.33,0.0,0.97,19.35,0.45,0.54,1.37,4.7,95.3,0.0,0.9,17.91
2025-04-12,18:37:16.723,5.56,94.44,0.0,5.56,94.44,0.0,0.47,0.52,1.28,4.53,95.47,0.0,0.94,18.86,0.48,0.55,1.29,4.49,95.51,0.0,0.96,19.2,0.47,1.71,3.77,13.28,86.72,0.0,0.94,18.8,0.48,0.52,1.26,4.5,95.5,0.0,0.97,19.36,0.44,0.49,1.19,4.22,95.78,0.0,0.87,17.41,0.46,0.55,1.3,4.47,95.53,0.0,0.93,18.6,0.52,0.56,1.25,4.5,95.5,0.0,1.04,20.73,0.47,0.53,1.29,4.46,95.54,0.0,0.95,18.95
2025-04-12,18:37:21.723,5.74,94.26,0.0,5.74,94.26,0.0,0.49,0.55,1.31,4.7,95.3,0.0,0.98,19.65,0.47,0.56,1.31,4.62,95.38,0.0,0.95,18.99,0.47,1.72,3.86,13.74,86.26,0.0,0.94,18.71,0.46,0.56,1.32,4.68,95.32,0.0,0.93,18.59,0.47,0.51,1.22,4.45,95.55,0.0,0.94,18.73,0.5,0.58,1.33,4.72,95.28,0.0,1.01,20.17,0.46,0.57,1.3,4.6,95.4,0.0,0.93,18.51,0.46,0.51,1.24,4.4,95.6,0.0,0.91,18.29
2025-04-12,18:37:26.723,6.48,93.52,0.0,6.48,93.52,0.0,0.49,0.62,1.39,5.25,94.75,0.0,0.98,19.52,0.53,0.69,1.36,5.45,94.55,0.0,1.06,21.12,0.48,2.05,4.25,15.48,84.52,0.0,0.96,19.28,0.45,0.65,1.45,5.13,94.87,0.0,0.89,17.86,0.45,0.56,1.35,5.0,95.0,0.0,0.9,18.1,0.53,0.68,1.21,5.34,94.66,0.0,1.07,21.32,0.46,0.67,1.43,5.27,94.73,0.0,0.92,18.33,0.43,0.58,1.37,4.9,95.1,0.0,0.86,17.23
