System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-04-14,15:48:26.737,5.05,86.73,0.00,5.05,86.73,0.00,0.45,0.44,0.90,4.87,84.03,0.00,0.90,17.94,0.66,0.30,0.63,4.90,83.80,0.00,1.33,26.59,0.76,0.41,0.86,5.83,94.17,0.00,1.51,30.24,0.42,0.43,0.89,4.94,84.61,0.00,0.83,16.69,0.49,0.40,0.84,4.91,83.99,0.00,0.99,19.74,0.63,0.31,0.69,4.91,83.79,0.00,1.26,25.27,0.59,0.41,0.86,5.18,94.82,0.00,1.17,23.43,0.43,0.43,0.87,4.88,84.67,0.00,0.86,17.14
2025-04-14,15:48:31.735,6.12,93.88,0.00,6.12,93.88,0.00,0.61,0.41,0.87,6.13,93.87,0.00,1.22,24.42,0.53,0.47,0.98,6.13,93.87,0.00,1.07,21.36,0.41,0.57,1.14,6.11,93.89,0.00,0.82,16.39,0.44,0.54,1.11,6.13,93.87,0.00,0.87,17.46,0.60,0.44,0.88,6.12,93.88,0.00,1.19,23.82,0.56,0.46,0.91,6.15,93.85,0.00,1.12,22.34,0.43,0.57,1.15,6.11,93.89,0.00,0.85,17.07,0.47,0.51,1.10,6.11,93.89,0.00,0.94,18.84
2025-04-14,15:48:36.735,6.09,93.91,0.00,6.09,93.91,0.00,0.59,0.43,0.88,6.09,93.91,0.00,1.18,23.69,0.46,0.51,1.09,6.08,93.92,0.00,0.92,18.33,0.45,0.54,1.10,6.08,93.92,0.00,0.91,18.15,0.47,0.53,1.08,6.10,93.90,0.00,0.94,18.72,0.54,0.46,0.98,6.11,93.89,0.00,1.08,21.67,0.49,0.50,1.06,6.09,93.91,0.00,0.99,19.77,0.49,0.58,1.14,6.09,93.91,0.00,0.97,19.40,0.50,0.49,1.02,6.10,93.90,0.00,1.00,20.08
2025-04-14,15:48:41.735,6.11,93.89,0.00,6.11,93.89,0.00,0.57,0.47,0.97,6.10,93.90,0.00,1.13,22.69,0.48,0.56,1.08,6.13,93.87,0.00,0.96,19.21,0.57,0.47,0.98,6.11,93.89,0.00,1.14,22.82,0.50,0.49,1.01,6.10,93.90,0.00,1.01,20.18,0.54,0.49,1.03,6.09,93.91,0.00,1.07,21.40,0.48,0.52,1.07,6.14,93.86,0.00,0.96,19.23,0.54,0.50,1.01,6.13,93.87,0.00,1.08,21.68,0.49,0.53,1.07,6.11,93.89,0.00,0.98,19.63
2025-04-14,15:48:46.735,6.10,93.90,0.00,6.10,93.90,0.00,0.66,0.39,0.79,6.11,93.89,0.00,1.33,26.56,0.43,0.53,1.08,6.11,93.89,0.00,0.87,17.36,0.46,0.54,1.13,6.06,93.94,0.00,0.92,18.30,0.48,0.49,1.01,6.11,93.89,0.00,0.97,19.36,0.60,0.44,0.90,6.12,93.88,0.00,1.21,24.14,0.41,0.58,1.11,6.11,93.89,0.00,0.81,16.21,0.49,0.55,1.12,6.11,93.89,0.00,0.98,19.66,0.49,0.49,1.00,6.09,93.91,0.00,0.97,19.48
2025-04-14,15:48:51.735,6.08,93.92,0.00,6.08,93.92,0.00,0.66,0.41,0.83,6.06,93.94,0.00,1.32,26.39,0.57,0.47,0.92,6.04,93.95,0.00,1.15,22.99,0.44,0.56,1.12,6.03,93.97,0.00,0.88,17.64,0.52,0.55,1.05,6.12,93.88,0.00,1.03,20.65,0.63,0.42,0.86,6.13,93.87,0.00,1.26,25.27,0.52,0.51,0.99,6.08,93.91,0.00,1.04,20.75,0.51,0.59,1.12,6.14,93.86,0.00,1.03,20.50,0.50,0.53,1.05,6.02,93.98,0.00,0.99,19.88
2025-04-14,15:48:56.735,6.11,93.89,0.00,6.11,93.89,0.00,0.67,0.40,0.78,6.12,93.88,0.00,1.35,26.95,0.48,0.56,1.09,6.12,93.88,0.00,0.95,19.06,0.52,0.55,1.06,6.08,93.92,0.00,1.04,20.85,0.48,0.55,1.08,6.11,93.89,0.00,0.96,19.29,0.67,0.39,0.81,6.13,93.87,0.00,1.33,26.63,0.47,0.56,1.08,6.13,93.87,0.00,0.94,18.87,0.53,0.54,1.06,6.10,93.90,0.00,1.06,21.15,0.49,0.52,1.04,6.09,93.91,0.00,0.98,19.69
2025-04-14,15:49:01.734,6.11,93.89,0.00,6.11,93.89,0.00,0.51,0.55,1.04,6.13,93.87,0.00,1.01,20.20,0.55,0.50,0.99,6.12,93.88,0.00,1.10,22.02,0.70,0.38,0.75,6.11,93.89,0.00,1.40,28.07,0.51,0.54,1.03,6.13,93.87,0.00,1.03,20.59,0.48,0.54,1.09,6.13,93.87,0.00,0.95,19.07,0.50,0.52,1.03,6.13,93.87,0.00,1.00,19.90,0.58,0.46,0.93,6.13,93.87,0.00,1.16,23.23,0.49,0.50,1.05,6.02,93.98,0.00,0.98,19.56
2025-04-14,15:49:06.736,6.10,93.90,0.00,6.10,93.90,0.00,0.51,0.56,1.00,6.11,93.89,0.00,1.03,20.57,0.62,0.43,0.91,6.12,93.88,0.00,1.24,24.72,0.45,0.57,1.14,6.06,93.94,0.00,0.91,18.18,0.62,0.47,0.92,6.11,93.89,0.00,1.24,24.70,0.53,0.55,1.01,6.11,93.89,0.00,1.06,21.14,0.58,0.48,0.94,6.13,93.87,0.00,1.16,23.15,0.51,0.53,1.10,6.11,93.89,0.00,1.02,20.30,0.55,0.48,1.01,6.06,93.94,0.00,1.10,21.96
2025-04-14,15:49:11.736,6.10,93.90,0.00,6.10,93.90,0.00,0.47,0.53,1.03,6.11,93.89,0.00,0.95,18.96,0.60,0.41,0.84,6.13,93.87,0.00,1.20,24.05,0.42,0.55,1.16,6.11,93.89,0.00,0.84,16.90,0.48,0.50,1.05,6.11,93.89,0.00,0.96,19.13,0.50,0.49,0.99,6.12,93.88,0.00,1.00,20.04,0.67,0.37,0.74,6.14,93.86,0.00,1.35,26.99,0.42,0.57,1.13,6.10,93.90,0.00,0.85,16.95,0.44,0.51,1.07,6.02,93.98,0.00,0.87,17.42
2025-04-14,15:49:16.737,6.10,93.90,0.00,6.10,93.90,0.00,0.48,0.52,1.07,6.11,93.89,0.00,0.97,19.38,0.52,0.48,0.98,6.11,93.89,0.00,1.04,20.75,0.52,0.49,1.00,6.09,93.91,0.00,1.03,20.70,0.46,0.53,1.07,6.12,93.88,0.00,0.92,18.30,0.52,0.51,1.04,6.11,93.89,0.00,1.04,20.75,0.65,0.39,0.81,6.12,93.88,0.00,1.29,25.85,0.52,0.51,1.00,6.10,93.90,0.00,1.05,20.99,0.45,0.52,1.07,6.03,93.97,0.00,0.90,17.90
2025-04-14,15:49:21.737,6.12,93.88,0.00,6.12,93.88,0.00,0.52,0.49,1.00,6.11,93.89,0.00,1.05,20.97,0.62,0.42,0.84,6.14,93.86,0.00,1.25,24.95,0.47,0.55,1.10,6.12,93.88,0.00,0.95,18.99,0.42,0.54,1.11,6.14,93.86,0.00,0.85,16.99,0.49,0.49,1.05,6.13,93.87,0.00,0.98,19.53,0.60,0.43,0.87,6.14,93.86,0.00,1.19,23.89,0.45,0.56,1.12,6.11,93.89,0.00,0.89,17.88,0.41,0.54,1.10,6.05,93.95,0.00,0.82,16.33
