System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-04-12,19:05:49.723,4.45,89.69,0.0,4.45,89.69,0.0,0.47,0.51,1.22,4.02,87.58,0.0,0.95,18.9,0.61,0.47,1.13,4.21,88.41,0.0,1.22,24.34,0.8,0.36,0.88,4.63,95.37,0.0,1.61,32.11,0.6,0.48,1.15,4.33,88.02,0.0,1.2,24.08,0.52,0.51,1.24,4.2,87.41,0.0,1.05,20.96,0.63,0.47,1.14,4.38,88.24,0.0,1.26,25.19,0.96,0.33,0.81,5.55,94.45,0.0,1.92,38.37,0.59,0.46,1.12,4.31,88.04,0.0,1.17,23.48
2025-04-12,19:05:54.726,5.55,94.45,0.0,5.55,94.45,0.0,0.56,0.67,1.49,5.43,94.57,0.0,1.12,22.35,0.84,0.42,1.02,5.67,94.33,0.0,1.67,33.41,0.57,0.62,1.4,5.54,94.46,0.0,1.14,22.8,0.61,0.61,1.39,5.52,94.48,0.0,1.23,24.59,0.57,0.66,1.47,5.45,94.55,0.0,1.14,22.72,0.85,0.46,1.03,5.76,94.24,0.0,1.69,33.81,0.6,0.59,1.38,5.54,94.46,0.0,1.19,23.88,0.63,0.59,1.38,5.52,94.48,0.0,1.27,25.32
2025-04-12,19:05:59.725,5.66,94.34,0.0,5.66,94.34,0.0,0.63,0.62,1.47,5.59,94.41,0.0,1.25,25.05,0.7,0.61,1.32,5.68,94.32,0.0,1.4,28.02,0.84,0.41,1.0,5.8,94.2,0.0,1.67,33.48,0.63,0.6,1.36,5.61,94.39,0.0,1.26,25.13,0.6,0.68,1.54,5.56,94.44,0.0,1.19,23.84,0.68,0.6,1.32,5.63,94.37,0.0,1.36,27.13,0.76,0.49,1.17,5.72,94.28,0.0,1.52,30.31,0.72,0.52,1.21,5.66,94.34,0.0,1.44,28.72
2025-04-12,19:06:04.724,5.8,94.2,0.0,5.8,94.2,0.0,0.61,0.66,1.49,5.72,94.28,0.0,1.21,24.28,0.84,0.52,1.17,5.94,94.06,0.0,1.68,33.59,0.73,0.53,1.19,5.86,94.14,0.0,1.45,29.07,0.61,0.6,1.34,5.63,94.37,0.0,1.23,24.53,0.63,0.7,1.48,5.78,94.22,0.0,1.25,25.02,0.82,0.49,1.11,5.81,94.19,0.0,1.63,32.64,0.77,0.47,1.09,5.86,94.14,0.0,1.55,30.91,0.6,0.68,1.47,5.8,94.2,0.0,1.19,23.83
2025-04-12,19:06:09.723,5.97,94.03,0.0,5.97,94.03,0.0,0.75,0.55,1.23,5.95,94.05,0.0,1.49,29.89,0.78,0.5,1.19,5.99,94.01,0.0,1.55,31.01,0.7,0.56,1.24,6.03,93.97,0.0,1.4,28.09,0.64,0.64,1.4,5.85,94.15,0.0,1.28,25.53,0.75,0.61,1.27,6.02,93.98,0.0,1.49,29.83,0.79,0.51,1.18,5.99,94.01,0.0,1.57,31.48,0.69,0.59,1.28,6.0,94.0,0.0,1.39,27.8,0.66,0.64,1.41,5.91,94.09,0.0,1.31,26.27
2025-04-12,19:06:14.724,6.0,94.0,0.0,6.0,94.0,0.0,0.76,0.58,1.23,6.06,93.94,0.0,1.52,30.38,0.72,0.58,1.33,5.94,94.06,0.0,1.44,28.76,0.65,0.63,1.38,6.0,94.0,0.0,1.3,25.94,0.78,0.49,1.1,5.98,94.02,0.0,1.55,31.01,0.76,0.57,1.23,6.09,93.91,0.0,1.52,30.43,0.73,0.62,1.39,6.01,93.99,0.0,1.45,29.01,0.67,0.6,1.27,5.97,94.03,0.0,1.35,27.0,0.7,0.55,1.27,5.99,94.01,0.0,1.39,27.82
2025-04-12,19:06:19.725,6.11,93.89,0.0,6.11,93.89,0.0,0.7,0.64,1.36,6.11,93.89,0.0,1.4,27.99,0.76,0.55,1.21,6.08,93.92,0.0,1.52,30.48,0.76,0.56,1.15,6.14,93.86,0.0,1.51,30.24,0.62,0.67,1.42,6.09,93.91,0.0,1.24,24.85,0.66,0.71,1.42,6.12,93.88,0.0,1.32,26.47,0.76,0.57,1.29,6.12,93.88,0.0,1.52,30.36,0.78,0.49,1.08,6.12,93.88,0.0,1.56,31.19,0.67,0.6,1.35,6.08,93.92,0.0,1.33,26.65
2025-04-12,19:06:24.725,6.09,93.91,0.0,6.09,93.91,0.0,0.78,0.52,1.14,6.09,93.91,0.0,1.56,31.13,0.69,0.69,1.38,6.08,93.92,0.0,1.39,27.77,0.73,0.52,1.21,6.11,93.89,0.0,1.46,29.14,0.74,0.56,1.22,6.08,93.92,0.0,1.48,29.61,0.74,0.54,1.23,6.09,93.91,0.0,1.47,29.45,0.69,0.68,1.37,6.1,93.9,0.0,1.37,27.41,0.72,0.54,1.24,6.11,93.89,0.0,1.44,28.76,0.7,0.63,1.31,6.1,93.9,0.0,1.4,27.95
2025-04-12,19:06:29.725,6.11,93.89,0.0,6.11,93.89,0.0,0.76,0.54,1.19,6.12,93.88,0.0,1.52,30.44,0.78,0.57,1.23,6.1,93.9,0.0,1.56,31.24,0.7,0.59,1.28,6.09,93.91,0.0,1.4,28.0,0.72,0.55,1.17,6.09,93.91,0.0,1.44,28.88,0.86,0.42,0.94,6.13,93.87,0.0,1.72,34.48,0.77,0.6,1.27,6.12,93.88,0.0,1.53,30.68,0.69,0.67,1.3,6.12,93.88,0.0,1.38,27.61,0.68,0.63,1.28,6.12,93.88,0.0,1.36,27.3
2025-04-12,19:06:34.725,6.11,93.89,0.0,6.11,93.89,0.0,0.71,0.63,1.24,6.11,93.89,0.0,1.43,28.53,0.74,0.67,1.22,6.08,93.92,0.0,1.47,29.43,0.82,0.52,1.11,6.13,93.87,0.0,1.64,32.78,0.67,0.69,1.3,6.11,93.89,0.0,1.34,26.76,0.82,0.51,1.02,6.12,93.88,0.0,1.63,32.64,0.71,0.75,1.31,6.12,93.88,0.0,1.42,28.37,0.79,0.54,1.14,6.12,93.88,0.0,1.58,31.53,0.73,0.57,1.19,6.12,93.88,0.0,1.46,29.29
