System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-04-12,18:36:41.722,0.49,4.33,10.7,0.0,0.0,0.99,19.75,4.64,86.66,0.0,97.25,0.19
2025-04-12,18:36:46.721,0.47,5.45,12.75,0.0,0.0,0.94,18.84,5.63,94.37,0.0,100.0,0.0
2025-04-12,18:36:51.722,0.48,5.61,13.0,0.0,0.0,0.97,19.3,5.82,94.18,0.0,100.0,0.0
2025-04-12,18:36:56.723,0.47,5.43,12.7,0.0,0.0,0.94,18.8,5.57,94.43,0.0,100.0,0.0
2025-04-12,18:37:01.725,0.48,5.66,13.26,0.0,0.0,0.96,19.13,5.91,94.09,0.0,100.0,0.0
2025-04-12,18:37:06.723,0.47,5.67,13.11,0.0,0.0,0.94,18.76,5.82,94.17,0.0,100.0,0.0
2025-04-12,18:37:11.723,0.48,5.55,13.04,0.0,0.0,0.96,19.28,5.81,94.19,0.0,100.0,0.0
2025-04-12,18:37:16.723,0.47,5.44,12.64,0.0,0.0,0.95,18.96,5.56,94.44,0.0,100.0,0.0
2025-04-12,18:37:21.723,0.47,5.56,12.89,0.0,0.0,0.95,18.91,5.74,94.26,0.0,100.0,0.0
2025-04-12,18:37:26.723,0.48,6.52,13.81,0.0,0.0,0.96,19.15,6.48,93.52,0.0,100.0,0.0
2025-04-12,18:37:31.723,0.48,6.87,14.44,0.0,0.0,0.96,19.1,6.86,93.14,0.0,100.0,0.0
2025-04-12,18:37:36.723,0.47,6.08,13.55,0.0,0.0,0.94,18.82,6.1,93.9,0.0,100.0,0.0
