System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-04-14,15:48:26.737,0.56,3.13,6.54,40.24,18.05,1.12,22.42,5.05,86.73,0.00,100.00,0.00
2025-04-14,15:48:31.735,0.51,3.95,8.15,42.22,18.23,1.01,20.29,6.12,93.88,0.00,100.00,0.00
2025-04-14,15:48:36.735,0.50,4.04,8.34,42.23,18.14,1.00,20.00,6.09,93.91,0.00,100.00,0.00
2025-04-14,15:48:41.735,0.52,4.03,8.23,42.08,17.88,1.04,20.86,6.11,93.89,0.00,100.00,0.00
2025-04-14,15:48:46.735,0.51,4.00,8.15,42.21,18.11,1.01,20.24,6.10,93.90,0.00,100.00,0.00
2025-04-14,15:48:51.735,0.55,4.04,7.94,42.66,17.82,1.09,21.83,6.08,93.92,0.00,100.00,0.00
2025-04-14,15:48:56.735,0.54,4.07,8.00,42.48,17.78,1.08,21.66,6.11,93.89,0.00,100.00,0.00
2025-04-14,15:49:01.734,0.54,3.98,7.92,42.58,17.84,1.08,21.64,6.11,93.89,0.00,100.00,0.00
2025-04-14,15:49:06.736,0.55,4.08,8.04,42.31,17.79,1.09,21.89,6.10,93.90,0.00,100.00,0.00
2025-04-14,15:49:11.736,0.50,3.92,8.01,42.19,18.22,1.01,20.16,6.10,93.90,0.00,100.00,0.00
2025-04-14,15:49:16.737,0.52,3.96,8.04,42.12,18.19,1.03,20.62,6.10,93.90,0.00,100.00,0.00
2025-04-14,15:49:21.737,0.50,4.01,8.18,42.04,18.17,1.00,20.01,6.12,93.88,0.00,100.00,0.00
