System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-04-12,19:05:49.723,0.66,3.58,8.68,0.0,0.0,1.33,26.54,4.45,89.69,0.0,100.0,0.0
2025-04-12,19:05:54.726,0.66,4.63,10.57,0.0,0.0,1.31,26.2,5.55,94.45,0.0,100.0,0.0
2025-04-12,19:05:59.725,0.69,4.53,10.4,0.0,0.0,1.39,27.76,5.66,94.34,0.0,100.0,0.0
2025-04-12,19:06:04.724,0.7,4.65,10.34,0.0,0.0,1.4,28.04,5.8,94.2,0.0,100.0,0.0
2025-04-12,19:06:09.723,0.72,4.6,10.19,0.0,0.0,1.44,28.75,5.97,94.03,0.0,100.0,0.0
2025-04-12,19:06:14.724,0.72,4.63,10.21,0.0,0.0,1.44,28.8,6.0,94.0,0.0,100.0,0.0
2025-04-12,19:06:19.725,0.71,4.79,10.29,0.0,0.0,1.43,28.53,6.11,93.89,0.0,100.0,0.0
2025-04-12,19:06:24.725,0.72,4.68,10.1,0.0,0.0,1.45,28.9,6.09,93.91,0.0,100.0,0.0
2025-04-12,19:06:29.725,0.75,4.56,9.68,0.0,0.0,1.49,29.83,6.11,93.89,0.0,100.0,0.0
2025-04-12,19:06:34.725,0.75,4.87,9.52,0.0,0.0,1.5,29.92,6.11,93.89,0.0,100.0,0.0
2025-04-12,19:06:39.725,0.75,4.89,9.65,0.0,0.0,1.49,29.86,6.14,93.86,0.0,100.0,0.0
