time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004631228,,14540601656,14533757236,286374792,,,1143144404,1219622035,403738572,193671577,89749956,130023008,99609282,35620671565,0,12146672831,398174652,179944
10.010640502,,16046266757,16134572658,395727376,,,1501887289,1601754341,511906862,267999483,122002690,172324282,130409962,51196988644,0,14338719240,522871472,72584
15.015639758,,15053565093,15057098146,401961327,,,1473107075,1611251062,514511735,272542770,123604714,168885694,122938825,50953146175,0,13277547770,523441427,65673
20.021626748,,13809555982,13842391352,392017971,,,1368881104,1623843969,506155880,264742681,115192687,162052009,116585781,46024942743,0,12376242185,483530880,55549
25.026626437,,14211527664,14322506670,393865588,,,1403366080,1606504505,510521238,266111080,118475513,164848842,118924608,48136278050,0,12496418140,510271821,55638
30.032159785,,13951195305,14017426241,397438927,,,1407984752,1625541009,513427305,269008816,119099440,168082743,122145487,48164445683,0,12667757289,500340341,45337
35.037619878,,14587834721,14640448180,400336500,,,1448081016,1621341215,517298832,270363761,122325657,169697750,127799823,50443243155,0,12773264020,524971212,52319
40.042656522,,13833519318,13870036761,385571906,,,1350092717,1601363313,508173833,258078909,114842717,164088810,118692280,45989728265,0,12515268846,492009423,46757
45.047647194,,14624675142,14674566987,399277965,,,1479436929,1602998642,521381446,271671555,125655140,173280767,129300947,53135474141,0,12905244473,522526674,62045
50.053634252,,13803541987,13914975244,393058131,,,1405459352,1601472200,510638906,266158522,120069883,172609175,126503064,49229563837,0,12792978116,506867159,51126
55.05868352,,14593795289,14647759194,400268141,,,1478050257,1606183581,519066705,274098505,125937279,174080977,129715292,52677824696,0,13066275125,524877845,49685
60.064632089,,14039886566,14118814805,397394401,,,1439668821,1616532775,516252281,271391011,122831033,173461415,126845252,50580772587,0,12687456751,512449862,48953
65.00090707,,4263766934,4263239887,91770946,,,359168938,373861925,123651884,62461344,28405550,38355095,27233063,10986202583,0,3340880985,158022724,19796
