time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004150932,,17474303985,17498350297,279050732,,,1246741989,1167931462,392558660,197692594,95147028,128679456,98480480,35297210472,0,13203702876,423579244,134459
10.011159287,,20774932126,20855972545,345877435,,,1505897876,1421108111,469754525,241208026,115186383,157889936,119347293,42296987415,0,16055481417,486578973,58307
15.016172312,,20942858639,21007975999,351577505,,,1506410160,1409074922,465835618,240627472,115079083,152853565,115864258,40537040296,0,15829629505,486812301,101228
20.021150479,,20096034531,20143357072,362991667,,,1505865887,1442061042,462427947,246524571,113759454,158506822,118957216,40015782785,0,15078224156,480572887,65134
25.027217985,,21310668384,21350687967,350864966,,,1507319472,1380320251,447526087,237775286,110699810,157278796,117409125,38120017101,0,15601992658,468796726,52459
30.034383908,,21514965589,21539580482,346177661,,,1505096373,1364179634,442547957,233126228,108739108,154780588,113841644,36471276931,0,15713104657,450998982,47426
35.039147297,,22533815803,22569347696,337041810,,,1506545481,1311997018,432710155,227022464,106015088,147267732,110035251,35164195473,0,16053870214,444471926,45283
40.046172005,,22300014364,22350012605,334947126,,,1507755119,1318824508,430283910,224675137,105259034,149078488,110442475,35366898908,0,15957285038,443616803,45870
45.051170349,,23297771078,23302806286,326282595,,,1510358608,1264798104,417364309,217898464,102982397,145742861,106053927,33474064704,0,16277420145,438870827,52129
50.060179616,,22955415900,22929795539,327662889,,,1510140299,1280842451,414631544,215713156,101333437,142046986,105369715,33458163419,0,16104745981,422796169,46107
55.065175896,,23430766971,23414444268,320750816,,,1512251031,1241650364,406734980,208937961,99089403,143895705,105370428,32954926653,0,16203146774,451745503,44500
60.071167908,,22949604416,22989714469,323003703,,,1512099081,1260916450,414241111,214067724,100820708,143093415,106447155,32765012129,0,16209493961,471975902,43121
65.000780423,,30741363704,30755130719,91650801,,,1387686609,345697013,114989353,59259870,27988173,39935288,29525494,8871946684,0,16629495005,166898699,18516
