Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario0_500rps,1,Baseline0,0,500,500.00466706300693,0.087,0.083,0.0,0.1,0.109,0.157,3.085,0
1replicas_scenario1_500rps,1,Baseline1,1,500,500.0038934330952,0.087,0.083,0.0,0.1,0.109,0.154,2.61,0
1replicas_scenario2_500rps,1,Baseline2,2,500,500.0052182044588,0.087,0.083,0.0,0.1,0.109,0.156,3.231,0
1replicas_scenario11_500rps,1,1_iBench_CPU_pod,11,500,500.0041653874784,0.103,0.086,0.0,0.114,0.149,0.239,3.894,0
1replicas_scenario12_500rps,1,2_iBench_CPU_pods,12,500,500.00563423015507,0.115,0.086,0.0,0.118,0.152,0.852,3.776,0
1replicas_scenario13_500rps,1,3_iBench_CPU_pods,13,500,500.0060282199002,0.149,0.091,0.0,0.144,0.18,2.308,4.495,0
1replicas_scenario14_500rps,1,4_iBench_CPU_pods,14,500,500.0036995995961,0.184,0.093,0.0,0.163,0.382,2.547,4.549,0
1replicas_scenario21_500rps,1,1_stress-ng_l3_pod,21,500,500.00542707557236,0.111,0.106,0.0,0.145,0.161,0.232,2.883,0
1replicas_scenario22_500rps,1,2_stress-ng_l3_pods,22,500,500.0038776800726,0.236,0.17,0.0,0.436,0.508,0.627,4.705,0
1replicas_scenario23_500rps,1,3_stress-ng_l3_pods,23,500,500.0041134060621,0.348,0.345,0.0,0.57,0.678,1.534,4.753,0
1replicas_scenario24_500rps,1,4_stress-ng_l3_pods,24,500,500.0049318653128,0.523,0.435,0.0,0.804,1.326,1.874,5.082,0
1replicas_scenario31_500rps,1,1_iBench_memBW_pod,31,500,500.00488248101016,0.095,0.089,0.0,0.119,0.132,0.186,2.663,0
1replicas_scenario32_500rps,1,2_iBench_memBW_pods,32,500,500.00491954284774,0.104,0.095,0.0,0.143,0.167,0.229,5.629,0
1replicas_scenario33_500rps,1,3_iBench_memBW_pods,33,500,500.0041674541795,0.115,0.103,0.0,0.162,0.189,0.277,3.935,0
1replicas_scenario34_500rps,1,4_iBench_memBW_pods,34,500,500.0044118583731,0.203,0.111,0.0,0.244,0.373,2.772,5.236,0
1replicas_scenario0_1000rps,1,Baseline0,0,1000,1000.0043311243141,0.087,0.084,0.0,0.1,0.108,0.141,2.682,0
1replicas_scenario1_1000rps,1,Baseline1,1,1000,1000.0040534553193,0.086,0.084,0.0,0.099,0.106,0.139,3.202,0
1replicas_scenario2_1000rps,1,Baseline2,2,1000,1000.0035991018425,0.086,0.083,0.0,0.1,0.107,0.145,3.685,0
1replicas_scenario11_1000rps,1,1_iBench_CPU_pod,11,1000,999.9998170823507,0.095,0.084,0.0,0.102,0.111,0.188,3.957,0
1replicas_scenario12_1000rps,1,2_iBench_CPU_pods,12,1000,1000.0042434846737,0.106,0.084,0.0,0.102,0.114,0.779,5.421,0
1replicas_scenario13_1000rps,1,3_iBench_CPU_pods,13,1000,999.997116852757,0.121,0.085,0.0,0.106,0.123,1.504,4.021,0
1replicas_scenario14_1000rps,1,4_iBench_CPU_pods,14,1000,1000.0009113841639,0.154,0.088,0.0,0.178,0.223,2.1,5.165,0
1replicas_scenario21_1000rps,1,1_stress-ng_l3_pod,21,1000,999.9999951722223,0.107,0.1,0.0,0.141,0.156,0.21,2.754,0
1replicas_scenario22_1000rps,1,2_stress-ng_l3_pods,22,1000,1000.0004330501876,0.184,0.129,0.0,0.368,0.408,0.534,3.763,0
1replicas_scenario23_1000rps,1,3_stress-ng_l3_pods,23,1000,1000.0051787157079,0.269,0.197,0.0,0.452,0.55,1.294,4.46,0
1replicas_scenario24_1000rps,1,4_stress-ng_l3_pods,24,1000,999.9904652575789,0.53,0.37,0.0,1.154,1.693,2.748,10.218,0
1replicas_scenario31_1000rps,1,1_iBench_memBW_pod,31,1000,1000.0055900701375,0.092,0.087,0.0,0.111,0.121,0.166,3.354,0
1replicas_scenario32_1000rps,1,2_iBench_memBW_pods,32,1000,1000.0032921275048,0.095,0.09,0.0,0.115,0.127,0.173,4.006,0
1replicas_scenario33_1000rps,1,3_iBench_memBW_pods,33,1000,1000.0043170241922,0.128,0.095,0.0,0.159,0.198,1.217,4.372,0
1replicas_scenario34_1000rps,1,4_iBench_memBW_pods,34,1000,1000.0016089025886,0.113,0.101,0.0,0.151,0.172,0.248,6.755,0
1replicas_scenario0_1500rps,1,Baseline0,0,1500,1500.0024788040962,0.087,0.083,0.0,0.104,0.114,0.168,3.882,0
1replicas_scenario1_1500rps,1,Baseline1,1,1500,1500.0055992557186,0.085,0.083,0.0,0.102,0.11,0.136,3.742,0
1replicas_scenario2_1500rps,1,Baseline2,2,1500,1500.0043472625991,0.085,0.083,0.0,0.102,0.11,0.136,3.704,0
1replicas_scenario11_1500rps,1,1_iBench_CPU_pod,11,1500,1500.0058627479145,0.097,0.083,0.0,0.106,0.117,0.253,3.781,0
1replicas_scenario12_1500rps,1,2_iBench_CPU_pods,12,1500,1500.005120887405,0.15,0.102,0.0,0.199,0.247,1.225,5.775,0
1replicas_scenario13_1500rps,1,3_iBench_CPU_pods,13,1500,1499.98798882118,0.12,0.085,0.0,0.122,0.149,1.381,4.911,0
1replicas_scenario14_1500rps,1,4_iBench_CPU_pods,14,1500,1500.0008464754778,0.173,0.09,0.0,0.191,0.308,2.41,6.299,0
1replicas_scenario21_1500rps,1,1_stress-ng_l3_pod,21,1500,1500.00559686255,0.105,0.1,0.0,0.137,0.15,0.202,4.162,0
1replicas_scenario22_1500rps,1,2_stress-ng_l3_pods,22,1500,1500.0052568517563,0.131,0.118,0.0,0.165,0.226,0.435,2.841,0
1replicas_scenario23_1500rps,1,3_stress-ng_l3_pods,23,1500,1500.001832652239,0.266,0.247,0.0,0.449,0.519,0.803,5.128,0
1replicas_scenario24_1500rps,1,4_stress-ng_l3_pods,24,1500,1500.0070783084016,0.538,0.389,0.0,1.15,1.698,2.603,8.707,0
1replicas_scenario31_1500rps,1,1_iBench_memBW_pod,31,1500,1500.0056370058617,0.09,0.086,0.0,0.11,0.119,0.152,4.338,0
1replicas_scenario32_1500rps,1,2_iBench_memBW_pods,32,1500,1500.0013235255142,0.094,0.089,0.0,0.115,0.126,0.176,4.205,0
1replicas_scenario33_1500rps,1,3_iBench_memBW_pods,33,1500,1500.0063006836854,0.107,0.094,0.0,0.149,0.176,0.261,4.314,0
1replicas_scenario34_1500rps,1,4_iBench_memBW_pods,34,1500,1500.0052047376716,0.172,0.099,0.0,0.233,0.34,1.927,5.777,0
1replicas_scenario0_2000rps,1,Baseline0,0,2000,2000.0010562034915,0.087,0.083,0.0,0.108,0.117,0.154,3.556,0
1replicas_scenario1_2000rps,1,Baseline1,1,2000,2000.0041299640839,0.089,0.085,0.0,0.111,0.125,0.19,3.268,0
1replicas_scenario2_2000rps,1,Baseline2,2,2000,2000.0038685293398,0.088,0.085,0.0,0.109,0.119,0.153,2.948,0
1replicas_scenario11_2000rps,1,1_iBench_CPU_pod,11,2000,2000.0010825702598,0.102,0.084,0.0,0.112,0.126,0.404,4.522,0
1replicas_scenario12_2000rps,1,2_iBench_CPU_pods,12,2000,2000.0031621605551,0.115,0.086,0.0,0.123,0.154,1.184,6.827,0
1replicas_scenario13_2000rps,1,3_iBench_CPU_pods,13,2000,1999.994916946252,0.131,0.086,0.0,0.131,0.173,1.734,4.445,0
1replicas_scenario14_2000rps,1,4_iBench_CPU_pods,14,2000,1999.999940855393,0.209,0.135,0.0,0.266,0.432,2.373,6.455,0
1replicas_scenario21_2000rps,1,1_stress-ng_l3_pod,21,2000,2000.0108677034978,0.107,0.102,0.0,0.139,0.157,0.23,3.587,0
1replicas_scenario22_2000rps,1,2_stress-ng_l3_pods,22,2000,2000.0003571677225,0.212,0.142,0.0,0.426,0.496,0.698,9.94,0
1replicas_scenario23_2000rps,1,3_stress-ng_l3_pods,23,2000,1999.9998057105902,0.307,0.231,0.0,0.54,0.701,1.741,6.544,0
1replicas_scenario24_2000rps,1,4_stress-ng_l3_pods,24,2000,2000.0009821143215,0.586,0.38,0.0,1.416,1.986,3.101,11.679,0
1replicas_scenario31_2000rps,1,1_iBench_memBW_pod,31,2000,2000.0031816050612,0.091,0.086,0.0,0.115,0.127,0.175,4.153,0
1replicas_scenario32_2000rps,1,2_iBench_memBW_pods,32,2000,2000.011177195798,0.102,0.091,0.0,0.138,0.168,0.259,4.297,0
1replicas_scenario33_2000rps,1,3_iBench_memBW_pods,33,2000,2000.0004460235607,0.136,0.094,0.0,0.18,0.242,1.38,5.73,0
1replicas_scenario34_2000rps,1,4_iBench_memBW_pods,34,2000,2000.0002574229704,0.14,0.098,0.0,0.18,0.247,1.425,6.497,0
1replicas_scenario0_2500rps,1,Baseline0,0,2500,2500.0136191575257,0.091,0.087,0.0,0.115,0.128,0.16,3.648,0
1replicas_scenario1_2500rps,1,Baseline1,1,2500,2500.0137700897344,0.091,0.087,0.0,0.113,0.125,0.158,3.627,0
1replicas_scenario2_2500rps,1,Baseline2,2,2500,2500.002660863943,0.09,0.086,0.0,0.113,0.126,0.158,4.017,0
1replicas_scenario11_2500rps,1,1_iBench_CPU_pod,11,2500,2499.9949230268057,0.103,0.088,0.0,0.122,0.139,0.256,5.39,0
