System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-11,06:19:53.764,1.54,90.96,0.00,1.54,90.96,0.00,0.94,0.04,0.16,0.61,92.72,0.00,1.87,37.45,1.17,0.03,0.13,0.60,92.81,0.00,2.35,46.94,0.86,0.03,0.13,0.55,92.93,0.00,1.71,34.23,0.66,0.03,1.05,2.61,87.15,0.00,1.32,26.49,0.89,0.01,0.39,1.21,92.12,0.00,1.78,35.58,0.93,0.01,0.37,1.23,92.18,0.00,1.85,37.04,1.01,0.02,0.77,2.68,90.80,0.00,2.02,40.33,0.69,0.02,1.01,2.82,86.94,0.00,1.39,27.70
2025-07-11,06:19:58.764,1.69,98.30,0.00,1.69,98.30,0.00,0.70,0.02,0.12,0.46,99.54,0.00,1.39,27.88,0.95,0.02,0.10,0.47,99.51,0.00,1.91,38.19,0.91,0.02,0.11,0.43,99.57,0.00,1.82,36.44,0.68,0.02,1.01,2.82,97.18,0.00,1.37,27.33,0.94,0.01,0.36,1.41,98.59,0.00,1.88,37.65,0.96,0.01,0.34,1.34,98.63,0.00,1.91,38.25,1.00,0.02,0.90,3.21,96.79,0.00,2.01,40.16,0.74,0.02,1.15,3.41,96.59,0.00,1.48,29.62
2025-07-11,06:20:03.764,1.77,98.23,0.00,1.77,98.23,0.00,0.86,0.02,0.12,0.47,99.53,0.00,1.73,34.52,1.01,0.04,0.15,0.59,99.41,0.00,2.03,40.51,0.99,0.02,0.14,0.52,99.48,0.00,1.97,39.40,0.68,0.02,1.14,3.01,96.99,0.00,1.35,27.03,0.94,0.01,0.42,1.49,98.51,0.00,1.88,37.59,0.94,0.01,0.40,1.40,98.60,0.00,1.88,37.53,1.00,0.02,0.93,3.16,96.84,0.00,2.00,40.04,0.67,0.02,1.20,3.53,96.47,0.00,1.35,26.96
2025-07-11,06:20:08.765,1.68,98.32,0.00,1.68,98.32,0.00,0.71,0.02,0.12,0.44,99.56,0.00,1.42,28.35,0.69,0.02,0.10,0.39,99.61,0.00,1.37,27.47,0.79,0.02,0.12,0.45,99.55,0.00,1.58,31.66,0.70,0.02,1.07,2.90,97.10,0.00,1.40,27.98,0.95,0.01,0.39,1.39,98.61,0.00,1.91,38.20,0.94,0.02,0.40,1.42,98.58,0.00,1.87,37.47,0.99,0.02,0.93,3.19,96.81,0.00,1.98,39.68,0.73,0.02,1.14,3.29,96.71,0.00,1.46,29.16
2025-07-11,06:20:13.765,1.73,98.27,0.00,1.73,98.27,0.00,0.82,0.03,0.15,0.54,99.46,0.00,1.64,32.79,0.89,0.03,0.12,0.48,99.52,0.00,1.78,35.57,1.05,0.02,0.12,0.48,99.52,0.00,2.10,42.05,0.68,0.02,1.17,3.01,96.99,0.00,1.36,27.13,0.90,0.01,0.43,1.41,98.59,0.00,1.80,36.09,0.91,0.01,0.42,1.44,98.56,0.00,1.82,36.36,1.00,0.03,0.94,3.16,96.84,0.00,1.99,39.88,0.71,0.02,1.19,3.31,96.69,0.00,1.43,28.59
2025-07-11,06:20:18.765,1.72,98.28,0.00,1.72,98.28,0.00,0.78,0.02,0.12,0.45,99.55,0.00,1.55,31.01,1.05,0.02,0.11,0.48,99.52,0.00,2.09,41.87,0.70,0.02,0.12,0.45,99.55,0.00,1.40,27.95,0.70,0.03,1.08,2.96,97.04,0.00,1.40,27.94,0.93,0.02,0.40,1.46,98.54,0.00,1.86,37.21,0.93,0.01,0.39,1.46,98.54,0.00,1.87,37.40,0.99,0.02,0.91,3.18,96.82,0.00,1.98,39.55,0.73,0.02,1.15,3.34,96.66,0.00,1.45,29.10
2025-07-11,06:20:23.766,1.72,98.28,0.00,1.72,98.28,0.00,0.97,0.03,0.15,0.58,99.42,0.00,1.95,38.99,0.82,0.03,0.13,0.52,99.48,0.00,1.65,32.99,0.84,0.03,0.15,0.52,99.48,0.00,1.68,33.66,0.68,0.02,1.09,2.89,97.11,0.00,1.36,27.27,0.92,0.01,0.40,1.37,98.63,0.00,1.83,36.65,0.92,0.01,0.40,1.42,98.58,0.00,1.84,36.80,0.99,0.02,0.91,3.10,96.90,0.00,1.97,39.47,0.73,0.02,1.18,3.35,96.65,0.00,1.46,29.11
2025-07-11,06:20:28.766,1.76,98.24,0.00,1.76,98.24,0.00,0.89,0.03,0.15,0.55,99.45,0.00,1.78,35.67,0.81,0.02,0.11,0.45,99.55,0.00,1.62,32.48,1.01,0.02,0.13,0.49,99.51,0.00,2.02,40.32,0.66,0.02,1.09,2.93,97.07,0.00,1.31,26.29,0.94,0.01,0.43,1.50,98.50,0.00,1.88,37.69,0.93,0.01,0.41,1.43,98.57,0.00,1.85,37.04,0.98,0.02,0.93,3.19,96.81,0.00,1.97,39.37,0.69,0.02,1.18,3.57,96.43,0.00,1.38,27.69
2025-07-11,06:20:33.767,1.74,98.26,0.00,1.74,98.26,0.00,0.95,0.03,0.15,0.56,99.44,0.00,1.89,37.83,1.00,0.03,0.14,0.54,99.46,0.00,2.00,39.95,0.90,0.03,0.14,0.52,99.48,0.00,1.80,36.04,0.69,0.02,1.11,2.90,97.10,0.00,1.37,27.48,0.93,0.01,0.42,1.44,98.56,0.00,1.87,37.32,0.93,0.01,0.41,1.44,98.56,0.00,1.86,37.25,0.99,0.02,0.93,3.17,96.83,0.00,1.98,39.64,0.73,0.02,1.17,3.35,96.65,0.00,1.46,29.11
2025-07-11,06:20:38.766,1.70,98.30,0.00,1.70,98.30,0.00,0.95,0.03,0.13,0.51,99.49,0.00,1.89,37.89,0.90,0.02,0.10,0.42,99.58,0.00,1.80,35.98,0.84,0.02,0.10,0.41,99.59,0.00,1.67,33.41,0.69,0.03,1.09,2.97,97.03,0.00,1.39,27.74,0.92,0.02,0.40,1.42,98.58,0.00,1.83,36.67,0.95,0.01,0.38,1.41,98.59,0.00,1.89,37.86,1.00,0.02,0.91,3.18,96.82,0.00,2.01,40.15,0.72,0.02,1.15,3.32,96.68,0.00,1.44,28.83
2025-07-11,06:20:43.766,1.71,98.29,0.00,1.71,98.29,0.00,0.86,0.03,0.15,0.53,99.47,0.00,1.73,34.56,0.97,0.03,0.14,0.52,99.48,0.00,1.95,38.92,0.83,0.03,0.12,0.48,99.52,0.00,1.66,33.25,0.68,0.02,1.15,2.89,97.11,0.00,1.35,27.01,0.90,0.01,0.42,1.41,98.59,0.00,1.80,35.91,0.90,0.01,0.42,1.42,98.58,0.00,1.79,35.84,0.99,0.02,0.91,3.12,96.88,0.00,1.99,39.73,0.73,0.02,1.18,3.32,96.68,0.00,1.45,29.01
