System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-11,06:00:14.705,1.32,1.68,5.69,30.20,34.24,2.65,52.90,9.92,87.03,0.00,100.00,0.00
2025-07-11,06:00:19.704,1.32,1.62,5.87,29.81,33.34,2.65,53.00,9.99,89.99,0.00,100.00,0.00
2025-07-11,06:00:24.704,1.30,1.65,6.02,29.86,33.26,2.59,51.89,10.07,89.90,0.00,100.00,0.00
2025-07-11,06:00:29.705,1.32,1.62,5.99,30.16,33.73,2.65,53.00,10.12,89.85,0.00,100.00,0.00
2025-07-11,06:00:34.704,1.31,1.67,6.05,30.21,33.47,2.63,52.58,10.15,89.81,0.00,100.00,0.00
2025-07-11,06:00:39.705,1.34,1.59,5.90,30.05,33.67,2.68,53.52,10.10,89.87,0.00,100.00,0.00
2025-07-11,06:00:44.705,1.33,1.64,5.99,30.09,33.71,2.66,53.29,10.03,89.93,0.00,100.00,0.00
2025-07-11,06:00:49.704,1.33,1.66,6.06,30.15,33.76,2.65,53.00,10.10,89.86,0.00,100.00,0.00
2025-07-11,06:00:54.704,1.32,1.61,5.96,29.98,33.45,2.64,52.74,10.05,89.93,0.00,100.00,0.00
2025-07-11,06:00:59.705,1.34,1.65,6.02,30.21,33.80,2.68,53.62,10.04,89.92,0.00,100.00,0.00
2025-07-11,06:01:04.706,1.29,1.68,6.10,30.53,33.82,2.58,51.62,10.26,89.71,0.00,100.00,0.00
2025-07-11,06:01:09.706,1.35,1.67,6.02,30.05,33.66,2.70,53.92,10.07,89.89,0.00,100.00,0.00
2025-07-11,06:01:14.705,1.31,1.60,5.97,29.97,33.62,2.63,52.52,10.00,89.98,0.00,100.00,0.00
2025-07-11,06:01:19.706,1.31,1.62,5.98,30.15,33.88,2.63,52.56,10.19,89.79,0.00,100.00,0.00
2025-07-11,06:01:24.708,1.31,1.72,6.25,30.40,33.98,2.63,52.59,10.35,89.63,0.00,100.00,0.00
2025-07-11,06:01:29.707,1.35,1.68,6.12,29.99,33.84,2.70,54.00,10.16,89.80,0.00,100.00,0.00
2025-07-11,06:01:34.708,1.29,1.71,6.22,30.33,33.95,2.57,51.41,10.17,89.80,0.00,100.00,0.00
2025-07-11,06:01:39.708,1.32,1.58,5.85,30.45,34.07,2.64,52.81,10.10,89.86,0.00,100.00,0.00
2025-07-11,06:01:44.709,1.31,1.66,6.01,31.22,34.41,2.62,52.38,10.40,89.59,0.00,100.00,0.00
2025-07-11,06:01:49.709,1.36,1.49,5.60,30.62,34.52,2.73,54.51,10.24,89.75,0.00,100.00,0.00
2025-07-11,06:01:54.709,1.27,1.64,5.94,30.76,34.07,2.54,50.79,10.31,89.67,0.00,100.00,0.00
2025-07-11,06:01:59.708,1.33,1.60,5.90,30.67,34.34,2.66,53.25,10.19,89.79,0.00,100.00,0.00
2025-07-11,06:02:04.709,1.29,1.68,5.93,30.62,33.69,2.59,51.78,10.35,89.60,0.00,100.00,0.00
2025-07-11,06:02:09.710,1.29,1.63,5.96,30.60,34.27,2.58,51.60,10.22,89.77,0.00,100.00,0.00
2025-07-11,06:02:14.708,1.28,1.67,5.98,30.70,34.17,2.57,51.37,10.29,89.67,0.00,100.00,0.00
2025-07-11,06:02:19.709,1.29,1.63,6.12,30.37,34.01,2.57,51.47,10.13,89.85,0.00,100.00,0.00
2025-07-11,06:02:24.709,1.33,1.61,5.98,30.39,34.13,2.66,53.22,10.24,89.74,0.00,100.00,0.00
2025-07-11,06:02:29.708,1.33,1.68,6.12,30.44,34.17,2.65,53.06,10.27,89.70,0.00,100.00,0.00
2025-07-11,06:02:34.709,1.34,1.66,6.01,30.24,34.06,2.68,53.54,10.20,89.75,0.00,100.00,0.00
2025-07-11,06:02:39.709,1.35,1.63,5.90,30.06,34.05,2.70,54.07,10.10,89.84,0.00,100.00,0.00
2025-07-11,06:02:44.709,1.35,1.69,6.12,30.21,33.98,2.71,54.17,10.10,89.81,0.00,100.00,0.00
2025-07-11,06:02:49.709,1.32,1.66,5.90,30.32,34.52,2.65,52.93,10.01,89.93,0.00,100.00,0.00
2025-07-11,06:02:54.709,1.34,1.65,5.92,30.19,34.19,2.68,53.57,10.13,89.83,0.00,100.00,0.00
2025-07-11,06:02:59.710,1.31,1.75,6.15,30.54,34.44,2.61,52.22,10.12,89.83,0.00,100.00,0.00
2025-07-11,06:03:04.711,1.31,1.72,6.18,30.42,34.40,2.62,52.32,10.20,89.75,0.00,100.00,0.00
2025-07-11,06:03:09.710,1.28,1.66,5.99,30.68,34.37,2.55,51.06,10.24,89.72,0.00,100.00,0.00
2025-07-11,06:03:14.713,1.68,1.00,3.56,27.91,35.02,3.36,67.24,8.86,82.34,0.00,100.00,0.00
