Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario59_500rps,1,1_CPU_2_MemBW,59,500,500.00329929121494,0.104,0.097,0.0,0.137,0.163,0.223,6.009,0
1replicas_scenario60_500rps,1,2_CPU_1_MemBW,60,500,500.0029972874118,0.099,0.091,0.0,0.126,0.147,0.203,3.368,0
1replicas_scenario61_500rps,1,3_L3_1_MemBW,61,500,500.0046984774843,0.374,0.362,0.0,0.66,0.766,0.952,4.301,0
1replicas_scenario62_500rps,1,1_CPU_3_MemBW,62,500,500.00295304521865,0.111,0.104,0.0,0.146,0.174,0.243,3.014,0
1replicas_scenario63_500rps,1,1_CPU_2_L3_1_MemBW,63,500,500.0052734833964,0.202,0.146,0.0,0.388,0.52,0.703,2.426,0
1replicas_scenario64_500rps,1,1_L3_3_MemBW,64,500,500.00502376714263,0.181,0.141,0.0,0.32,0.427,0.52,3.869,0
1replicas_scenario59_1000rps,1,1_CPU_2_MemBW,59,1000,1000.0005917503502,0.096,0.091,0.0,0.116,0.13,0.181,3.594,0
1replicas_scenario60_1000rps,1,2_CPU_1_MemBW,60,1000,1000.0045942655516,0.093,0.087,0.0,0.113,0.128,0.182,2.995,0
1replicas_scenario61_1000rps,1,3_L3_1_MemBW,61,1000,1000.0048274677488,0.315,0.275,0.0,0.584,0.684,0.85,4.484,0
1replicas_scenario62_1000rps,1,1_CPU_3_MemBW,62,1000,1000.0020490041984,0.102,0.095,0.0,0.135,0.158,0.207,3.553,0
1replicas_scenario63_1000rps,1,1_CPU_2_L3_1_MemBW,63,1000,999.9997473778416,0.179,0.135,0.0,0.332,0.417,0.55,4.287,0
1replicas_scenario64_1000rps,1,1_L3_3_MemBW,64,1000,1000.0022844718854,0.146,0.126,0.0,0.224,0.249,0.363,3.783,0
1replicas_scenario59_1500rps,1,1_CPU_2_MemBW,59,1500,1500.0054530614905,0.093,0.089,0.0,0.116,0.126,0.164,2.769,0
1replicas_scenario60_1500rps,1,2_CPU_1_MemBW,60,1500,1500.0020962718047,0.11,0.097,0.0,0.165,0.185,0.238,4.427,0
1replicas_scenario61_1500rps,1,3_L3_1_MemBW,61,1500,1500.0073964896333,0.33,0.261,0.0,0.674,0.765,0.978,5.04,0
1replicas_scenario62_1500rps,1,1_CPU_3_MemBW,62,1500,1500.0012949844513,0.109,0.099,0.0,0.154,0.176,0.233,3.516,0
1replicas_scenario63_1500rps,1,1_CPU_2_L3_1_MemBW,63,1500,1500.0018570606326,0.26,0.19,0.0,0.539,0.648,0.832,3.768,0
1replicas_scenario64_1500rps,1,1_L3_3_MemBW,64,1500,1500.004288162259,0.16,0.121,0.0,0.285,0.375,0.524,4.188,0
1replicas_scenario59_2000rps,1,1_CPU_2_MemBW,59,2000,1999.9990539867083,0.117,0.102,0.0,0.175,0.204,0.281,3.36,0
1replicas_scenario60_2000rps,1,2_CPU_1_MemBW,60,2000,2000.0018913848203,0.098,0.089,0.0,0.132,0.157,0.232,4.115,0
1replicas_scenario61_2000rps,1,3_L3_1_MemBW,61,2000,2000.0084194465544,0.318,0.273,0.0,0.575,0.678,0.915,5.888,0
1replicas_scenario62_2000rps,1,1_CPU_3_MemBW,62,2000,2000.001762479331,0.101,0.095,0.0,0.132,0.146,0.196,3.525,0
1replicas_scenario63_2000rps,1,1_CPU_2_L3_1_MemBW,63,2000,2000.0037111846643,0.195,0.141,0.0,0.395,0.491,0.664,4.241,0
1replicas_scenario64_2000rps,1,1_L3_3_MemBW,64,2000,1999.9973250850362,0.184,0.128,0.0,0.385,0.451,0.585,8.826,0
1replicas_scenario59_2500rps,1,1_CPU_2_MemBW,59,2500,2500.012954553239,0.136,0.116,0.0,0.217,0.258,0.344,3.581,0
1replicas_scenario60_2500rps,1,2_CPU_1_MemBW,60,2500,2500.0040319370582,0.096,0.09,0.0,0.123,0.136,0.177,3.126,0
1replicas_scenario61_2500rps,1,3_L3_1_MemBW,61,2500,2499.995520633026,0.344,0.302,0.0,0.605,0.697,0.959,9.556,0
1replicas_scenario62_2500rps,1,1_CPU_3_MemBW,62,2500,2500.002561738736,0.172,0.161,0.0,0.261,0.299,0.391,4.25,0
1replicas_scenario63_2500rps,1,1_CPU_2_L3_1_MemBW,63,2500,2499.997829047792,0.194,0.139,0.0,0.39,0.486,0.657,5.767,0
1replicas_scenario64_2500rps,1,1_L3_3_MemBW,64,2500,2500.001565820425,0.157,0.129,0.0,0.259,0.304,0.45,3.786,0
1replicas_scenario59_3000rps,1,1_CPU_2_MemBW,59,3000,3000.003048553098,0.123,0.104,0.0,0.191,0.228,0.334,5.434,0
1replicas_scenario60_3000rps,1,2_CPU_1_MemBW,60,3000,3000.0032463197235,0.18,0.17,0.0,0.267,0.307,0.428,4.293,0
1replicas_scenario61_3000rps,1,3_L3_1_MemBW,61,3000,3000.002867036073,0.338,0.272,0.0,0.615,0.743,1.182,24.341,0
1replicas_scenario62_3000rps,1,1_CPU_3_MemBW,62,3000,3000.0041396265997,0.136,0.118,0.0,0.21,0.249,0.359,5.3,0
1replicas_scenario63_3000rps,1,1_CPU_2_L3_1_MemBW,63,3000,3000.003791072922,0.249,0.158,0.0,0.539,0.625,0.859,6.253,0
1replicas_scenario64_3000rps,1,1_L3_3_MemBW,64,3000,3000.019893050627,0.171,0.135,0.0,0.293,0.359,0.545,5.75,0
1replicas_scenario59_3500rps,1,1_CPU_2_MemBW,59,3500,3500.0066795927946,0.114,0.099,0.0,0.164,0.196,0.319,4.395,0
1replicas_scenario60_3500rps,1,2_CPU_1_MemBW,60,3500,3500.004631262666,0.175,0.161,0.0,0.28,0.323,0.456,4.509,0
1replicas_scenario61_3500rps,1,3_L3_1_MemBW,61,3500,3499.995534070832,0.369,0.319,0.0,0.633,0.736,1.186,17.778,0
1replicas_scenario62_3500rps,1,1_CPU_3_MemBW,62,3500,3500.0038406519775,0.19,0.173,0.0,0.297,0.342,0.497,5.742,0
1replicas_scenario63_3500rps,1,1_CPU_2_L3_1_MemBW,63,3500,3500.0035727845493,0.241,0.16,0.0,0.514,0.624,0.887,10.597,0
1replicas_scenario64_3500rps,1,1_L3_3_MemBW,64,3500,3500.0064732472474,0.173,0.145,0.0,0.291,0.334,0.474,4.243,0
1replicas_scenario59_4000rps,1,1_CPU_2_MemBW,59,4000,4000.003887226,0.119,0.105,0.0,0.172,0.206,0.351,3.774,0
1replicas_scenario60_4000rps,1,2_CPU_1_MemBW,60,4000,3999.9991565978353,0.203,0.178,0.0,0.329,0.383,0.577,6.12,0
1replicas_scenario61_4000rps,1,3_L3_1_MemBW,61,4000,3999.9999761554895,0.345,0.238,0.0,0.663,0.846,1.736,17.838,0
1replicas_scenario62_4000rps,1,1_CPU_3_MemBW,62,4000,4000.0039474538225,0.119,0.107,0.0,0.171,0.199,0.309,5.55,0
1replicas_scenario63_4000rps,1,1_CPU_2_L3_1_MemBW,63,4000,4000.0023472046373,0.235,0.158,0.0,0.493,0.615,0.912,8.323,0
1replicas_scenario64_4000rps,1,1_L3_3_MemBW,64,4000,4000.0203730148755,0.168,0.141,0.0,0.277,0.329,0.486,4.643,0
2replicas_scenario59_500rps,2,1_CPU_2_MemBW,59,500,500.00347626583533,0.103,0.097,0.0,0.128,0.15,0.224,2.56,0
2replicas_scenario60_500rps,2,2_CPU_1_MemBW,60,500,500.0052365465089,0.099,0.092,0.0,0.128,0.149,0.202,3.299,0
2replicas_scenario61_500rps,2,3_L3_1_MemBW,61,500,500.0031116304754,0.381,0.278,0.0,0.785,0.875,1.036,8.785,0
2replicas_scenario62_500rps,2,1_CPU_3_MemBW,62,500,500.0051668617257,0.114,0.103,0.0,0.162,0.179,0.241,2.603,0
2replicas_scenario63_500rps,2,1_CPU_2_L3_1_MemBW,63,500,500.0033886368545,0.212,0.163,0.0,0.408,0.484,0.608,3.781,0
2replicas_scenario64_500rps,2,1_L3_3_MemBW,64,500,500.0045861642876,0.158,0.135,0.0,0.244,0.304,0.46,3.186,0
2replicas_scenario59_1000rps,2,1_CPU_2_MemBW,59,1000,1000.0030906428854,0.096,0.092,0.0,0.116,0.127,0.17,3.733,0
2replicas_scenario60_1000rps,2,2_CPU_1_MemBW,60,1000,1000.0022346272158,0.098,0.09,0.0,0.131,0.158,0.21,2.535,0
2replicas_scenario61_1000rps,2,3_L3_1_MemBW,61,1000,999.9998944666778,0.313,0.282,0.0,0.548,0.648,0.845,4.71,0
2replicas_scenario62_1000rps,2,1_CPU_3_MemBW,62,1000,1000.0007021043936,0.109,0.101,0.0,0.151,0.173,0.218,3.92,0
2replicas_scenario63_1000rps,2,1_CPU_2_L3_1_MemBW,63,1000,1000.0050074361853,0.19,0.14,0.0,0.361,0.46,0.605,3.789,0
2replicas_scenario64_1000rps,2,1_L3_3_MemBW,64,1000,1000.0012871238789,0.15,0.126,0.0,0.238,0.275,0.425,4.285,0
2replicas_scenario59_1500rps,2,1_CPU_2_MemBW,59,1500,1500.0064810845545,0.098,0.091,0.0,0.126,0.148,0.211,4.3,0
2replicas_scenario60_1500rps,2,2_CPU_1_MemBW,60,1500,1500.0040135774057,0.112,0.096,0.0,0.172,0.192,0.241,3.994,0
2replicas_scenario61_1500rps,2,3_L3_1_MemBW,61,1500,1500.0024983254636,0.349,0.328,0.0,0.6,0.696,0.901,6.423,0
2replicas_scenario62_1500rps,2,1_CPU_3_MemBW,62,1500,1500.0035021257613,0.169,0.166,0.0,0.238,0.264,0.329,3.34,0
