System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-06,03:48:52.320,7.01,86.63,0.00,7.01,86.63,0.00,1.49,0.10,0.25,12.52,83.75,0.00,2.98,59.68,1.63,0.11,0.31,8.46,87.70,0.00,3.26,65.22,1.76,0.20,0.61,11.61,81.62,0.00,3.52,70.38,0.67,0.06,2.02,5.84,83.08,0.00,1.35,26.98,0.75,0.06,1.80,5.54,90.73,0.00,1.50,29.90,0.78,0.06,1.93,5.64,90.53,0.00,1.56,31.28,0.90,0.04,1.12,3.19,90.04,0.00,1.81,36.17,0.75,0.03,1.07,3.31,85.61,0.00,1.50,30.04
2025-07-06,03:48:57.321,8.16,91.84,0.00,8.16,91.84,0.00,1.39,0.06,0.21,6.90,93.09,0.00,2.78,55.67,1.64,0.09,0.26,8.53,91.47,0.00,3.27,65.46,1.72,0.21,0.53,21.46,78.53,0.00,3.44,68.80,0.66,0.06,2.75,7.24,92.76,0.00,1.33,26.55,0.87,0.05,2.05,6.58,93.41,0.00,1.74,34.83,0.77,0.07,2.61,6.64,93.36,0.00,1.55,30.96,0.86,0.04,1.49,3.90,96.09,0.00,1.72,34.48,0.74,0.04,1.39,4.03,95.97,0.00,1.49,29.72
2025-07-06,03:49:02.321,7.65,92.35,0.00,7.65,92.35,0.00,1.48,0.09,0.26,8.39,91.60,0.00,2.96,59.11,1.78,0.09,0.24,12.00,88.00,0.00,3.56,71.13,1.43,0.21,0.57,11.75,88.25,0.00,2.86,57.24,0.68,0.06,2.77,7.39,92.61,0.00,1.35,27.05,0.83,0.06,2.31,6.89,93.10,0.00,1.65,33.10,0.74,0.07,2.87,6.91,93.09,0.00,1.48,29.60,0.95,0.04,1.20,3.85,96.15,0.00,1.91,38.19,0.74,0.03,1.39,4.04,95.96,0.00,1.48,29.58
2025-07-06,03:49:07.320,7.87,92.13,0.00,7.87,92.13,0.00,1.51,0.13,0.31,6.95,93.05,0.00,3.03,60.53,1.80,0.08,0.22,12.34,87.66,0.00,3.60,72.03,1.39,0.13,0.38,13.82,86.18,0.00,2.78,55.58,0.69,0.06,2.77,7.66,92.34,0.00,1.37,27.43,0.82,0.07,2.46,7.05,92.95,0.00,1.64,32.85,0.74,0.06,2.99,7.13,92.87,0.00,1.47,29.47,0.97,0.04,1.09,3.85,96.15,0.00,1.94,38.77,0.73,0.03,1.41,4.15,95.85,0.00,1.46,29.16
2025-07-06,03:49:12.321,7.95,92.05,0.00,7.95,92.05,0.00,1.76,0.12,0.29,11.78,88.22,0.00,3.53,70.52,1.59,0.10,0.30,7.97,92.03,0.00,3.17,63.46,1.38,0.16,0.48,14.37,85.63,0.00,2.76,55.22,0.67,0.06,2.84,7.50,92.50,0.00,1.35,26.95,0.73,0.11,3.04,7.15,92.84,0.00,1.45,29.10,0.79,0.07,2.68,7.09,92.91,0.00,1.58,31.50,0.96,0.04,1.08,3.72,96.28,0.00,1.93,38.59,0.73,0.03,1.40,4.00,96.00,0.00,1.46,29.21
2025-07-06,03:49:17.321,8.07,91.93,0.00,8.07,91.93,0.00,1.48,0.09,0.26,7.01,92.99,0.00,2.97,59.39,1.75,0.08,0.24,11.10,88.90,0.00,3.50,69.96,1.51,0.14,0.42,16.68,83.31,0.00,3.03,60.59,0.66,0.06,2.86,7.53,92.47,0.00,1.32,26.41,0.80,0.06,2.48,6.99,93.01,0.00,1.60,31.97,0.75,0.08,3.02,7.25,92.75,0.00,1.50,30.02,0.93,0.04,1.24,3.93,96.06,0.00,1.86,37.26,0.74,0.03,1.40,4.07,95.93,0.00,1.48,29.56
2025-07-06,03:49:22.321,8.35,91.64,0.00,8.35,91.64,0.00,1.42,0.05,0.16,7.48,92.52,0.00,2.83,56.60,1.65,0.09,0.29,7.98,92.02,0.00,3.29,65.88,1.77,0.20,0.61,23.11,76.87,0.00,3.55,70.96,0.68,0.05,2.60,7.14,92.86,0.00,1.35,27.10,0.91,0.05,1.90,6.52,93.48,0.00,1.82,36.46,0.81,0.06,2.43,6.66,93.34,0.00,1.62,32.44,0.86,0.04,1.53,3.91,96.07,0.00,1.71,34.22,0.76,0.04,1.36,4.05,95.95,0.00,1.53,30.53
2025-07-06,03:49:27.321,8.08,91.92,0.00,8.08,91.92,0.00,1.56,0.07,0.22,8.78,91.21,0.00,3.12,62.34,1.64,0.09,0.26,9.44,90.56,0.00,3.28,65.55,1.60,0.20,0.55,17.46,82.52,0.00,3.20,64.00,0.66,0.07,2.85,7.24,92.76,0.00,1.33,26.57,0.84,0.06,2.39,6.71,93.29,0.00,1.67,33.47,0.79,0.06,2.67,6.87,93.13,0.00,1.59,31.72,0.87,0.04,1.44,4.02,95.96,0.00,1.73,34.65,0.75,0.04,1.41,4.10,95.90,0.00,1.49,29.83
2025-07-06,03:49:32.321,8.16,91.84,0.00,8.16,91.84,0.00,1.38,0.07,0.21,6.83,93.17,0.00,2.76,55.12,1.65,0.12,0.30,9.32,90.68,0.00,3.29,65.83,1.68,0.19,0.50,20.41,79.58,0.00,3.36,67.25,0.67,0.06,2.69,7.38,92.62,0.00,1.34,26.90,0.90,0.06,1.90,6.46,93.54,0.00,1.79,35.89,0.77,0.06,2.62,6.84,93.16,0.00,1.54,30.73,0.86,0.04,1.49,4.00,95.99,0.00,1.71,34.21,0.74,0.04,1.38,4.03,95.97,0.00,1.48,29.52
2025-07-06,03:49:37.322,7.99,92.01,0.00,7.99,92.01,0.00,1.48,0.06,0.20,7.54,92.45,0.00,2.97,59.30,1.72,0.10,0.27,10.11,89.87,0.00,3.44,68.86,1.60,0.17,0.49,17.00,83.00,0.00,3.19,63.81,0.67,0.06,2.76,7.53,92.47,0.00,1.34,26.81,0.85,0.07,2.20,6.72,93.27,0.00,1.70,33.98,0.74,0.08,2.78,6.97,93.01,0.00,1.48,29.63,0.91,0.04,1.35,3.92,96.08,0.00,1.82,36.41,0.74,0.04,1.41,4.08,95.92,0.00,1.48,29.56
