System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-06,02:56:45.762,1.17,2.59,13.67,24.54,22.57,2.33,46.64,16.13,79.75,0.00,99.98,0.00
2025-07-06,02:56:50.761,1.06,3.01,15.88,24.70,21.92,2.12,42.30,17.55,82.45,0.00,100.00,0.00
2025-07-06,02:56:55.762,1.07,2.96,15.81,24.86,22.26,2.13,42.64,17.48,82.52,0.00,100.00,0.00
2025-07-06,02:57:00.763,1.08,2.80,15.21,24.51,21.88,2.17,43.37,17.33,82.66,0.00,100.00,0.00
2025-07-06,02:57:05.761,1.11,2.87,15.56,24.62,22.03,2.21,44.29,17.25,82.75,0.00,100.00,0.00
2025-07-06,02:57:10.762,1.06,2.96,15.51,24.84,22.34,2.13,42.57,17.52,82.48,0.00,100.00,0.00
2025-07-06,02:57:15.762,1.04,2.92,15.62,24.81,22.47,2.08,41.57,17.59,82.41,0.00,100.00,0.00
2025-07-06,02:57:20.763,1.06,2.92,15.40,24.77,22.40,2.12,42.37,17.41,82.59,0.00,100.00,0.00
2025-07-06,02:57:25.763,1.05,2.91,15.40,24.82,22.38,2.11,42.16,17.43,82.57,0.00,100.00,0.00
2025-07-06,02:57:30.763,1.05,2.98,15.71,24.92,22.40,2.10,41.99,17.64,82.36,0.00,100.00,0.00
2025-07-06,02:57:35.763,1.07,2.90,15.23,24.55,22.24,2.13,42.63,17.36,82.64,0.00,100.00,0.00
2025-07-06,02:57:40.765,1.04,2.87,15.20,24.49,22.20,2.09,41.74,17.50,82.50,0.00,100.00,0.00
2025-07-06,02:57:45.766,1.07,2.85,15.12,24.74,22.51,2.14,42.83,17.37,82.63,0.00,100.00,0.00
2025-07-06,02:57:50.765,1.12,2.86,15.28,24.57,22.10,2.24,44.75,17.36,82.64,0.00,100.00,0.00
2025-07-06,02:57:55.767,1.10,2.94,15.36,25.02,22.79,2.19,43.82,17.42,82.58,0.00,100.00,0.00
2025-07-06,02:58:00.768,1.11,2.97,15.53,24.56,22.16,2.21,44.25,17.63,82.37,0.00,100.00,0.00
2025-07-06,02:58:05.769,1.10,2.99,15.53,24.76,22.21,2.19,43.81,17.54,82.45,0.00,100.00,0.00
2025-07-06,02:58:10.770,1.07,3.02,15.74,24.48,22.17,2.15,42.94,17.79,82.21,0.00,100.00,0.00
2025-07-06,02:58:15.768,1.13,2.92,15.41,24.69,22.50,2.26,45.19,17.29,82.71,0.00,100.00,0.00
2025-07-06,02:58:20.768,1.10,3.14,15.72,25.00,22.23,2.21,44.12,17.69,82.31,0.00,100.00,0.00
2025-07-06,02:58:25.769,1.12,2.94,15.28,25.21,23.14,2.24,44.74,17.31,82.68,0.00,100.00,0.00
2025-07-06,02:58:30.769,1.11,3.08,15.80,24.80,22.49,2.21,44.23,17.62,82.38,0.00,100.00,0.00
2025-07-06,02:58:35.770,1.13,2.96,15.51,24.93,22.87,2.26,45.25,17.35,82.65,0.00,100.00,0.00
2025-07-06,02:58:40.770,1.12,3.10,15.63,24.92,22.67,2.25,44.94,17.71,82.29,0.00,100.00,0.00
2025-07-06,02:58:45.770,1.11,3.03,15.51,24.98,22.93,2.22,44.45,17.52,82.48,0.00,100.00,0.00
2025-07-06,02:58:50.770,1.10,3.10,15.84,24.90,22.52,2.20,43.94,17.69,82.31,0.00,100.00,0.00
2025-07-06,02:58:55.772,1.15,2.99,15.40,24.60,22.46,2.31,46.13,17.26,82.74,0.00,100.00,0.00
2025-07-06,02:59:00.772,1.12,3.02,15.58,24.86,22.73,2.25,44.94,17.41,82.59,0.00,100.00,0.00
2025-07-06,02:59:05.772,1.13,2.89,15.09,24.26,22.39,2.27,45.35,17.21,82.79,0.00,100.00,0.00
2025-07-06,02:59:10.772,1.13,3.06,15.58,24.89,22.75,2.26,45.29,17.46,82.54,0.00,100.00,0.00
2025-07-06,02:59:15.771,1.12,2.97,15.42,25.01,22.93,2.24,44.81,17.30,82.70,0.00,100.00,0.00
2025-07-06,02:59:20.772,1.13,3.01,15.66,24.88,22.92,2.27,45.39,17.40,82.60,0.00,100.00,0.00
2025-07-06,02:59:25.772,1.16,2.93,15.16,24.65,22.87,2.31,46.27,17.21,82.79,0.00,100.00,0.00
2025-07-06,02:59:30.773,1.12,3.24,16.14,24.94,23.04,2.25,44.92,17.77,82.23,0.00,100.00,0.00
2025-07-06,02:59:35.775,1.13,3.03,15.33,24.87,23.00,2.27,45.31,17.34,82.66,0.00,100.00,0.00
2025-07-06,02:59:40.775,1.11,3.02,15.57,24.69,22.86,2.22,44.40,17.64,82.36,0.00,100.00,0.00
2025-07-06,02:59:45.774,1.81,1.80,7.36,24.09,24.04,3.62,72.45,14.72,77.47,0.00,100.00,0.00
