System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-04-29,17:36:01.500,2.74,90.60,0.00,2.74,90.60,0.00,0.90,0.12,0.52,2.74,90.26,0.00,1.80,35.97,0.81,0.13,0.53,2.72,90.71,0.00,1.62,32.31,0.82,0.13,0.55,2.71,90.58,0.00,1.65,32.97,0.82,0.13,0.53,2.73,90.88,0.00,1.64,32.85,0.82,0.12,0.51,2.63,90.36,0.00,1.64,32.82,0.85,0.13,0.55,2.77,90.66,0.00,1.69,33.82,0.83,0.13,0.54,2.78,90.51,0.00,1.66,33.29,0.85,0.13,0.55,2.79,90.82,0.00,1.70,33.97
2025-04-29,17:36:06.500,5.08,94.92,0.00,5.08,94.92,0.00,0.67,0.41,1.65,5.15,94.85,0.00,1.35,27.00,0.67,0.41,1.60,5.05,94.95,0.00,1.35,26.93,0.69,0.41,1.59,5.12,94.88,0.00,1.38,27.65,0.66,0.41,1.56,5.01,94.99,0.00,1.32,26.42,0.66,0.41,1.59,4.94,95.06,0.00,1.31,26.22,0.67,0.42,1.65,5.19,94.81,0.00,1.35,26.97,0.68,0.41,1.58,5.09,94.91,0.00,1.37,27.31,0.67,0.42,1.63,5.11,94.89,0.00,1.34,26.83
2025-04-29,17:36:11.500,4.48,95.52,0.00,4.48,95.52,0.00,0.65,0.34,1.63,4.45,95.55,0.00,1.30,25.97,0.64,0.35,1.60,4.43,95.57,0.00,1.27,25.49,0.65,0.36,1.60,4.49,95.51,0.00,1.31,26.10,0.63,0.36,1.62,4.49,95.51,0.00,1.26,25.27,0.64,0.35,1.60,4.47,95.53,0.00,1.29,25.70,0.67,0.35,1.64,4.53,95.47,0.00,1.34,26.87,0.66,0.35,1.58,4.44,95.56,0.00,1.32,26.46,0.63,0.36,1.64,4.54,95.46,0.00,1.27,25.34
2025-04-29,17:36:16.500,4.50,95.50,0.00,4.50,95.50,0.00,0.65,0.36,1.63,4.58,95.42,0.00,1.29,25.87,0.64,0.35,1.57,4.44,95.56,0.00,1.28,25.54,0.65,0.36,1.54,4.45,95.55,0.00,1.30,25.92,0.64,0.36,1.59,4.55,95.45,0.00,1.29,25.78,0.64,0.36,1.56,4.44,95.56,0.00,1.27,25.49,0.67,0.36,1.62,4.57,95.43,0.00,1.34,26.75,0.64,0.35,1.59,4.46,95.54,0.00,1.29,25.72,0.64,0.35,1.58,4.52,95.48,0.00,1.28,25.55
2025-04-29,17:36:21.500,4.52,95.48,0.00,4.52,95.48,0.00,0.65,0.36,1.62,4.50,95.50,0.00,1.29,25.86,0.64,0.34,1.59,4.45,95.55,0.00,1.28,25.62,0.64,0.34,1.58,4.49,95.51,0.00,1.28,25.65,0.65,0.35,1.62,4.52,95.48,0.00,1.30,25.92,0.64,0.37,1.63,4.47,95.53,0.00,1.27,25.46,0.66,0.34,1.64,4.50,95.50,0.00,1.31,26.29,0.64,0.36,1.63,4.60,95.40,0.00,1.28,25.60,0.63,0.37,1.66,4.58,95.42,0.00,1.27,25.34
2025-04-29,17:36:26.501,4.37,95.63,0.00,4.37,95.63,0.00,0.66,0.34,1.59,4.45,95.55,0.00,1.31,26.27,0.65,0.35,1.55,4.35,95.65,0.00,1.29,25.82,0.65,0.34,1.50,4.27,95.73,0.00,1.30,26.03,0.65,0.35,1.53,4.34,95.66,0.00,1.29,25.89,0.64,0.34,1.52,4.30,95.70,0.00,1.29,25.72,0.68,0.34,1.57,4.42,95.58,0.00,1.35,27.07,0.66,0.34,1.52,4.38,95.62,0.00,1.32,26.43,0.66,0.35,1.55,4.41,95.59,0.00,1.31,26.22
2025-04-29,17:36:31.500,4.43,95.57,0.00,4.43,95.57,0.00,0.66,0.35,1.62,4.51,95.49,0.00,1.32,26.45,0.64,0.35,1.57,4.42,95.58,0.00,1.28,25.60,0.63,0.34,1.57,4.37,95.63,0.00,1.27,25.33,0.65,0.35,1.61,4.45,95.55,0.00,1.29,25.82,0.65,0.34,1.54,4.36,95.64,0.00,1.30,26.06,0.65,0.34,1.63,4.50,95.50,0.00,1.31,26.15,0.64,0.35,1.61,4.42,95.58,0.00,1.29,25.73,0.64,0.34,1.59,4.40,95.60,0.00,1.27,25.50
2025-04-29,17:36:36.501,4.37,95.63,0.00,4.37,95.63,0.00,0.65,0.34,1.56,4.33,95.67,0.00,1.29,25.86,0.64,0.34,1.57,4.34,95.66,0.00,1.29,25.71,0.66,0.33,1.53,4.32,95.68,0.00,1.32,26.36,0.66,0.34,1.57,4.45,95.55,0.00,1.33,26.52,0.64,0.34,1.56,4.33,95.67,0.00,1.28,25.61,0.65,0.35,1.63,4.44,95.56,0.00,1.29,25.83,0.65,0.33,1.58,4.34,95.66,0.00,1.30,25.95,0.66,0.34,1.57,4.39,95.61,0.00,1.32,26.31
2025-04-29,17:36:41.501,4.48,95.52,0.00,4.48,95.52,0.00,0.65,0.34,1.56,4.42,95.58,0.00,1.30,26.06,0.64,0.35,1.59,4.48,95.52,0.00,1.29,25.72,0.65,0.34,1.54,4.40,95.60,0.00,1.30,25.98,0.64,0.35,1.60,4.46,95.54,0.00,1.27,25.47,0.65,0.34,1.58,4.43,95.57,0.00,1.30,26.05,0.67,0.36,1.66,4.60,95.40,0.00,1.34,26.85,0.65,0.36,1.62,4.52,95.48,0.00,1.29,25.86,0.67,0.35,1.56,4.49,95.51,0.00,1.34,26.83
2025-04-29,17:36:46.502,4.50,95.50,0.00,4.50,95.50,0.00,0.66,0.35,1.57,4.44,95.56,0.00,1.32,26.39,0.64,0.35,1.59,4.47,95.53,0.00,1.27,25.42,0.62,0.35,1.58,4.42,95.58,0.00,1.24,24.80,0.64,0.36,1.62,4.53,95.47,0.00,1.28,25.51,0.64,0.34,1.59,4.45,95.55,0.00,1.28,25.58,0.64,0.36,1.67,4.63,95.37,0.00,1.29,25.79,0.63,0.35,1.60,4.50,95.50,0.00,1.26,25.23,0.65,0.38,1.61,4.57,95.43,0.00,1.30,25.90
