System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-04-29,17:45:10.927,6.87,91.91,0.0,6.87,91.91,0.0,1.01,0.23,0.86,5.26,94.12,0.0,2.02,40.38,1.07,0.17,0.73,5.58,92.51,0.0,2.14,42.9,1.07,0.19,0.69,5.56,92.72,0.0,2.15,42.95,1.06,0.19,0.74,5.56,93.81,0.0,2.12,42.48,1.09,0.56,2.28,16.5,82.88,0.0,2.17,43.48,0.98,0.25,1.0,5.51,92.58,0.0,1.95,39.01,1.0,0.24,0.94,5.46,92.83,0.0,2.0,39.92,1.05,0.2,0.76,5.54,93.83,0.0,2.09,41.82
2025-04-29,17:45:15.927,7.66,92.34,0.0,7.66,92.34,0.0,1.01,0.23,0.91,6.01,93.99,0.0,2.03,40.53,0.97,0.31,1.21,6.19,93.81,0.0,1.93,38.66,1.0,0.27,0.99,6.17,93.83,0.0,2.0,39.99,1.05,0.21,0.8,6.12,93.88,0.0,2.1,41.99,1.06,0.62,2.34,18.44,81.56,0.0,2.12,42.35,0.98,0.31,1.09,6.09,93.91,0.0,1.95,39.08,0.97,0.31,1.1,6.11,93.89,0.0,1.94,38.88,1.0,0.27,1.0,6.11,93.89,0.0,2.0,39.96
2025-04-29,17:45:20.927,7.65,92.35,0.0,7.65,92.35,0.0,1.01,0.23,0.88,6.0,94.0,0.0,2.02,40.36,1.01,0.25,1.01,6.18,93.82,0.0,2.01,40.27,1.05,0.2,0.79,6.18,93.82,0.0,2.11,42.16,0.92,0.34,1.32,6.14,93.86,0.0,1.85,36.93,1.05,0.61,2.23,18.32,81.68,0.0,2.11,42.15,0.93,0.35,1.35,6.1,93.9,0.0,1.85,37.05,1.06,0.2,0.75,6.11,93.89,0.0,2.12,42.32,0.94,0.33,1.35,6.19,93.81,0.0,1.87,37.5
2025-04-29,17:45:25.927,7.64,92.36,0.0,7.64,92.36,0.0,1.01,0.25,0.94,6.08,93.92,0.0,2.02,40.31,1.02,0.24,0.91,6.17,93.83,0.0,2.04,40.9,0.89,0.38,1.45,6.08,93.92,0.0,1.78,35.56,1.04,0.21,0.76,6.14,93.86,0.0,2.09,41.79,1.01,0.71,2.87,18.23,81.77,0.0,2.03,40.52,1.04,0.24,0.8,6.15,93.85,0.0,2.08,41.61,0.91,0.38,1.48,6.16,93.84,0.0,1.81,36.22,1.04,0.22,0.82,6.12,93.88,0.0,2.07,41.4
2025-04-29,17:45:30.927,7.65,92.35,0.0,7.65,92.35,0.0,1.02,0.25,0.85,6.08,93.92,0.0,2.03,40.65,0.95,0.32,1.29,6.2,93.8,0.0,1.9,37.94,1.07,0.19,0.62,6.02,93.98,0.0,2.14,42.74,0.94,0.32,1.29,6.18,93.82,0.0,1.87,37.46,1.07,0.6,2.22,18.29,81.71,0.0,2.13,42.66,0.93,0.34,1.33,6.14,93.86,0.0,1.86,37.27,1.07,0.19,0.72,6.15,93.85,0.0,2.13,42.63,0.92,0.35,1.29,6.18,93.82,0.0,1.84,36.8
2025-04-29,17:45:35.927,7.66,92.34,0.0,7.66,92.34,0.0,0.99,0.28,0.97,6.1,93.9,0.0,1.99,39.74,0.91,0.37,1.46,6.18,93.82,0.0,1.82,36.34,1.0,0.26,0.97,6.13,93.87,0.0,2.01,40.2,1.08,0.17,0.63,6.16,93.84,0.0,2.16,43.27,1.01,0.72,2.69,18.29,81.71,0.0,2.02,40.48,0.91,0.38,1.47,6.12,93.88,0.0,1.81,36.27,1.03,0.22,0.91,6.17,93.83,0.0,2.06,41.3,1.06,0.19,0.71,6.16,93.84,0.0,2.12,42.3
2025-04-29,17:45:40.927,7.66,92.34,0.0,7.66,92.34,0.0,0.94,0.32,1.25,6.11,93.89,0.0,1.89,37.76,0.98,0.28,1.1,6.17,93.83,0.0,1.95,39.03,0.99,0.28,1.01,6.13,93.87,0.0,1.99,39.79,1.04,0.2,0.72,6.15,93.85,0.0,2.08,41.68,0.98,0.9,3.38,18.3,81.7,0.0,1.96,39.17,0.95,0.31,1.2,6.12,93.88,0.0,1.91,38.1,1.01,0.25,0.99,6.14,93.86,0.0,2.03,40.54,1.05,0.18,0.67,6.15,93.85,0.0,2.1,42.06
2025-04-29,17:45:45.926,7.68,92.32,0.0,7.68,92.32,0.0,0.99,0.29,1.05,6.16,93.84,0.0,1.98,39.51,1.0,0.27,1.02,6.17,93.83,0.0,1.99,39.88,0.99,0.28,0.96,6.1,93.9,0.0,1.99,39.77,1.01,0.26,0.93,6.16,93.84,0.0,2.02,40.37,0.98,0.86,3.27,18.41,81.59,0.0,1.96,39.28,0.97,0.29,1.08,6.09,93.91,0.0,1.94,38.86,1.0,0.27,1.0,6.18,93.82,0.0,1.99,39.89,1.05,0.2,0.76,6.14,93.86,0.0,2.1,42.09
2025-04-29,17:45:50.927,7.68,92.32,0.0,7.68,92.32,0.0,0.94,0.34,1.18,6.16,93.84,0.0,1.88,37.66,1.04,0.22,0.83,6.18,93.82,0.0,2.07,41.4,0.98,0.28,1.05,6.09,93.91,0.0,1.95,39.01,0.98,0.3,1.06,6.17,93.83,0.0,1.96,39.21,0.98,0.85,3.24,18.3,81.7,0.0,1.96,39.16,1.03,0.23,0.87,6.17,93.83,0.0,2.05,41.0,0.99,0.27,1.08,6.17,93.83,0.0,1.98,39.67,0.98,0.29,1.06,6.18,93.82,0.0,1.96,39.24
2025-04-29,17:45:55.927,7.67,92.33,0.0,7.67,92.33,0.0,1.06,0.18,0.7,6.04,93.96,0.0,2.12,42.47,0.97,0.32,1.12,6.18,93.82,0.0,1.94,38.85,0.96,0.27,1.08,6.04,93.96,0.0,1.93,38.6,0.97,0.31,1.07,6.16,93.84,0.0,1.94,38.88,1.03,0.69,2.63,18.4,81.6,0.0,2.06,41.2,0.97,0.33,1.12,6.17,93.83,0.0,1.93,38.68,0.98,0.29,1.11,6.16,93.84,0.0,1.95,39.04,1.0,0.28,1.01,6.19,93.81,0.0,2.0,40.09
