System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-03,14:44:05.549,5.25,91.55,0.00,5.25,91.55,0.00,0.79,0.37,1.20,4.97,92.11,0.00,1.59,31.78,0.81,0.42,1.37,5.54,91.27,0.00,1.62,32.39,0.98,0.27,0.80,5.35,90.91,0.00,1.95,39.04,0.95,0.27,0.91,5.53,91.55,0.00,1.91,38.20,0.87,0.35,1.18,5.59,91.48,0.00,1.75,34.97,0.76,0.44,1.43,5.08,91.74,0.00,1.53,30.53,0.92,0.30,0.92,4.98,91.28,0.00,1.84,36.81,0.85,0.35,1.07,4.99,92.09,0.00,1.70,34.03
2025-05-03,14:44:10.548,6.08,93.92,0.00,6.08,93.92,0.00,0.86,0.39,1.31,6.01,93.99,0.00,1.73,34.53,0.84,0.43,1.39,6.09,93.91,0.00,1.68,33.63,0.85,0.41,1.35,6.04,93.96,0.00,1.69,33.88,0.82,0.47,1.52,6.12,93.88,0.00,1.63,32.67,0.86,0.40,1.35,6.10,93.90,0.00,1.72,34.38,0.85,0.43,1.39,6.12,93.88,0.00,1.69,33.87,0.86,0.42,1.31,6.08,93.92,0.00,1.71,34.27,0.81,0.45,1.49,6.08,93.92,0.00,1.62,32.38
2025-05-03,14:44:15.549,6.11,93.89,0.00,6.11,93.89,0.00,0.94,0.32,1.03,6.12,93.88,0.00,1.88,37.60,0.81,0.45,1.50,6.09,93.91,0.00,1.62,32.37,0.80,0.45,1.50,6.08,93.92,0.00,1.60,31.97,0.84,0.44,1.39,6.13,93.87,0.00,1.69,33.79,0.90,0.37,1.23,6.13,93.87,0.00,1.80,36.09,0.80,0.45,1.56,6.15,93.85,0.00,1.60,32.08,0.81,0.46,1.53,6.06,93.94,0.00,1.62,32.34,0.82,0.46,1.45,6.12,93.88,0.00,1.65,32.91
2025-05-03,14:44:20.548,6.10,93.90,0.00,6.10,93.90,0.00,0.79,0.48,1.54,6.08,93.92,0.00,1.57,31.49,0.84,0.41,1.39,6.09,93.91,0.00,1.69,33.70,0.84,0.43,1.43,6.13,93.87,0.00,1.68,33.57,0.90,0.36,1.14,6.13,93.87,0.00,1.80,36.04,0.81,0.46,1.52,6.11,93.89,0.00,1.62,32.45,0.86,0.41,1.30,6.12,93.88,0.00,1.73,34.56,0.82,0.45,1.47,6.05,93.95,0.00,1.64,32.81,0.92,0.34,1.10,6.09,93.91,0.00,1.84,36.87
2025-05-03,14:44:25.548,6.10,93.90,0.00,6.10,93.90,0.00,0.80,0.46,1.52,6.05,93.95,0.00,1.60,31.97,0.87,0.41,1.27,6.13,93.87,0.00,1.74,34.71,0.83,0.40,1.36,6.02,93.98,0.00,1.67,33.38,0.87,0.40,1.29,6.12,93.88,0.00,1.74,34.74,0.79,0.48,1.62,6.12,93.88,0.00,1.58,31.52,0.83,0.43,1.45,6.15,93.85,0.00,1.65,33.03,0.85,0.40,1.34,6.09,93.91,0.00,1.71,34.14,0.87,0.40,1.28,6.13,93.87,0.00,1.74,34.87
2025-05-03,14:44:30.548,6.09,93.91,0.00,6.09,93.91,0.00,0.83,0.46,1.39,6.07,93.93,0.00,1.66,33.12,0.86,0.37,1.25,6.10,93.90,0.00,1.72,34.41,0.78,0.48,1.55,6.06,93.94,0.00,1.57,31.35,0.84,0.42,1.36,6.10,93.90,0.00,1.69,33.71,0.85,0.43,1.36,6.12,93.88,0.00,1.71,34.18,0.88,0.38,1.24,6.11,93.89,0.00,1.77,35.39,0.79,0.47,1.53,6.09,93.91,0.00,1.59,31.72,0.85,0.42,1.32,6.09,93.91,0.00,1.69,33.86
2025-05-03,14:44:35.548,6.09,93.91,0.00,6.09,93.91,0.00,0.82,0.45,1.41,6.09,93.91,0.00,1.64,32.78,0.83,0.44,1.40,6.13,93.87,0.00,1.67,33.36,0.81,0.42,1.33,5.83,94.17,0.00,1.62,32.43,0.85,0.44,1.34,6.13,93.87,0.00,1.69,33.84,0.83,0.42,1.39,6.15,93.85,0.00,1.67,33.38,0.88,0.39,1.25,6.14,93.86,0.00,1.75,35.04,0.84,0.43,1.39,6.14,93.86,0.00,1.69,33.78,0.87,0.40,1.31,6.13,93.87,0.00,1.73,34.69
2025-05-03,14:44:40.548,6.07,93.93,0.00,6.07,93.93,0.00,0.86,0.40,1.27,6.03,93.97,0.00,1.72,34.37,0.79,0.49,1.55,6.12,93.88,0.00,1.58,31.54,0.82,0.42,1.36,5.87,94.13,0.00,1.64,32.82,0.84,0.43,1.33,6.12,93.88,0.00,1.68,33.55,0.85,0.40,1.32,6.09,93.91,0.00,1.70,33.94,0.83,0.46,1.47,6.13,93.87,0.00,1.65,33.03,0.85,0.43,1.36,6.09,93.91,0.00,1.71,34.15,0.83,0.42,1.37,6.09,93.91,0.00,1.67,33.34
2025-05-03,14:44:45.549,6.09,93.91,0.00,6.09,93.91,0.00,0.81,0.43,1.47,6.09,93.91,0.00,1.62,32.44,0.83,0.45,1.41,6.14,93.86,0.00,1.67,33.35,0.84,0.42,1.28,5.87,94.13,0.00,1.69,33.74,0.85,0.42,1.30,6.14,93.86,0.00,1.70,34.10,0.84,0.44,1.41,6.13,93.87,0.00,1.68,33.50,0.85,0.43,1.35,6.15,93.85,0.00,1.69,33.85,0.89,0.37,1.26,6.11,93.89,0.00,1.79,35.72,0.83,0.41,1.36,6.12,93.88,0.00,1.66,33.22
2025-05-03,14:44:50.548,6.06,93.94,0.00,6.06,93.94,0.00,0.82,0.44,1.39,6.06,93.94,0.00,1.64,32.72,0.83,0.45,1.38,6.13,93.87,0.00,1.67,33.39,0.82,0.40,1.25,5.69,94.31,0.00,1.64,32.85,0.86,0.40,1.25,6.12,93.88,0.00,1.72,34.43,0.84,0.45,1.41,6.12,93.88,0.00,1.69,33.77,0.84,0.45,1.38,6.14,93.86,0.00,1.68,33.59,0.83,0.42,1.42,6.10,93.90,0.00,1.67,33.33,0.86,0.39,1.24,6.13,93.87,0.00,1.72,34.38
