System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-03,14:55:56.096,5.80,94.20,0.00,5.80,94.20,0.00,0.32,0.10,0.25,5.54,94.46,0.00,0.63,12.67,0.21,0.20,0.38,6.32,93.68,0.00,0.42,8.46,0.19,0.12,0.28,5.29,94.71,0.00,0.39,7.73,0.19,0.08,0.17,6.14,93.86,0.00,0.38,7.53,0.21,0.16,0.34,5.89,94.11,0.00,0.41,8.23,0.21,0.19,0.37,5.35,94.65,0.00,0.42,8.41,0.79,0.12,0.27,6.39,93.61,0.00,1.58,31.55,0.15,0.18,0.28,5.52,94.48,0.00,0.31,6.15
2025-05-03,14:56:01.096,5.99,94.01,0.00,5.99,94.01,0.00,0.19,0.14,0.32,6.00,94.00,0.00,0.39,7.71,0.23,0.16,0.45,5.98,94.02,0.00,0.46,9.21,0.21,0.15,0.38,5.99,94.01,0.00,0.43,8.52,0.17,0.08,0.16,6.06,93.94,0.00,0.34,6.85,0.25,0.11,0.28,5.91,94.09,0.00,0.51,10.10,0.22,0.17,0.46,6.00,94.00,0.00,0.45,8.96,0.21,0.16,0.36,6.02,93.98,0.00,0.42,8.30,0.16,0.18,0.31,6.00,94.00,0.00,0.31,6.20
2025-05-03,14:56:06.097,6.02,93.98,0.00,6.02,93.98,0.00,0.18,0.14,0.29,6.02,93.98,0.00,0.36,7.18,0.18,0.13,0.30,6.03,93.97,0.00,0.35,7.08,0.17,0.15,0.30,6.02,93.98,0.00,0.34,6.81,0.19,0.12,0.26,6.04,93.96,0.00,0.38,7.55,0.19,0.10,0.25,6.01,93.99,0.00,0.38,7.58,0.19,0.13,0.30,6.00,94.00,0.00,0.37,7.41,0.18,0.14,0.32,6.04,93.96,0.00,0.35,7.09,0.17,0.20,0.37,5.99,94.01,0.00,0.34,6.76
2025-05-03,14:56:11.096,6.01,93.99,0.00,6.01,93.99,0.00,0.19,0.12,0.28,5.98,94.02,0.00,0.37,7.45,0.17,0.13,0.32,6.00,94.00,0.00,0.35,6.98,0.15,0.23,0.41,6.04,93.96,0.00,0.31,6.14,0.18,0.15,0.32,6.04,93.96,0.00,0.37,7.34,0.18,0.12,0.30,6.01,93.99,0.00,0.36,7.17,0.18,0.12,0.30,6.01,93.99,0.00,0.37,7.34,0.21,0.08,0.23,6.03,93.97,0.00,0.41,8.22,0.19,0.17,0.37,5.99,94.01,0.00,0.37,7.48
2025-05-03,14:56:16.096,6.02,93.98,0.00,6.02,93.98,0.00,0.18,0.15,0.34,5.97,94.03,0.00,0.36,7.14,0.18,0.14,0.31,6.03,93.97,0.00,0.37,7.32,0.17,0.16,0.34,6.01,93.99,0.00,0.34,6.87,0.17,0.17,0.34,6.02,93.98,0.00,0.34,6.79,0.18,0.12,0.28,6.02,93.98,0.00,0.36,7.22,0.17,0.15,0.31,6.02,93.98,0.00,0.35,6.99,0.18,0.10,0.24,6.06,93.94,0.00,0.37,7.34,0.18,0.11,0.25,6.01,93.99,0.00,0.36,7.10
2025-05-03,14:56:21.096,5.98,94.02,0.00,5.98,94.02,0.00,0.26,0.22,0.57,5.86,94.14,0.00,0.53,10.56,0.20,0.12,0.31,6.01,93.99,0.00,0.39,7.81,0.18,0.11,0.23,6.05,93.95,0.00,0.36,7.19,0.33,0.16,0.33,6.03,93.97,0.00,0.65,13.04,0.25,0.22,0.55,5.87,94.13,0.00,0.51,10.18,0.22,0.13,0.32,5.99,94.01,0.00,0.44,8.79,0.17,0.14,0.27,5.99,94.01,0.00,0.33,6.62,0.22,0.19,0.38,6.00,94.00,0.00,0.45,8.95
2025-05-03,14:56:26.096,6.00,94.00,0.00,6.00,94.00,0.00,0.23,0.16,0.44,5.92,94.08,0.00,0.46,9.28,0.17,0.09,0.22,6.05,93.95,0.00,0.35,6.93,0.21,0.11,0.29,6.04,93.96,0.00,0.41,8.20,0.22,0.12,0.27,6.01,93.99,0.00,0.43,8.66,0.21,0.18,0.46,5.98,94.02,0.00,0.43,8.57,0.15,0.17,0.29,6.03,93.97,0.00,0.29,5.81,0.19,0.16,0.35,6.00,94.00,0.00,0.38,7.52,0.17,0.15,0.33,5.99,94.01,0.00,0.34,6.83
2025-05-03,14:56:31.096,6.00,94.00,0.00,6.00,94.00,0.00,0.18,0.16,0.31,5.99,94.01,0.00,0.35,7.03,0.22,0.15,0.36,6.03,93.97,0.00,0.44,8.86,0.19,0.14,0.33,6.03,93.97,0.00,0.39,7.73,0.22,0.14,0.35,6.01,93.99,0.00,0.43,8.65,0.17,0.13,0.26,6.01,93.99,0.00,0.34,6.90,0.24,0.14,0.34,5.98,94.02,0.00,0.48,9.59,0.20,0.19,0.39,5.99,94.01,0.00,0.40,8.01,0.20,0.14,0.34,5.97,94.03,0.00,0.39,7.84
2025-05-03,14:56:36.096,6.01,93.99,0.00,6.01,93.99,0.00,0.20,0.13,0.29,5.99,94.01,0.00,0.40,8.01,0.20,0.13,0.34,6.03,93.97,0.00,0.40,7.93,0.16,0.19,0.34,6.02,93.98,0.00,0.32,6.42,0.19,0.15,0.34,6.01,93.99,0.00,0.38,7.66,0.19,0.12,0.30,5.98,94.02,0.00,0.38,7.55,0.20,0.12,0.33,5.98,94.02,0.00,0.39,7.81,0.19,0.11,0.23,6.02,93.98,0.00,0.38,7.66,0.18,0.17,0.35,6.01,93.99,0.00,0.36,7.12
2025-05-03,14:56:41.097,6.00,94.00,0.00,6.00,94.00,0.00,0.25,0.16,0.38,5.96,94.04,0.00,0.49,9.89,0.20,0.22,0.44,6.00,94.00,0.00,0.41,8.14,0.19,0.15,0.31,6.02,93.98,0.00,0.37,7.49,0.17,0.21,0.36,6.05,93.95,0.00,0.34,6.87,0.28,0.12,0.31,6.00,94.00,0.00,0.56,11.22,0.21,0.17,0.37,6.01,93.99,0.00,0.42,8.46,0.18,0.13,0.28,5.93,94.07,0.00,0.37,7.37,0.19,0.12,0.25,6.02,93.98,0.00,0.38,7.59
