System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-03,15:03:01.131,8.45,88.71,0.00,8.45,88.71,0.00,0.72,0.38,0.82,9.94,84.22,0.00,1.43,28.66,0.42,0.31,0.89,4.95,95.04,0.00,0.83,16.69,0.41,0.30,0.89,4.78,89.71,0.00,0.82,16.46,0.75,0.39,0.79,10.60,89.40,0.00,1.50,29.97,0.47,0.56,1.45,9.94,84.23,0.00,0.94,18.87,0.67,0.62,1.79,12.00,87.99,0.00,1.34,26.85,0.41,0.62,1.75,9.60,84.89,0.00,0.81,16.20,0.67,0.26,0.66,5.82,94.18,0.00,1.35,26.93
2025-05-03,15:03:06.131,9.78,90.22,0.00,9.78,90.22,0.00,0.58,0.59,1.47,12.17,87.83,0.00,1.17,23.35,0.46,0.34,1.10,5.89,94.11,0.00,0.93,18.55,0.43,0.37,1.13,5.97,94.03,0.00,0.87,17.34,0.77,0.40,0.80,12.19,87.81,0.00,1.53,30.66,0.58,0.60,1.47,12.16,87.84,0.00,1.16,23.24,0.46,0.71,2.28,12.02,87.98,0.00,0.92,18.46,0.43,0.75,2.17,11.71,88.29,0.00,0.85,17.06,0.48,0.35,0.89,6.13,93.87,0.00,0.96,19.20
2025-05-03,15:03:11.130,9.72,90.28,0.00,9.72,90.28,0.00,0.43,0.71,2.02,12.09,87.91,0.00,0.86,17.19,0.50,0.33,0.95,6.05,93.95,0.00,1.00,20.07,0.56,0.30,0.90,5.99,94.01,0.00,1.12,22.36,0.46,0.67,1.88,12.00,88.00,0.00,0.92,18.31,0.69,0.49,1.19,12.11,87.89,0.00,1.39,27.72,0.50,0.66,1.99,11.95,88.05,0.00,0.99,19.81,0.42,0.70,2.15,11.56,88.44,0.00,0.83,16.64,0.63,0.26,0.67,6.05,93.95,0.00,1.27,25.40
2025-05-03,15:03:16.131,9.80,90.20,0.00,9.80,90.20,0.00,0.54,0.61,1.77,12.05,87.95,0.00,1.08,21.54,0.42,0.36,1.07,6.07,93.93,0.00,0.83,16.67,0.58,0.30,0.75,6.07,93.93,0.00,1.16,23.25,0.41,0.75,2.23,11.91,88.09,0.00,0.83,16.53,0.51,0.65,1.78,12.11,87.89,0.00,1.02,20.47,0.61,0.57,1.59,12.09,87.91,0.00,1.22,24.44,0.66,0.49,1.20,12.04,87.96,0.00,1.33,26.51,0.42,0.37,1.15,6.05,93.95,0.00,0.83,16.68
2025-05-03,15:03:21.132,9.80,90.20,0.00,9.80,90.20,0.00,0.53,0.63,1.56,12.13,87.87,0.00,1.06,21.18,0.41,0.37,1.15,5.99,94.01,0.00,0.82,16.49,0.52,0.31,0.84,6.07,93.93,0.00,1.03,20.61,0.42,0.75,2.23,11.95,88.05,0.00,0.84,16.75,0.72,0.45,0.99,12.14,87.86,0.00,1.44,28.88,0.43,0.73,2.33,11.94,88.06,0.00,0.86,17.23,0.73,0.45,0.93,12.18,87.82,0.00,1.46,29.18,0.44,0.37,1.13,6.00,94.00,0.00,0.89,17.72
2025-05-03,15:03:26.132,9.83,90.17,0.00,9.83,90.17,0.00,0.53,0.61,1.71,12.10,87.90,0.00,1.06,21.18,0.48,0.33,0.98,5.99,94.01,0.00,0.96,19.30,0.37,0.38,1.08,6.08,93.92,0.00,0.75,14.92,0.46,0.70,2.10,11.99,88.01,0.00,0.91,18.20,0.54,0.63,1.72,12.19,87.81,0.00,1.08,21.59,0.51,0.69,1.85,12.05,87.95,0.00,1.02,20.35,0.85,0.33,0.50,12.22,87.78,0.00,1.71,34.13,0.47,0.35,1.01,6.02,93.98,0.00,0.94,18.70
2025-05-03,15:03:31.132,9.75,90.25,0.00,9.75,90.25,0.00,0.40,0.72,2.35,11.90,88.10,0.00,0.81,16.16,0.37,0.38,1.10,6.05,93.95,0.00,0.73,14.63,0.77,0.21,0.41,6.13,93.87,0.00,1.54,30.81,0.41,0.73,2.21,11.82,88.18,0.00,0.83,16.60,0.42,0.71,2.31,11.96,88.04,0.00,0.85,16.91,0.88,0.33,0.47,12.18,87.82,0.00,1.76,35.15,0.47,0.67,1.84,11.98,88.02,0.00,0.94,18.71,0.42,0.36,1.10,6.01,93.99,0.00,0.84,16.89
2025-05-03,15:03:36.132,9.83,90.17,0.00,9.83,90.17,0.00,0.41,0.73,2.32,12.05,87.95,0.00,0.81,16.23,0.55,0.29,0.78,6.05,93.95,0.00,1.10,22.01,0.42,0.38,0.95,6.12,93.88,0.00,0.84,16.83,0.41,0.71,2.32,12.01,87.99,0.00,0.83,16.59,0.41,0.73,2.34,12.06,87.94,0.00,0.82,16.46,0.70,0.49,1.11,12.19,87.81,0.00,1.39,27.83,0.83,0.34,0.60,12.18,87.82,0.00,1.66,33.13,0.43,0.36,1.15,5.94,94.06,0.00,0.85,17.05
2025-05-03,15:03:41.131,9.81,90.19,0.00,9.81,90.19,0.00,0.41,0.76,2.26,11.97,88.03,0.00,0.81,16.24,0.67,0.24,0.58,6.11,93.89,0.00,1.34,26.79,0.46,0.34,0.91,6.10,93.90,0.00,0.93,18.52,0.41,0.73,2.27,11.91,88.09,0.00,0.83,16.56,0.41,0.74,2.26,12.05,87.95,0.00,0.82,16.49,0.59,0.57,1.44,12.11,87.89,0.00,1.17,23.41,0.77,0.40,0.82,12.17,87.83,0.00,1.54,30.73,0.42,0.36,1.16,6.05,93.95,0.00,0.84,16.89
2025-05-03,15:03:46.132,9.80,90.20,0.00,9.80,90.20,0.00,0.41,0.75,2.22,11.99,88.01,0.00,0.82,16.35,0.48,0.35,1.07,5.97,94.03,0.00,0.95,19.09,0.60,0.28,0.71,6.09,93.91,0.00,1.20,24.10,0.53,0.63,1.65,12.18,87.82,0.00,1.06,21.14,0.43,0.75,2.16,12.02,87.98,0.00,0.85,17.00,0.43,0.73,2.28,11.98,88.02,0.00,0.85,17.02,0.67,0.47,1.22,12.10,87.90,0.00,1.34,26.86,0.65,0.26,0.62,6.11,93.89,0.00,1.30,26.03
2025-05-03,15:03:51.133,9.73,90.27,0.00,9.73,90.27,0.00,0.61,0.56,1.59,11.92,88.08,0.00,1.21,24.27,0.68,0.24,0.55,6.10,93.90,0.00,1.36,27.21,0.42,0.39,1.13,6.04,93.96,0.00,0.84,16.81,0.52,0.63,1.84,11.98,88.02,0.00,1.04,20.83,0.44,0.69,2.07,11.57,88.43,0.00,0.88,17.58,0.57,0.61,1.45,12.16,87.84,0.00,1.15,22.97,0.46,0.75,2.17,11.99,88.01,0.00,0.92,18.38,0.53,0.31,0.94,6.05,93.95,0.00,1.07,21.34
