System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-04-29,17:39:37.172,0.80,3.70,16.57,22.94,4.44,1.60,31.98,7.33,87.67,0.00,99.75,0.00
2025-04-29,17:39:42.177,0.78,4.62,20.55,28.50,5.28,1.55,31.01,8.73,91.27,0.00,100.00,0.00
2025-04-29,17:39:47.172,0.77,4.50,20.26,28.27,5.26,1.54,30.83,8.60,91.40,0.00,100.00,0.00
2025-04-29,17:39:52.172,0.77,4.51,19.69,28.11,5.20,1.55,30.97,8.42,91.58,0.00,100.00,0.00
2025-04-29,17:39:57.172,0.77,4.48,19.74,28.19,5.26,1.55,30.99,8.51,91.49,0.00,100.00,0.00
2025-04-29,17:40:02.172,0.76,4.62,20.01,28.03,5.24,1.52,30.39,8.50,91.50,0.00,100.00,0.00
2025-04-29,17:40:07.172,0.76,4.52,19.91,28.01,5.25,1.53,30.58,8.54,91.46,0.00,100.00,0.00
2025-04-29,17:40:12.172,0.76,4.46,19.87,28.01,5.14,1.53,30.54,8.44,91.56,0.00,100.00,0.00
2025-04-29,17:40:17.172,0.76,4.63,20.06,28.31,5.30,1.53,30.57,8.57,91.43,0.00,100.00,0.00
2025-04-29,17:40:22.172,0.76,4.50,19.98,28.04,5.19,1.52,30.49,8.50,91.50,0.00,100.00,0.00
2025-04-29,17:40:27.172,0.76,4.75,20.57,28.53,5.41,1.51,30.30,8.76,91.24,0.00,100.00,0.00
2025-04-29,17:40:32.172,0.75,4.71,20.71,28.40,5.24,1.49,29.83,8.66,91.34,0.00,100.00,0.00
2025-04-29,17:40:37.173,0.97,1.04,4.75,7.24,1.30,1.95,38.99,2.90,78.26,0.00,99.25,0.02
