System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-04-29,17:45:10.927,1.05,2.03,8.00,14.18,3.68,2.10,42.00,6.87,91.91,0.00,100.00,0.00
2025-04-29,17:45:15.927,1.02,2.53,9.45,17.54,4.67,2.03,40.62,7.66,92.34,0.00,100.00,0.00
2025-04-29,17:45:20.927,1.01,2.51,9.67,17.11,4.65,2.02,40.30,7.65,92.35,0.00,100.00,0.00
2025-04-29,17:45:25.927,1.00,2.63,10.03,17.43,4.66,2.00,39.94,7.64,92.36,0.00,100.00,0.00
2025-04-29,17:45:30.927,1.01,2.55,9.62,17.24,4.71,2.02,40.33,7.65,92.35,0.00,100.00,0.00
2025-04-29,17:45:35.927,1.00,2.59,9.80,17.30,4.72,2.00,40.09,7.66,92.34,0.00,100.00,0.00
2025-04-29,17:45:40.927,0.99,2.73,10.32,17.00,4.69,1.98,39.65,7.66,92.34,0.00,100.00,0.00
2025-04-29,17:45:45.926,1.00,2.71,10.08,17.58,4.70,1.99,39.82,7.68,92.32,0.00,100.00,0.00
2025-04-29,17:45:50.927,0.99,2.77,10.37,17.48,4.78,1.97,39.47,7.68,92.32,0.00,100.00,0.00
2025-04-29,17:45:55.927,1.00,2.66,9.84,17.54,4.76,2.00,40.02,7.67,92.33,0.00,100.00,0.00
2025-04-29,17:46:00.926,0.99,2.69,9.92,17.71,4.76,1.99,39.74,7.68,92.32,0.00,100.00,0.00
2025-04-29,17:46:05.927,0.99,2.75,10.07,17.68,4.78,1.97,39.46,7.68,92.32,0.00,100.00,0.00
2025-04-29,17:46:10.926,1.14,0.87,3.05,5.99,1.47,2.27,45.41,4.76,89.37,0.00,99.58,0.01
