System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-03,14:50:46.610,0.65,2.74,6.14,31.97,20.70,1.29,25.83,5.21,92.07,0.00,100.00,0.00
2025-05-03,14:50:51.609,0.49,3.31,7.75,38.51,24.34,0.98,19.61,6.03,93.97,0.00,100.00,0.00
2025-05-03,14:50:56.611,0.51,3.35,7.51,38.53,24.47,1.01,20.25,6.00,94.00,0.00,100.00,0.00
2025-05-03,14:51:01.609,0.49,3.30,7.68,38.49,24.32,0.99,19.71,5.96,94.04,0.00,100.00,0.00
2025-05-03,14:51:06.609,0.47,3.17,7.66,38.50,23.81,0.95,18.97,5.95,94.05,0.00,100.00,0.00
2025-05-03,14:51:11.611,0.49,3.27,7.63,38.42,24.43,0.98,19.58,5.99,94.01,0.00,100.00,0.00
2025-05-03,14:51:16.610,0.48,3.29,7.68,38.63,23.83,0.96,19.24,5.99,94.01,0.00,100.00,0.00
2025-05-03,14:51:21.610,0.49,3.30,7.63,38.32,24.42,0.97,19.49,6.02,93.98,0.00,100.00,0.00
2025-05-03,14:51:26.610,0.47,3.17,7.75,38.62,23.39,0.94,18.77,5.94,94.06,0.00,100.00,0.00
2025-05-03,14:51:31.610,0.47,3.14,7.81,38.38,23.79,0.93,18.66,5.98,94.02,0.00,100.00,0.00
2025-05-03,14:51:36.610,0.47,3.25,7.61,38.52,24.13,0.93,18.68,6.00,94.00,0.00,100.00,0.00
2025-05-03,14:51:41.611,0.49,3.30,7.63,38.64,24.11,0.98,19.58,5.99,94.01,0.00,100.00,0.00
2025-05-03,14:51:46.610,0.52,3.08,7.87,37.60,24.67,1.04,20.85,6.00,94.00,0.00,100.00,0.00
