System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-06,15:44:12.330,0.72,2.55,12.69,15.01,2.50,1.44,28.78,6.02,88.04,0.00,99.25,0.02
2025-05-06,15:44:17.332,0.68,3.12,14.66,19.77,2.94,1.35,27.02,5.21,94.79,0.00,100.00,0.00
2025-05-06,15:44:22.331,0.68,3.03,14.53,19.89,2.98,1.37,27.33,5.14,94.86,0.00,100.00,0.00
2025-05-06,15:44:27.330,0.69,3.02,14.51,19.38,2.96,1.39,27.70,5.40,94.60,0.00,100.00,0.00
2025-05-06,15:44:32.331,0.69,3.04,14.54,19.89,2.96,1.37,27.48,5.13,94.87,0.00,100.00,0.00
2025-05-06,15:44:37.330,0.68,3.03,14.58,20.14,3.03,1.36,27.22,5.17,94.83,0.00,100.00,0.00
2025-05-06,15:44:42.331,0.69,3.01,14.52,19.48,2.91,1.38,27.60,5.14,94.86,0.00,100.00,0.00
2025-05-06,15:44:47.330,0.68,3.12,14.75,19.73,2.96,1.37,27.31,5.26,94.74,0.00,100.00,0.00
2025-05-06,15:44:52.331,0.69,3.10,14.82,19.79,2.94,1.37,27.43,5.27,94.73,0.00,100.00,0.00
2025-05-06,15:44:57.330,0.69,3.13,15.24,19.93,3.06,1.38,27.62,5.86,94.14,0.00,100.00,0.00
2025-05-06,15:45:02.331,0.68,3.08,14.69,19.71,2.93,1.37,27.35,5.21,94.79,0.00,100.00,0.00
2025-05-06,15:45:07.331,0.68,3.18,14.97,20.34,3.08,1.36,27.13,5.34,94.66,0.00,100.00,0.00
2025-05-06,15:45:12.331,0.70,0.83,3.68,5.06,0.74,1.40,27.95,1.48,73.46,0.00,96.53,0.13
