System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-06,15:47:46.627,0.90,1.24,5.95,15.06,2.47,1.80,35.93,2.96,92.29,0.00,99.70,0.01
2025-05-06,15:47:51.627,0.86,1.44,6.98,18.22,2.87,1.71,34.25,3.27,96.73,0.00,100.00,0.00
2025-05-06,15:47:56.627,0.85,1.45,7.19,17.64,2.86,1.70,33.99,3.50,96.50,0.00,100.00,0.00
2025-05-06,15:48:01.627,0.85,1.49,7.14,17.39,2.77,1.70,34.03,3.45,96.54,0.00,100.00,0.00
2025-05-06,15:48:06.627,0.85,1.42,6.94,17.49,2.85,1.70,34.05,3.45,96.55,0.00,100.00,0.00
2025-05-06,15:48:11.627,0.84,1.50,7.23,18.03,2.88,1.67,33.45,3.58,96.42,0.00,100.00,0.00
2025-05-06,15:48:16.627,0.83,1.44,6.99,17.11,2.79,1.66,33.28,3.68,96.32,0.00,100.00,0.00
2025-05-06,15:48:21.627,0.83,1.47,7.03,18.09,2.83,1.67,33.33,3.36,96.64,0.00,100.00,0.00
2025-05-06,15:48:26.627,0.83,1.49,7.22,17.73,2.88,1.67,33.36,3.82,96.18,0.00,100.00,0.00
2025-05-06,15:48:31.627,0.83,1.52,7.21,18.58,2.92,1.66,33.17,3.39,96.61,0.00,100.00,0.00
2025-05-06,15:48:36.627,0.84,1.42,6.87,18.20,2.86,1.68,33.51,3.33,96.67,0.00,100.00,0.00
2025-05-06,15:48:41.628,0.82,1.57,7.63,18.65,2.96,1.64,32.70,3.66,96.34,0.00,100.00,0.00
2025-05-06,15:48:46.628,1.01,0.39,1.88,4.82,0.75,2.01,40.25,1.59,77.93,0.00,97.74,0.06
2025-05-06,15:48:41.628,0.82,1.57,7.63,18.65,2.96,1.64,32.70,3.66,96.34,0.00,100.00,0.00
2025-05-06,15:48:46.628,1.01,0.39,1.88,4.82,0.75,2.01,40.25,1.59,77.93,0.00,97.74,0.06
