System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-07,17:07:00.379,0.83,1.43,6.15,43.65,16.76,1.66,33.17,3.35,91.37,0.00,100.00,0.00
2025-05-07,17:07:05.380,0.77,1.68,7.43,46.17,16.56,1.53,30.68,3.80,96.20,0.00,100.00,0.00
2025-05-07,17:07:10.383,0.76,1.75,7.53,46.26,16.57,1.53,30.52,3.89,96.11,0.00,100.00,0.00
2025-05-07,17:07:15.381,0.77,1.69,7.42,46.12,16.53,1.54,30.83,3.79,96.20,0.00,100.00,0.00
2025-05-07,17:07:20.384,0.76,1.76,7.84,46.14,16.55,1.52,30.42,3.94,96.06,0.00,100.00,0.00
2025-05-07,17:07:25.385,0.75,1.80,8.02,46.24,16.52,1.51,30.14,4.02,95.98,0.00,100.00,0.00
2025-05-07,17:07:30.386,0.77,1.66,7.35,45.83,16.56,1.55,30.94,3.78,96.21,0.00,100.00,0.00
2025-05-07,17:07:35.384,0.76,1.73,7.68,45.93,16.54,1.52,30.49,3.89,96.11,0.00,100.00,0.00
2025-05-07,17:07:40.386,0.76,1.75,7.70,46.16,16.55,1.52,30.35,3.89,96.11,0.00,100.00,0.00
2025-05-07,17:07:45.389,0.75,1.79,7.82,46.42,16.51,1.50,29.95,4.00,96.00,0.00,100.00,0.00
2025-05-07,17:07:50.387,0.76,1.73,7.49,46.02,16.58,1.53,30.57,3.85,96.15,0.00,100.00,0.00
2025-05-07,17:07:55.387,0.74,1.84,8.01,46.40,16.51,1.48,29.59,4.07,95.93,0.00,100.00,0.00
2025-05-07,17:08:00.387,1.11,0.59,2.25,27.12,12.08,2.23,44.58,1.49,79.41,0.00,99.00,0.03
