time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004478193,,6956509349,6998886401,127645546,,,691018041,625193281,152114857,99746501,24858982,44988380,15288266,4750629342,0,6140123451,466161139,78012
10.009134809,,16525203749,16507257811,355412632,,,1228509245,1674363721,393355847,293698465,75690761,137144215,53638178,23296914888,0,12366664282,837048747,33998
15.014138101,,13716421867,13660897995,331559396,,,1079865486,1758231331,394894169,294698752,64793686,137460875,36664123,18035408531,0,10501960407,640488603,39503
20.019182343,,13925489785,13966446577,338261828,,,1094847205,1769848849,403629468,293661848,66330557,140749795,38849866,18631284042,0,10887791957,648599185,37091
25.025143477,,13925032335,13910377887,340423063,,,1096127393,1782595239,396963745,296027049,64540524,136633854,36197646,17520839476,0,10396838827,630675320,36811
30.03016577,,13518594221,13627280063,337569026,,,1092766161,1784777923,405732402,298803988,66715680,140202282,37968122,18099300216,0,10519207436,629169090,37021
35.035133531,,13678881966,13741728077,338581566,,,1085362324,1792649757,395208161,297985116,64366693,141054938,37059700,17890114407,0,10624661427,640960912,37094
40.041728212,,13455099712,13528322808,335792675,,,1087252203,1780383625,397406430,295651812,64531169,139384324,37712645,18214570397,0,10465862544,624695730,37125
45.047140513,,13886607043,13917076690,344758708,,,1110040876,1818470838,404274467,302866737,66286350,140438372,37635470,17878095772,0,10522789583,632647424,38965
50.05260981,,13749780881,13756142052,337891797,,,1091887956,1762419349,398855331,294101871,65285948,140154448,37349319,18215694490,0,10487083819,628518677,39173
55.058129698,,14066621241,14099625300,351549659,,,1123594608,1824083375,406060113,304882102,66340574,139988090,38027424,17713487536,0,10480627694,639721251,36965
60.063380815,,13528160798,13661805070,336332634,,,1082653625,1767697223,396610622,296255462,64603302,137206819,35755517,17362443674,0,10226846186,612646631,37788
65.000935822,,3006767232,3032223995,72608548,,,257893829,398774946,87222913,65822891,14145318,29560858,7698318,3608739865,0,2272503562,133514509,7622
