time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004588157,,29673888239,29695894815,155081373,,,1413680012,644270773,151025271,117157532,31264568,55679374,24307559,7150112021,0,16568035725,321547672,65762
10.010621086,,31090281026,31098740492,181134319,,,1522383264,783231182,170598137,145427135,36078792,66891442,27408994,8377172042,0,17615092212,402907140,26552
15.015585807,,31070741882,31070030914,184046628,,,1521959627,802284217,177000373,148997171,37188455,66356395,27120970,8399810682,0,17584442895,398530466,27127
20.020595121,,31166956263,31175452437,182626327,,,1522777891,774367528,172125812,144106246,36785197,66083285,27087400,8519446124,0,17634153007,401547746,24603
25.025568715,,31196680477,31189447304,183015254,,,1522128693,793756777,170872905,147077191,35955077,67377604,26908255,8336366484,0,17688751702,394311479,24353
30.030652107,,31178905592,31172435336,182284500,,,1522953130,779750080,172555978,144697685,36303936,66307003,25952358,8209323771,0,17687683840,403967658,24013
35.03557021,,31305045346,31302910616,182537807,,,1522605697,794024829,171421740,147943879,36626700,67242784,27037099,8315313568,0,17716770191,405680313,26046
40.040577347,,31139904763,31130093648,183374378,,,1521848023,782331947,173404139,144057890,36202511,65912087,26388206,8582680464,0,17598867569,389060175,23170
45.045569108,,31177084722,31177447219,181167636,,,1523123475,796003398,166704184,147953757,35373603,65514345,25986630,8153482265,0,17696704900,406543663,24410
50.050565871,,31285278298,31309512662,180971706,,,1522790830,780706954,176175702,145819691,37519809,62823113,26417036,8554816491,0,17685533180,394646067,23875
55.055573671,,31185210215,31207878507,182929747,,,1522161952,766188061,173201306,143374475,36235357,67707189,27033743,8793110184,0,17668278438,401030984,23739
60.060569912,,31207747278,31229892540,180617089,,,1521895640,759697352,171950543,141345293,36159604,65086079,26916824,8481761900,0,17696169629,397693397,24159
65.00106026,,31296136416,31315837601,175342832,,,1502850794,738662946,160852433,138277337,32731251,66020033,26661712,7503879681,0,17680648946,399631357,27378
