time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004904962,,15665533027,15746873712,267443682,,,1032919342,1330917853,302495895,223804206,51281551,102075767,32382356,13579948146,0,10697844341,508654624,76466
10.009914605,,18202472612,18257488643,326610482,,,1218749592,1623087162,369528303,273130683,62168632,126663063,37528192,17001519220,0,12621487395,628976574,37958
15.015931372,,17944272189,18033255224,322019870,,,1207046948,1609075291,366114720,266958791,61496916,118785552,37490506,16908721795,0,12501425508,622514973,38162
20.021487733,,17827878127,17903850294,318181788,,,1193009542,1583523986,363654605,263954389,61297927,118613878,36918942,16556162503,0,12376495025,614327684,34899
25.026961373,,17846800670,17947867628,315373141,,,1202471572,1581667638,364225150,266292900,61811871,122804571,37948119,17292319447,0,12360649484,625996524,36367
30.031939751,,17653247632,17801459658,317564649,,,1198049967,1574844765,364074255,264068081,61805292,119520282,36812698,16616282249,0,12242923293,613078923,35206
35.037267797,,17790975728,17926197433,318367050,,,1202826790,1590449321,360159928,265116633,61038511,122378323,37184850,16798283330,0,12251540285,614892615,34813
40.042037605,,17524319873,17646383351,315140916,,,1190626639,1581667597,360948499,262589616,60786488,119957354,36321483,16439558075,0,12320943176,608887175,35989
45.046902608,,17856996640,17987499750,320376378,,,1214869048,1620621916,369073519,268441624,62196721,119448214,37110600,16565291834,0,12330225192,615520858,36630
50.05192711,,17644472080,17779066099,316198159,,,1197978390,1598008065,364118831,265627211,61592756,121955987,36593787,16408891493,0,12111629289,602863079,36159
55.056939035,,18011140236,18145710776,321631790,,,1226550347,1608634906,366779634,268677856,62736699,122541282,38634400,17408064575,0,12365046538,634235321,35104
60.062138012,,17706912233,17741095914,322943756,,,1215861899,1628501878,369041389,271409438,62105243,120733490,35438343,16766802323,0,12238127898,614705899,35680
65.00079857,,7091383056,7215287659,69726176,,,409404942,362757175,85208021,60926362,14272049,29458720,8641552,3562630346,0,4436187041,146449598,17111
