time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004890152,,13035929273,13074523585,122032470,,,773534567,615641701,138812907,102092141,21848744,49567834,13289684,5071246392,0,7788337673,205379944,44492
10.009890697,,17403641893,17399877521,195846307,,,1000412975,986999954,219570647,159700734,35244766,78170070,20484957,8509738624,0,10764663606,353954448,33469
15.01487826,,17074160534,17114754977,188405364,,,979879697,970009930,214831555,155655015,32545955,69304681,17352464,7516660553,0,10404938618,321697716,31878
20.019882896,,17035479378,17036747208,188051276,,,976158069,945397972,214896794,162670442,34693594,75349035,19193004,7957925025,0,10542812765,336404692,31498
25.024871714,,16988633795,16995924794,184763944,,,981151681,947006341,214848066,160800901,35113072,76233693,19087137,7790535717,0,10517228068,332981302,31275
30.037039236,,17235544486,17237432786,193977948,,,1007786577,991792759,224493256,160733335,35121062,76030004,19711831,7989814883,0,10604864765,347778995,33093
35.042418324,,16423444544,16434571554,181119108,,,977764061,919874017,207526683,152331339,33147989,71662620,17876693,7433654993,0,10175647028,323502995,30368
40.046927563,,16460828397,16486488735,185626962,,,989591807,970621564,223042003,158985770,33712793,72171427,18130975,7469926059,0,10203730191,327358414,31185
45.051870265,,16133446077,16156219054,180980260,,,991104422,938356659,210174096,154099663,33175036,74046211,18138368,7445959874,0,10037532415,325380258,29694
50.056873072,,16801927819,16879523819,196063988,,,1017578130,1006121141,227859805,165473125,35903903,78210973,20967161,8681454704,0,10509453357,357545531,31715
55.061922916,,16675307438,16725611845,189038865,,,1011939173,977361499,217452510,157753584,32978652,75465868,19140477,8037010806,0,10327889834,344237857,30886
60.067516025,,16396027371,16417343832,191948694,,,1018048582,989647337,224688581,153883372,33611454,74108905,19989540,8401744519,0,10223094811,349585240,30567
65.001196722,,7348575401,7348000190,44390350,,,543246956,225603669,51900074,39341462,8555143,17648612,4459857,1759349347,0,4193592456,80847636,7543
