time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004633967,,5933973900,5975361625,52390568,,,1379035910,1286620319,461778106,42226018,19898474,703619136,344568494,22984709955,0,5493544812,104286616,26709
10.010661001,,5690252709,5707473255,79803694,,,1486722504,992662658,484608245,61164285,26626594,589600271,361117719,28369886800,0,4818622317,153529428,7880
15.017654152,,5710722560,5730281366,64621952,,,1486011636,1070385214,479466128,50066337,23225957,686827163,363843484,27115685353,0,4960930895,125578839,5215
20.02364414,,4438870513,4463384464,63910910,,,1485154226,813302198,472790141,45883390,21610456,457639855,368036859,25927017480,0,3848894489,118665561,4795
25.030334301,,5019716174,5031027669,68207752,,,1482423711,916058895,477796337,51744718,22387933,539182951,362039059,25907853088,0,4314504443,131748575,4721
30.03681177,,5586952709,5635807620,78751140,,,1480946767,1021826351,485087148,60703505,26178661,608270899,361761672,27846744698,0,4893548473,153368509,6267
35.042633367,,4552363535,4550010716,66852765,,,1486107813,800309707,472730592,47762938,20966176,436041688,369124059,25108566828,0,3814207634,129676628,4780
40.04868517,,5614402873,5647150670,72872476,,,1480867875,1039637879,483695551,55982191,25309439,646568561,363941816,28023899967,0,4839318258,139507191,5475
45.054854492,,5191513045,5228932737,63405209,,,1483647934,957121713,476008213,47823541,22074641,582223251,365631833,26076213915,0,4452669007,121228243,3909
50.060684166,,4652887701,4636796442,68946468,,,1483128980,794411300,473763730,49089529,22032970,436523691,368124436,25569825720,0,3897963381,131742284,5507
55.067662168,,4375756239,4425668129,63721746,,,1485804223,809625543,472083782,45420678,20969171,458876535,367384543,24984671777,0,3767727095,120440688,3372
60.07380991,,4318280649,4323369366,62593788,,,1486249867,779723119,471767930,43952023,20777023,441161377,370645528,25214184754,0,3738617170,120952485,5181
65.007190688,,6144814969,6199934782,59373716,,,1462465270,1315962915,481497982,51470217,25082795,958608583,353754864,27879750442,0,5756027895,116548628,8211
