time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004851429,,7996620136,8011218358,71950312,,,1433642120,990943516,494101479,70922793,29376002,297218263,282240469,32842370731,0,7236019436,143230233,27863
10.01382795,,8254266862,8279444194,82193885,,,1502446560,1030022386,490895643,80527097,33012340,315280882,296559300,37429099655,0,7388008249,165071760,6539
15.019888267,,8370033225,8374864956,79746123,,,1500777771,1022845628,488583587,78728317,33621278,312863216,295401739,38604463620,0,7379952248,163314118,6036
20.0258563,,8457628096,8491786372,85881424,,,1502988758,1036972658,488720092,84703890,33862591,315958216,298111869,36298100010,0,7538416798,177359804,6748
25.032809308,,8164035987,8196869709,80661626,,,1503932107,1030393503,488564995,79461522,33226889,316846524,296279262,38723650726,0,7308614864,161790145,4683
30.038838233,,8080092058,8099638093,78582053,,,1501725811,1029009476,490035608,79480120,33743392,310784818,294689273,39064760753,0,7277401329,158353670,4696
35.044837997,,8089129569,8104347830,77935239,,,1500976785,1020657395,487555597,78236561,33579661,311037474,297284714,38953966815,0,7282353666,157513399,5630
40.052370506,,8219633414,8230189044,79757291,,,1503072211,1029000132,488104331,79370063,33688438,312095187,294573614,39252459023,0,7358246388,158511107,6083
45.057884024,,8178868232,8231519681,77003569,,,1501956911,1020392259,487639310,76712524,33322415,313152287,294225287,39415627512,0,7363697975,156286680,5082
50.065849171,,8359056359,8394083553,85283068,,,1500595826,1036165640,490819776,82806647,33921356,314083671,297468118,37506611449,0,7410854383,172114090,5714
55.071840888,,8246786025,8280093230,80766728,,,1501002121,1037983202,488639421,80737255,33680167,312234989,295832791,38874949262,0,7336841339,161873705,5981
60.078366184,,7792460214,7838021430,75919002,,,1504961908,1009770329,488745549,77707239,34961796,309494763,295221291,40650611630,0,7094745360,150486906,8478
65.005482015,,8035535758,8051678427,72978371,,,1480490934,1004737120,478391599,73193658,30717061,311763035,295068534,36984299112,0,7162332939,149303061,5845
