TestCaseID,Interference,Date,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
TC-VM-01,baseline,2025-04-29,989.65,4850.0,3650.0,6120.0,9430.0,19200.0,72450.0
TC-VM-01,cpu12.5,2025-04-29,995.24,7360.0,5510.0,9610.0,15190.0,28740.0,85180.0
TC-VM-01,cpu25,2025-04-29,995.16,12960.0,9250.0,17690.0,28210.0,51260.0,125950.0
TC-VM-01,cpu50,2025-04-29,985.14,466440.0,328190.0,633850.0,1050000.0,2080000.0,4530000.0
TC-VM-01,cpu100,2025-04-29,685.76,10670000.0,10530000.0,14530000.0,17380000.0,21170000.0,24230000.0
TC-VM-01,l3_1,2025-04-29,968.02,1340000.0,989700.0,1940000.0,3070000.0,4970000.0,7620000.0
TC-VM-01,l3_2,2025-04-29,596.68,13570000.0,13160000.0,18600000.0,22090000.0,26480000.0,28880000.0
TC-VM-01,l3_4,2025-04-29,186.05,28820000.0,28820000.0,40470000.0,44790000.0,48560000.0,
TC-VM-01,membw_1,2025-04-29,994.7,24720.0,18300.0,32610.0,51010.0,102210.0,288000.0
TC-VM-01,membw_2,2025-04-29,771.89,8070000.0,7860000.0,10930000.0,13480000.0,16970000.0,19270000.0
TC-VM-01,membw_4,2025-04-29,300.64,24200000.0,23990000.0,33010000.0,38470000.0,42470000.0,46100000.0
TC-VM-01,membw_8,2025-04-29,207.47,27450000.0,27820000.0,37030000.0,43380000.0,47840000.0,50070000.0
TC-VM-03,baseline,2025-05-03,1962.21,776100.0,564220.0,1050000.0,1690000.0,3610000.0,5990000.0
TC-VM-03,cpu_1,2025-05-03,1934.89,1340000.0,1060000.0,1940000.0,2890000.0,4760000.0,6370000.0
TC-VM-03,cpu_2,2025-05-03,1649.55,5900000.0,5460000.0,8090000.0,10400000.0,13830000.0,17940000.0
TC-VM-03,cpu_4,2025-05-03,945.64,18420000.0,18350000.0,25050000.0,29180000.0,33290000.0,36630000.0
TC-VM-03,cpu_8,2025-05-03,639.65,23100000.0,23040000.0,31330000.0,36900000.0,41190000.0,44040000.0
TC-VM-03,l3_1,2025-05-03,922.78,18920000.0,18870000.0,25260000.0,29340000.0,33490000.000000004,39160000.0
TC-VM-03,l3_2,2025-05-03,602.61,24490000.0,24170000.0,32230000.0,37950000.0,42500000.0,46960000.0
TC-VM-03,l3_4,2025-05-03,182.48,31630000.0,31260000.0,42660000.0,49150000.0,,
TC-VM-03,membw_1,2025-05-03,1321.78,11300000.0,11160000.0,15380000.0,18330000.0,22020000.0,25740000.0
TC-VM-03,membw_2,2025-05-03,732.23,21460000.0,21480000.0,29340000.0,34080000.0,38400000.0,42890000.0
TC-VM-03,membw_4,2025-05-05,296.99,29430000.0,29430000.0,39190000.0,46170000.0,,
TC-VM-03,membw_8,2025-05-05,210.98,31860000.0,32130000.000000004,42930000.0,49320000.0,,
TC-VM-04,baseline,2025-05-06,499.02,3070.0,2380.0,4070.000000000001,5530.0,9480.0,27450.0
TC-VM-04,cpu_1,2025-05-06,499.01,3950.0,2960.0,5030.0,7620.0,14590.0,26000.0
TC-VM-04,cpu_2,2025-05-06,490.9,4720.0,3630.0,6050.0,9490.0,18250.0,32010.0
TC-VM-04,cpu_4,2025-05-06,498.81,9790.0,6740.0,12980.0,21770.0,42530.0,90180.0
TC-VM-04,l3_1,2025-05-06,498.86,10500.0,7640.0,13260.0,21760.0,44510.0,80890.0
TC-VM-04,l3_2,2025-05-07,499.02,114240.0,79360.0,150010.0,254850.0,546300.0,1040000.0
TC-VM-04,l3_4,2025-05-07,170.02,22550000.0,22070000.0,30060000.0,35520000.0,40240000.0,42430000.0
TC-VM-04,membw_1,2025-05-07,498.97,4790.0,3860.0,6190.0,8700.0,14980.0,37500.0
TC-VM-04,membw_2,2025-05-07,490.6,19940.0,12890.0,23820.0,39680.0,122180.0,493570.0
TC-VM-04,membw_4,2025-05-07,303.9,13380000.0,13480000.0,17470000.0,20760000.0,24690000.0,28070000.0
TC-VM-04,membw_8,2025-05-07,210.46,19760000.0,19740000.0,26940000.0,31390000.0,35490000.0,38800000.0
TC-VM-04,cpu_8,2025-05-07,498.74,16610.0,11480.0,21660.0,36190.0,77500.0,225020.0
