System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-11,16:45:01.955,2.57,89.99,0.00,2.57,89.99,0.00,0.82,0.07,0.27,1.09,92.10,0.00,1.64,32.86,0.89,0.07,0.29,1.14,92.82,0.00,1.78,35.58,0.79,0.06,0.31,1.11,92.39,0.00,1.58,31.65,0.72,0.02,1.20,3.71,85.86,0.00,1.45,28.98,1.03,0.02,0.91,3.55,89.64,0.00,2.05,41.04,1.03,0.02,0.91,3.61,90.35,0.00,2.06,41.14,1.14,0.02,0.59,1.99,91.52,0.00,2.27,45.42,0.81,0.03,1.46,4.33,85.24,0.00,1.61,32.27
2025-07-11,16:45:06.956,2.93,97.07,0.00,2.93,97.07,0.00,0.72,0.05,0.24,0.92,99.08,0.00,1.44,28.71,0.81,0.05,0.23,0.90,99.10,0.00,1.62,32.39,0.83,0.05,0.27,0.94,99.06,0.00,1.67,33.36,0.72,0.02,1.43,4.48,95.52,0.00,1.44,28.85,1.03,0.02,1.07,4.20,95.80,0.00,2.06,41.20,1.06,0.02,1.06,4.19,95.81,0.00,2.12,42.34,1.17,0.01,0.75,2.49,97.51,0.00,2.34,46.82,0.78,0.03,1.76,5.36,94.64,0.00,1.55,31.01
2025-07-11,16:45:11.956,2.83,97.17,0.00,2.83,97.17,0.00,1.01,0.07,0.27,1.06,98.94,0.00,2.02,40.33,0.86,0.06,0.27,0.99,99.01,0.00,1.73,34.58,0.87,0.06,0.27,1.03,98.97,0.00,1.75,34.95,0.73,0.02,1.32,4.15,95.85,0.00,1.45,29.05,1.04,0.02,1.04,4.03,95.97,0.00,2.07,41.46,1.04,0.02,1.03,4.04,95.96,0.00,2.07,41.43,1.18,0.02,0.73,2.43,97.57,0.00,2.35,47.09,0.81,0.03,1.70,4.93,95.07,0.00,1.63,32.58
2025-07-11,16:45:16.955,2.92,97.08,0.00,2.92,97.08,0.00,0.75,0.05,0.24,0.90,99.10,0.00,1.50,29.91,0.81,0.06,0.25,0.92,99.08,0.00,1.62,32.41,0.94,0.05,0.26,0.95,99.05,0.00,1.87,37.48,0.73,0.02,1.38,4.50,95.50,0.00,1.46,29.23,1.02,0.02,1.07,4.14,95.86,0.00,2.04,40.87,1.04,0.02,1.06,4.20,95.80,0.00,2.08,41.57,1.15,0.02,0.75,2.53,97.47,0.00,2.31,46.17,0.80,0.03,1.76,5.19,94.81,0.00,1.60,32.03
2025-07-11,16:45:21.956,2.79,97.21,0.00,2.79,97.21,0.00,0.79,0.06,0.27,0.98,99.02,0.00,1.59,31.78,0.81,0.06,0.27,0.97,99.03,0.00,1.62,32.34,0.75,0.06,0.27,0.94,99.06,0.00,1.51,30.14,0.72,0.03,1.41,4.20,95.80,0.00,1.43,28.60,1.02,0.02,1.12,4.05,95.95,0.00,2.05,40.91,1.02,0.02,1.10,3.97,96.03,0.00,2.04,40.87,1.19,0.01,0.71,2.40,97.60,0.00,2.38,47.61,0.80,0.03,1.69,4.85,95.15,0.00,1.61,32.16
2025-07-11,16:45:26.956,3.01,96.99,0.00,3.01,96.99,0.00,0.93,0.08,0.29,1.09,98.91,0.00,1.86,37.16,0.88,0.06,0.27,1.02,98.98,0.00,1.76,35.11,0.91,0.09,0.33,1.14,98.86,0.00,1.82,36.36,0.72,0.02,1.41,4.57,95.43,0.00,1.45,28.98,1.06,0.03,1.10,4.28,95.72,0.00,2.12,42.36,1.03,0.02,1.07,4.18,95.82,0.00,2.05,41.09,1.16,0.02,0.75,2.51,97.49,0.00,2.31,46.20,0.80,0.03,1.82,5.29,94.71,0.00,1.61,32.11
2025-07-11,16:45:31.956,2.94,97.06,0.00,2.94,97.06,0.00,0.87,0.05,0.27,0.96,99.04,0.00,1.74,34.85,0.89,0.06,0.26,0.93,99.07,0.00,1.78,35.61,0.95,0.06,0.31,0.99,99.01,0.00,1.89,37.81,0.71,0.02,1.38,4.41,95.59,0.00,1.42,28.39,1.03,0.02,1.08,4.20,95.80,0.00,2.05,41.05,1.03,0.02,1.06,4.16,95.84,0.00,2.07,41.37,1.16,0.01,0.75,2.47,97.53,0.00,2.31,46.23,0.79,0.04,1.80,5.44,94.56,0.00,1.58,31.53
2025-07-11,16:45:36.956,2.84,97.16,0.00,2.84,97.16,0.00,0.93,0.05,0.24,0.94,99.06,0.00,1.85,37.09,0.77,0.05,0.25,0.90,99.10,0.00,1.54,30.77,0.83,0.06,0.28,0.99,99.01,0.00,1.66,33.12,0.73,0.02,1.38,4.27,95.73,0.00,1.46,29.13,1.04,0.02,1.08,4.15,95.85,0.00,2.07,41.46,1.03,0.02,1.06,4.12,95.88,0.00,2.07,41.37,1.17,0.02,0.73,2.40,97.60,0.00,2.35,46.95,0.82,0.03,1.72,4.96,95.04,0.00,1.64,32.79
2025-07-11,16:45:41.957,3.00,97.00,0.00,3.00,97.00,0.00,1.06,0.06,0.26,1.10,98.90,0.00,2.11,42.28,0.97,0.05,0.25,0.97,99.03,0.00,1.95,38.97,0.79,0.06,0.28,0.96,99.04,0.00,1.59,31.79,0.72,0.02,1.41,4.54,95.46,0.00,1.45,28.96,1.24,0.02,1.09,4.48,95.52,0.00,2.48,49.58,1.03,0.02,1.06,4.22,95.78,0.00,2.05,41.05,1.15,0.02,0.76,2.46,97.54,0.00,2.30,46.01,0.81,0.03,1.80,5.24,94.76,0.00,1.61,32.27
2025-07-11,16:45:46.957,2.96,97.04,0.00,2.96,97.04,0.00,0.80,0.05,0.22,0.90,99.10,0.00,1.59,31.81,0.81,0.06,0.25,0.94,99.06,0.00,1.61,32.24,0.75,0.05,0.27,0.91,99.09,0.00,1.49,29.89,0.74,0.02,1.46,4.71,95.29,0.00,1.47,29.45,1.04,0.02,1.11,4.22,95.78,0.00,2.08,41.58,1.03,0.02,1.11,4.24,95.76,0.00,2.05,41.04,1.16,0.01,0.74,2.46,97.54,0.00,2.33,46.56,0.79,0.03,1.82,5.30,94.70,0.00,1.58,31.63
