System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-11,22:04:20.647,0.85,0.30,6.78,1.19,0.25,1.70,33.92,2.47,90.61,0.00,98.97,0.02
2025-07-11,22:04:25.646,0.88,0.31,7.81,1.23,0.26,1.77,35.38,2.73,97.27,0.00,100.00,0.00
2025-07-11,22:04:30.647,0.88,0.39,7.62,1.40,0.31,1.76,35.24,2.78,97.22,0.00,100.00,0.00
2025-07-11,22:04:35.646,0.87,0.27,7.16,1.01,0.24,1.74,34.90,2.65,97.35,0.00,100.00,0.00
2025-07-11,22:04:40.646,0.86,0.30,7.80,1.25,0.27,1.73,34.59,2.74,97.26,0.00,100.00,0.00
2025-07-11,22:04:45.647,0.87,0.34,7.76,1.21,0.26,1.74,34.87,2.72,97.28,0.00,100.00,0.00
2025-07-11,22:04:50.646,0.87,0.31,8.29,1.26,0.27,1.74,34.87,2.77,97.23,0.00,100.00,0.00
2025-07-11,22:04:55.647,0.87,0.41,8.59,1.41,0.27,1.74,34.81,2.93,97.06,0.00,100.00,0.00
2025-07-11,22:05:00.647,0.87,0.30,7.93,1.19,0.26,1.74,34.88,2.72,97.28,0.00,100.00,0.00
2025-07-11,22:05:05.646,0.86,0.28,7.95,1.09,0.25,1.71,34.28,2.82,97.18,0.00,100.00,0.00
2025-07-11,22:05:10.647,0.88,0.32,8.07,1.27,0.27,1.77,35.40,2.81,97.19,0.00,100.00,0.00
2025-07-11,22:05:15.647,0.87,0.34,8.28,1.30,0.27,1.73,34.62,2.84,97.16,0.00,100.00,0.00
2025-07-11,22:05:20.646,0.87,0.31,7.64,1.16,0.26,1.74,34.82,2.75,97.25,0.00,100.00,0.00
2025-07-11,22:05:25.647,0.86,0.32,8.03,1.30,0.27,1.73,34.55,2.76,97.24,0.00,100.00,0.00
2025-07-11,22:05:30.647,0.87,0.31,7.64,1.17,0.26,1.74,34.89,2.71,97.29,0.00,100.00,0.00
2025-07-11,22:05:35.648,0.86,0.32,7.79,1.15,0.25,1.73,34.56,2.72,97.28,0.00,100.00,0.00
2025-07-11,22:05:40.648,0.89,0.32,8.22,1.36,0.28,1.77,35.46,2.81,97.19,0.00,100.00,0.00
2025-07-11,22:05:45.648,0.87,0.28,7.59,1.07,0.24,1.73,34.64,2.68,97.32,0.00,100.00,0.00
2025-07-11,22:05:50.649,0.86,0.29,7.87,1.18,0.26,1.72,34.34,2.79,97.21,0.00,100.00,0.00
2025-07-11,22:05:55.649,0.87,0.32,7.66,1.24,0.26,1.75,34.92,2.74,97.26,0.00,100.00,0.00
2025-07-11,22:06:00.648,0.87,0.30,8.53,1.21,0.27,1.75,35.00,2.84,97.16,0.00,100.00,0.00
2025-07-11,22:06:05.649,0.86,0.30,8.04,1.20,0.26,1.71,34.23,2.69,97.31,0.00,100.00,0.00
2025-07-11,22:06:10.649,0.88,0.28,7.49,1.17,0.26,1.76,35.12,2.74,97.26,0.00,100.00,0.00
2025-07-11,22:06:15.648,0.86,0.29,7.65,1.07,0.24,1.72,34.32,2.74,97.26,0.00,100.00,0.00
2025-07-11,22:06:20.649,0.88,0.32,7.45,1.18,0.26,1.77,35.37,2.70,97.30,0.00,100.00,0.00
2025-07-11,22:06:25.649,0.86,0.30,8.39,1.21,0.26,1.73,34.58,2.83,97.17,0.00,100.00,0.00
2025-07-11,22:06:30.649,0.89,0.32,7.49,1.25,0.28,1.77,35.46,2.67,97.33,0.00,100.00,0.00
2025-07-11,22:06:35.649,0.86,0.30,7.69,1.18,0.29,1.73,34.51,2.74,97.26,0.00,100.00,0.00
2025-07-11,22:06:40.649,0.88,0.34,7.85,1.29,0.31,1.76,35.21,2.77,97.23,0.00,100.00,0.00
2025-07-11,22:06:45.650,0.87,0.33,7.72,1.23,0.30,1.73,34.69,2.73,97.27,0.00,100.00,0.00
2025-07-11,22:06:50.650,0.88,0.30,7.75,1.23,0.29,1.75,35.08,2.76,97.24,0.00,100.00,0.00
2025-07-11,22:06:55.649,0.87,0.39,8.40,1.56,0.32,1.74,34.75,3.26,96.74,0.00,100.00,0.00
2025-07-11,22:07:00.650,0.89,0.32,7.38,1.22,0.29,1.79,35.76,2.74,97.26,0.00,100.00,0.00
2025-07-11,22:07:05.650,0.88,0.28,7.34,1.17,0.29,1.75,35.03,2.63,97.37,0.00,100.00,0.00
2025-07-11,22:07:10.650,0.87,0.37,8.43,1.36,0.31,1.75,34.95,2.85,97.15,0.00,100.00,0.00
2025-07-11,22:07:15.650,0.88,0.30,7.73,1.23,0.29,1.76,35.21,2.72,97.28,0.00,100.00,0.00
2025-07-11,22:07:20.650,2.07,0.46,3.51,2.17,0.88,4.14,82.80,3.29,74.35,0.00,97.61,0.09
