Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario0_400rps,1,Baseline0,0,400,400.0047640034053,0.101,0.095,0.0,0.119,0.136,0.201,8.829,0
1replicas_scenario0_600rps,1,Baseline0,0,600,600.0058980646447,0.095,0.091,0.0,0.11,0.122,0.174,2.492,0
1replicas_scenario0_800rps,1,Baseline0,0,800,800.0047900597917,0.093,0.089,0.0,0.107,0.117,0.165,2.326,0
1replicas_scenario0_1000rps,1,Baseline0,0,1000,1000.0047177222568,0.094,0.09,0.0,0.109,0.119,0.163,2.287,0
1replicas_scenario0_1200rps,1,Baseline0,0,1200,1200.0025066719027,0.094,0.091,0.0,0.111,0.121,0.159,2.043,0
1replicas_scenario0_1400rps,1,Baseline0,0,1400,1400.0049967591167,0.094,0.091,0.0,0.111,0.121,0.157,2.649,0
1replicas_scenario0_1600rps,1,Baseline0,0,1600,1599.9994442757484,0.093,0.09,0.0,0.111,0.121,0.156,2.325,0
1replicas_scenario0_1800rps,1,Baseline0,0,1800,1800.0038603646383,0.096,0.092,0.0,0.12,0.13,0.167,2.375,0
1replicas_scenario0_2000rps,1,Baseline0,0,2000,2000.0118362478258,0.097,0.092,0.0,0.122,0.133,0.17,2.316,0
1replicas_scenario0_2200rps,1,Baseline0,0,2200,2200.007144572355,0.098,0.093,0.0,0.122,0.134,0.174,2.1,0
1replicas_scenario0_2400rps,1,Baseline0,0,2400,2400.0044034627167,0.096,0.092,0.0,0.122,0.133,0.172,2.616,0
1replicas_scenario0_2600rps,1,Baseline0,0,2600,2600.0046177194454,0.098,0.092,0.0,0.121,0.136,0.18,2.56,0
1replicas_scenario0_2800rps,1,Baseline0,0,2800,2800.008796250506,0.102,0.096,0.0,0.131,0.148,0.19,2.509,0
1replicas_scenario0_3000rps,1,Baseline0,0,3000,3000.0055332315633,0.101,0.095,0.0,0.13,0.146,0.194,2.676,0
1replicas_scenario0_3200rps,1,Baseline0,0,3200,3199.998607586882,0.104,0.097,0.0,0.138,0.155,0.203,4.094,0
1replicas_scenario0_3400rps,1,Baseline0,0,3400,3400.0086482412,0.102,0.095,0.0,0.135,0.153,0.214,2.705,0
1replicas_scenario0_3600rps,1,Baseline0,0,3600,3600.0142122161074,0.105,0.097,0.0,0.142,0.16,0.221,5.396,0
1replicas_scenario0_3800rps,1,Baseline0,0,3800,3800.0122607837093,0.106,0.097,0.0,0.146,0.167,0.228,2.772,0
1replicas_scenario0_4000rps,1,Baseline0,0,4000,4000.000911247183,0.119,0.103,0.0,0.17,0.209,0.383,4.435,0
2replicas_scenario0_400rps,2,Baseline0,0,400,400.0055292497638,0.101,0.096,0.0,0.12,0.136,0.198,2.156,0
2replicas_scenario0_600rps,2,Baseline0,0,600,600.0068914658195,0.095,0.091,0.0,0.111,0.123,0.177,2.508,0
2replicas_scenario0_800rps,2,Baseline0,0,800,800.0065363422932,0.094,0.09,0.0,0.108,0.119,0.166,2.284,0
2replicas_scenario0_1000rps,2,Baseline0,0,1000,1000.0021097711178,0.097,0.093,0.0,0.115,0.127,0.167,2.274,0
2replicas_scenario0_1200rps,2,Baseline0,0,1200,1200.0000192000005,0.095,0.092,0.0,0.111,0.121,0.16,2.402,0
