Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario0_100rps,1,Baseline0,0,100,100.00498594302832,0.301,0.312,0.0,0.48,0.541,0.598,1.005,0
1replicas_scenario1_100rps,1,Baseline1,1,100,100.00529528983054,0.307,0.317,0.0,0.493,0.548,0.598,1.136,0
1replicas_scenario2_100rps,1,Baseline2,2,100,100.00500228021556,0.305,0.314,0.0,0.489,0.546,0.6,3.619,0
1replicas_scenario11_100rps,1,1_iBench_CPU_pod,11,100,100.00515127645394,0.337,0.314,0.0,0.501,0.562,1.756,3.351,0
1replicas_scenario12_100rps,1,2_iBench_CPU_pods,12,100,100.00542384694296,0.331,0.307,0.0,0.476,0.548,1.443,6.777,0
1replicas_scenario13_100rps,1,3_iBench_CPU_pods,13,100,100.00520561374782,0.296,0.258,0.0,0.394,0.498,2.07,5.649,0
1replicas_scenario14_100rps,1,4_iBench_CPU_pods,14,100,100.00536135909296,0.36,0.214,0.0,0.447,1.156,3.358,6.937,0
1replicas_scenario21_100rps,1,1_stress-ng_l3_pod,21,100,100.00496279016951,0.293,0.284,0.0,0.399,0.453,0.563,3.256,0
1replicas_scenario22_100rps,1,2_stress-ng_l3_pods,22,100,100.00536547342315,0.387,0.331,0.0,0.712,0.751,0.814,2.954,0
1replicas_scenario23_100rps,1,3_stress-ng_l3_pods,23,100,100.0048663295779,0.533,0.452,0.0,0.822,0.891,1.13,3.701,0
1replicas_scenario24_100rps,1,4_stress-ng_l3_pods,24,100,100.0050745869457,0.867,0.757,0.0,1.425,1.813,2.323,4.44,0
1replicas_scenario31_100rps,1,1_iBench_memBW_pod,31,100,100.00510774198808,0.3,0.299,0.0,0.427,0.526,0.594,3.508,0
1replicas_scenario32_100rps,1,2_iBench_memBW_pods,32,100,100.00517132296754,0.306,0.296,0.0,0.444,0.523,0.613,2.324,0
1replicas_scenario33_100rps,1,3_iBench_memBW_pods,33,100,100.00532215490492,0.303,0.297,0.0,0.411,0.451,0.56,4.444,0
1replicas_scenario34_100rps,1,4_iBench_memBW_pods,34,100,100.00531362677572,0.387,0.316,0.0,0.517,0.605,2.754,6.533,0
1replicas_scenario0_500rps,1,Baseline0,0,500,500.0037461280668,0.088,0.084,0.0,0.101,0.111,0.158,2.738,0
1replicas_scenario1_500rps,1,Baseline1,1,500,500.0048437330341,0.088,0.084,0.0,0.102,0.111,0.158,3.431,0
1replicas_scenario2_500rps,1,Baseline2,2,500,500.00444456450793,0.088,0.084,0.0,0.102,0.111,0.158,2.457,0
1replicas_scenario11_500rps,1,1_iBench_CPU_pod,11,500,500.0045349550202,0.096,0.085,0.0,0.104,0.115,0.182,3.489,0
