System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-01,05:02:09.107,0.84,0.09,1.00,1.00,0.16,1.69,33.71,0.62,91.83,0.00,98.46,0.10
2025-07-01,05:02:14.107,0.81,0.07,1.12,0.82,0.14,1.63,32.52,0.61,99.39,0.00,100.00,0.00
2025-07-01,05:02:19.107,0.82,0.08,1.13,0.79,0.14,1.64,32.72,0.62,99.38,0.00,100.00,0.00
2025-07-01,05:02:24.107,0.83,0.06,1.06,0.74,0.13,1.66,33.16,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:02:29.107,0.83,0.06,1.10,0.77,0.13,1.66,33.15,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:02:34.107,0.84,0.09,1.16,1.07,0.19,1.67,33.43,0.64,99.36,0.00,100.00,0.00
2025-07-01,05:02:39.107,0.81,0.07,1.11,0.87,0.14,1.63,32.58,0.62,99.38,0.00,100.00,0.00
2025-07-01,05:02:44.107,0.83,0.07,1.14,0.82,0.14,1.65,33.04,0.62,99.38,0.00,100.00,0.00
2025-07-01,05:02:49.107,0.81,0.06,1.08,0.79,0.14,1.61,32.22,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:02:54.107,0.82,0.05,1.05,0.78,0.13,1.63,32.67,0.59,99.41,0.00,100.00,0.00
2025-07-01,05:02:59.107,0.82,0.07,1.11,0.77,0.13,1.64,32.70,0.62,99.38,0.00,100.00,0.00
2025-07-01,05:03:04.107,0.81,0.08,1.15,0.89,0.15,1.63,32.56,0.63,99.37,0.00,100.00,0.00
2025-07-01,05:03:09.107,0.83,0.06,1.09,0.80,0.14,1.66,33.14,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:03:14.108,0.84,0.09,1.16,0.84,0.14,1.67,33.46,0.63,99.37,0.00,100.00,0.00
2025-07-01,05:03:19.107,0.82,0.05,1.10,0.75,0.13,1.63,32.61,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:03:24.107,0.84,0.07,1.10,0.81,0.13,1.67,33.42,0.62,99.38,0.00,100.00,0.00
2025-07-01,05:03:29.108,0.84,0.07,1.08,0.76,0.13,1.67,33.43,0.61,99.39,0.00,100.00,0.00
2025-07-01,05:03:34.107,0.82,0.08,1.15,0.85,0.14,1.64,32.76,0.61,99.39,0.00,100.00,0.00
2025-07-01,05:03:39.107,0.83,0.07,1.09,0.90,0.15,1.66,33.19,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:03:44.108,0.80,0.07,1.14,0.87,0.15,1.59,31.81,0.63,99.37,0.00,100.00,0.00
2025-07-01,05:03:49.107,0.84,0.08,1.16,0.86,0.14,1.68,33.62,0.63,99.37,0.00,100.00,0.00
2025-07-01,05:03:54.107,0.83,0.08,1.15,1.02,0.15,1.65,33.01,0.61,99.39,0.00,100.00,0.00
2025-07-01,05:03:59.108,0.81,0.06,1.09,0.79,0.14,1.62,32.43,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:04:04.107,0.82,0.06,1.08,0.89,0.15,1.64,32.88,0.59,99.41,0.00,100.00,0.00
2025-07-01,05:04:09.107,0.83,0.09,1.13,0.82,0.14,1.67,33.35,0.63,99.37,0.00,100.00,0.00
2025-07-01,05:04:14.108,0.79,0.08,1.11,0.83,0.14,1.58,31.56,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:04:19.107,0.85,0.07,1.09,0.80,0.14,1.69,33.89,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:04:24.108,0.84,0.08,1.18,0.81,0.14,1.68,33.62,0.64,99.36,0.00,100.00,0.00
2025-07-01,05:04:29.108,0.81,0.06,1.11,0.77,0.14,1.61,32.29,0.62,99.38,0.00,100.00,0.00
2025-07-01,05:04:34.107,0.85,0.07,1.12,0.89,0.15,1.70,33.94,0.62,99.38,0.00,100.00,0.00
2025-07-01,05:04:39.108,0.82,0.05,1.06,0.80,0.14,1.63,32.70,0.59,99.41,0.00,100.00,0.00
2025-07-01,05:04:44.108,0.82,0.07,1.14,0.81,0.14,1.63,32.66,0.62,99.38,0.00,100.00,0.00
2025-07-01,05:04:49.107,0.82,0.07,1.11,0.80,0.14,1.64,32.82,0.61,99.39,0.00,100.00,0.00
2025-07-01,05:04:54.108,0.92,0.08,1.17,0.85,0.14,1.84,36.81,0.65,99.35,0.00,100.00,0.00
2025-07-01,05:04:59.108,0.83,0.06,1.10,0.81,0.14,1.65,33.09,0.60,99.40,0.00,100.00,0.00
2025-07-01,05:05:04.107,0.81,0.06,1.06,0.80,0.14,1.62,32.36,0.59,99.41,0.00,100.00,0.00
2025-07-01,05:05:09.108,1.69,0.11,0.69,1.63,0.44,3.38,67.54,0.58,71.95,0.00,95.31,0.23
