System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-01,18:01:51.824,1.78,91.73,0.00,1.78,91.73,0.00,0.58,0.03,0.10,0.45,91.54,0.00,1.16,23.18,0.63,0.03,0.10,0.44,92.11,0.00,1.25,25.04,0.57,0.03,0.10,0.46,91.71,0.00,1.14,22.86,3.23,0.01,0.27,10.76,86.57,0.00,6.45,129.01,0.85,0.02,0.14,0.64,91.35,0.00,1.70,34.02,0.81,0.02,0.15,0.69,91.86,0.00,1.62,32.49,0.78,0.02,0.14,0.63,91.54,0.00,1.57,31.32,0.46,0.01,0.10,0.20,97.13,0.00,0.91,18.27
2025-07-01,18:01:56.824,1.83,97.80,0.00,1.83,97.80,0.00,0.67,0.03,0.09,0.44,99.20,0.00,1.35,26.90,0.73,0.02,0.07,0.38,98.83,0.00,1.47,29.34,0.78,0.03,0.08,0.43,99.57,0.00,1.56,31.12,3.20,0.01,0.27,10.82,88.82,0.00,6.41,128.14,0.85,0.02,0.16,0.79,98.86,0.00,1.70,33.93,0.66,0.02,0.15,0.79,98.42,0.00,1.32,26.33,0.84,0.02,0.17,0.72,99.28,0.00,1.68,33.53,0.50,0.01,0.13,0.26,99.38,0.00,0.99,19.81
2025-07-01,18:02:01.824,1.82,97.66,0.00,1.82,97.66,0.00,0.59,0.03,0.11,0.39,97.78,0.00,1.17,23.47,0.76,0.03,0.09,0.45,99.50,0.00,1.52,30.50,0.89,0.03,0.09,0.49,99.51,0.00,1.77,35.49,2.86,0.01,0.20,8.04,91.75,0.00,5.72,114.46,3.78,0.01,0.19,3.32,94.85,0.00,7.57,151.36,0.80,0.02,0.17,0.85,99.11,0.00,1.59,31.81,0.78,0.02,0.17,0.75,99.25,0.00,1.56,31.19,0.55,0.01,0.10,0.25,99.54,0.00,1.09,21.87
2025-07-01,18:02:06.824,1.80,97.72,0.00,1.80,97.72,0.00,0.82,0.03,0.14,0.42,97.86,0.00,1.64,32.88,0.74,0.03,0.09,0.42,99.47,0.00,1.48,29.55,0.70,0.02,0.08,0.41,99.59,0.00,1.39,27.89,1.44,0.01,0.10,4.00,95.91,0.00,2.87,57.41,4.06,0.01,0.27,7.30,90.98,0.00,8.13,162.51,0.78,0.02,0.16,0.85,99.04,0.00,1.55,31.05,0.73,0.02,0.17,0.75,99.25,0.00,1.47,29.39,0.60,0.01,0.05,0.22,99.70,0.00,1.19,23.85
2025-07-01,18:02:11.824,1.82,97.69,0.00,1.82,97.69,0.00,0.64,0.03,0.18,0.43,97.65,0.00,1.28,25.61,0.99,0.03,0.09,0.47,99.49,0.00,1.98,39.58,0.85,0.04,0.09,0.48,99.52,0.00,1.70,34.00,1.44,0.01,0.10,3.98,96.02,0.00,2.87,57.48,4.05,0.01,0.28,7.31,90.76,0.00,8.11,162.18,0.80,0.02,0.16,0.87,99.09,0.00,1.60,31.97,0.73,0.02,0.17,0.77,99.23,0.00,1.46,29.21,0.61,0.01,0.05,0.24,99.75,0.00,1.23,24.58
2025-07-01,18:02:16.824,1.83,97.66,0.00,1.83,97.66,0.00,0.54,0.04,0.20,0.46,97.52,0.00,1.07,21.48,0.92,0.03,0.09,0.44,99.55,0.00,1.84,36.74,0.91,0.03,0.09,0.46,99.54,0.00,1.81,36.26,1.43,0.01,0.11,4.05,95.95,0.00,2.87,57.40,4.04,0.01,0.28,7.31,90.67,0.00,8.08,161.57,0.78,0.02,0.17,0.87,99.13,0.00,1.56,31.10,0.73,0.02,0.18,0.82,99.18,0.00,1.46,29.19,0.63,0.01,0.06,0.26,99.74,0.00,1.25,25.10
2025-07-01,18:02:21.824,1.85,97.57,0.00,1.85,97.57,0.00,0.65,0.04,0.22,0.48,97.26,0.00,1.31,26.12,0.66,0.04,0.10,0.48,99.49,0.00,1.31,26.22,0.81,0.03,0.10,0.50,99.48,0.00,1.61,32.30,1.43,0.02,0.11,4.03,95.97,0.00,2.87,57.37,4.04,0.01,0.29,7.32,90.41,0.00,8.08,161.57,0.73,0.02,0.17,0.90,99.07,0.00,1.46,29.12,0.75,0.03,0.18,0.82,99.16,0.00,1.51,30.18,0.62,0.01,0.05,0.25,99.75,0.00,1.24,24.78
2025-07-01,18:02:26.824,1.80,97.60,0.00,1.80,97.60,0.00,0.76,0.02,0.11,0.39,98.26,0.00,1.52,30.48,0.78,0.03,0.08,0.41,98.86,0.00,1.57,31.33,0.84,0.02,0.07,0.39,99.61,0.00,1.68,33.53,3.06,0.01,0.22,7.51,92.19,0.00,6.11,122.22,3.71,0.01,0.19,3.13,95.51,0.00,7.43,148.53,1.24,0.02,0.16,1.62,97.65,0.00,2.48,49.54,0.79,0.02,0.16,0.71,99.29,0.00,1.58,31.69,0.50,0.01,0.10,0.24,99.47,0.00,1.00,20.06
2025-07-01,18:02:31.824,1.79,97.63,0.00,1.79,97.63,0.00,0.65,0.03,0.08,0.39,99.19,0.00,1.31,26.12,0.64,0.02,0.07,0.35,98.23,0.00,1.28,25.64,0.76,0.02,0.07,0.37,99.63,0.00,1.51,30.27,4.00,0.01,0.31,7.38,92.13,0.00,7.99,159.80,1.24,0.02,0.15,1.50,98.08,0.00,2.48,49.69,1.43,0.01,0.12,3.36,95.22,0.00,2.87,57.34,0.81,0.02,0.16,0.68,99.32,0.00,1.62,32.47,0.48,0.01,0.13,0.27,99.24,0.00,0.97,19.30
2025-07-01,18:02:36.824,1.82,97.63,0.00,1.82,97.63,0.00,0.88,0.03,0.09,0.47,97.83,0.00,1.77,35.30,0.62,0.02,0.08,0.40,99.53,0.00,1.24,24.78,0.84,0.03,0.09,0.45,99.55,0.00,1.68,33.61,4.00,0.01,0.30,7.37,92.20,0.00,8.00,159.92,1.46,0.01,0.10,3.96,94.33,0.00,2.91,58.29,0.86,0.02,0.18,0.89,99.04,0.00,1.71,34.25,0.85,0.02,0.17,0.73,99.27,0.00,1.71,34.14,0.46,0.01,0.14,0.29,99.28,0.00,0.92,18.34
