System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-01,18:13:53.106,2.15,0.19,1.27,11.41,7.51,4.29,85.89,1.64,92.09,0.00,99.61,0.00
2025-07-01,18:13:58.106,2.17,0.16,1.23,11.69,7.67,4.34,86.87,1.79,97.45,0.00,100.00,0.00
2025-07-01,18:14:03.107,2.15,0.18,1.26,11.66,7.67,4.29,85.83,1.81,97.42,0.00,100.00,0.00
2025-07-01,18:14:08.107,2.14,0.19,1.30,11.76,7.68,4.28,85.53,1.83,97.30,0.00,100.00,0.00
2025-07-01,18:14:13.108,2.27,0.18,1.25,11.71,7.64,4.55,90.92,1.90,97.40,0.00,100.00,0.00
2025-07-01,18:14:18.108,2.37,0.17,1.22,11.62,7.60,4.75,94.90,1.95,97.26,0.00,100.00,0.00
2025-07-01,18:14:23.108,2.34,0.18,1.30,11.67,7.65,4.68,93.61,1.95,97.21,0.00,100.00,0.00
2025-07-01,18:14:28.107,2.14,0.19,1.32,11.77,7.69,4.27,85.42,1.83,97.28,0.00,100.00,0.00
2025-07-01,18:14:33.108,2.17,0.16,1.24,11.63,7.66,4.34,86.71,1.80,97.39,0.00,100.00,0.00
2025-07-01,18:14:38.108,2.41,0.17,1.21,11.64,7.60,4.82,96.40,2.01,97.23,0.00,100.00,0.00
2025-07-01,18:14:43.107,2.59,0.16,1.22,11.75,7.67,5.17,103.43,2.01,97.15,0.00,100.00,0.00
2025-07-01,18:14:48.108,2.13,0.21,1.33,11.82,7.72,4.25,85.03,1.85,97.28,0.00,100.00,0.00
2025-07-01,18:14:53.107,2.61,0.18,1.20,11.69,7.58,5.23,104.53,2.12,97.08,0.00,100.00,0.00
2025-07-01,18:14:58.108,2.49,0.17,1.23,11.67,7.61,4.97,99.49,1.94,97.16,0.00,100.00,0.00
2025-07-01,18:15:03.108,2.14,0.19,1.36,11.57,7.65,4.27,85.44,1.63,97.53,0.00,100.00,0.00
2025-07-01,18:15:08.107,2.14,0.18,1.38,11.60,7.61,4.28,85.52,1.65,97.42,0.00,100.00,0.00
2025-07-01,18:15:13.108,2.13,0.18,1.36,11.72,7.68,4.27,85.31,1.63,97.64,0.00,100.00,0.00
2025-07-01,18:15:18.107,2.13,0.17,1.37,11.49,7.56,4.26,85.27,1.62,97.57,0.00,100.00,0.00
2025-07-01,18:15:23.108,2.14,0.16,1.34,11.57,7.63,4.28,85.63,1.63,97.59,0.00,100.00,0.00
2025-07-01,18:15:28.108,2.29,0.17,1.26,11.64,7.66,4.57,91.42,1.76,97.44,0.00,100.00,0.00
2025-07-01,18:15:33.107,2.27,0.19,1.34,11.71,7.66,4.55,91.00,1.79,97.62,0.00,100.00,0.00
2025-07-01,18:15:38.108,2.59,0.19,1.31,11.95,7.64,5.18,103.69,2.15,97.12,0.00,100.00,0.00
2025-07-01,18:15:43.107,2.61,0.19,1.22,11.74,7.60,5.21,104.23,2.15,97.12,0.00,100.00,0.00
2025-07-01,18:15:48.108,2.63,0.18,1.16,11.75,7.59,5.25,105.09,2.15,96.89,0.00,100.00,0.00
2025-07-01,18:15:53.108,2.63,0.16,1.13,11.62,7.58,5.27,105.38,2.12,97.02,0.00,100.00,0.00
2025-07-01,18:15:58.108,2.60,0.19,1.20,11.74,7.60,5.21,104.10,2.17,96.94,0.00,100.00,0.00
2025-07-01,18:16:03.108,2.65,0.16,1.15,11.66,7.56,5.29,105.88,2.15,96.88,0.00,100.00,0.00
2025-07-01,18:16:08.107,2.54,0.18,1.22,11.71,7.60,5.08,101.62,2.04,97.22,0.00,100.00,0.00
2025-07-01,18:16:13.108,2.55,0.18,1.26,11.69,7.62,5.10,101.93,2.05,97.36,0.00,100.00,0.00
2025-07-01,18:16:18.108,2.51,0.19,1.30,11.70,7.64,5.01,100.30,2.06,97.20,0.00,100.00,0.00
2025-07-01,18:16:23.109,2.45,0.18,1.30,11.58,7.61,4.90,97.98,1.88,97.41,0.00,100.00,0.00
2025-07-01,18:16:28.109,2.59,0.17,1.22,11.62,7.60,5.18,103.65,2.05,97.20,0.00,100.00,0.00
2025-07-01,18:16:33.108,2.60,0.16,1.23,11.65,7.61,5.20,103.99,2.04,97.15,0.00,100.00,0.00
2025-07-01,18:16:38.109,2.51,0.17,1.21,11.71,7.62,5.01,100.23,2.03,97.27,0.00,100.00,0.00
2025-07-01,18:16:43.109,2.54,0.18,1.27,11.73,7.66,5.08,101.60,2.03,97.32,0.00,100.00,0.00
2025-07-01,18:16:48.109,2.53,0.20,1.31,11.80,7.65,5.07,101.38,2.01,97.23,0.00,100.00,0.00
2025-07-01,18:16:53.109,2.73,0.16,0.91,10.29,6.92,5.46,109.20,2.01,74.85,0.00,98.89,0.02
