Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
2replicas_scenario51_100rps,2,1_CPU_1_L3,51,100,100.00535185974204,0.431,0.315,0.0,0.594,1.429,2.013,5.989,0
2replicas_scenario52_100rps,2,1_CPU_1_MemBW,52,100,100.00522832167252,0.416,0.423,0.0,0.583,0.616,0.685,4.147,0
2replicas_scenario53_100rps,2,2_CPU_2_L3,53,100,100.00539804303963,0.453,0.299,0.0,0.737,1.34,2.889,6.773,0
2replicas_scenario54_100rps,2,1_CPU_1_L3_1_MemBW,54,100,100.00489697701431,0.418,0.296,0.0,0.503,0.687,3.317,4.443,0
2replicas_scenario55_100rps,2,3_CPU_1_L3,55,100,100.00539476990862,0.301,0.259,0.0,0.424,0.527,1.371,4.232,0
2replicas_scenario56_100rps,2,2_L3_2_MemBW,56,100,100.00491977314088,0.551,0.445,0.0,0.796,0.946,2.91,6.314,0
2replicas_scenario57_100rps,2,1_CPU_2_L3,57,100,100.0050183612713,0.436,0.317,0.0,0.773,1.073,1.661,5.672,0
2replicas_scenario58_100rps,2,2_CPU_2_L3_2_MemBW,58,100,100.00455362178971,0.737,0.491,0.0,1.456,2.102,3.746,7.284,0
2replicas_scenario51_500rps,2,1_CPU_1_L3,51,500,500.0028102685729,0.15,0.115,0.0,0.19,0.226,1.297,4.653,0
2replicas_scenario52_500rps,2,1_CPU_1_MemBW,52,500,499.9938604253897,0.119,0.095,0.0,0.152,0.175,0.339,4.505,0
2replicas_scenario53_500rps,2,2_CPU_2_L3,53,500,500.0021248812524,0.349,0.212,0.0,0.62,0.705,2.549,7.488,0
2replicas_scenario54_500rps,2,1_CPU_1_L3_1_MemBW,54,500,500.00416932921075,0.169,0.132,0.0,0.239,0.311,0.889,3.973,0
2replicas_scenario55_500rps,2,3_CPU_1_L3,55,500,500.00432164290845,0.247,0.138,0.0,0.231,0.916,2.858,8.224,0
2replicas_scenario56_500rps,2,2_L3_2_MemBW,56,500,500.0032721825253,0.322,0.25,0.0,0.522,0.646,2.586,5.296,0
2replicas_scenario57_500rps,2,1_CPU_2_L3,57,500,500.0028539162896,0.25,0.168,0.0,0.512,0.564,0.823,6.949,0
2replicas_scenario58_500rps,2,2_CPU_2_L3_2_MemBW,58,500,500.00212690904743,0.471,0.289,0.0,0.809,1.454,3.168,6.694,0
2replicas_scenario51_1000rps,2,1_CPU_1_L3,51,1000,999.9998166045704,0.126,0.104,0.0,0.16,0.195,0.402,4.776,0
2replicas_scenario52_1000rps,2,1_CPU_1_MemBW,52,1000,1000.0046005544983,0.104,0.088,0.0,0.117,0.139,0.197,5.586,0
2replicas_scenario53_1000rps,2,2_CPU_2_L3,53,1000,1000.00192205925,0.266,0.167,0.0,0.428,0.568,2.305,9.238,0
