System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-04,06:35:20.079,13.78,71.21,0.00,13.78,71.21,0.00,0.78,0.24,1.41,3.29,86.33,0.00,1.55,31.06,0.75,0.18,0.70,2.55,83.44,0.00,1.51,30.15,0.77,0.20,0.77,2.84,83.45,0.00,1.55,30.91,1.61,0.12,4.30,27.33,50.78,0.00,3.22,64.39,1.27,0.12,4.95,18.70,70.92,0.00,2.54,50.76,1.44,0.06,3.22,32.91,53.07,0.00,2.87,57.43,1.12,0.12,3.50,10.96,75.33,0.00,2.23,44.68,0.67,0.09,5.44,11.70,66.41,0.00,1.33,26.68
2025-07-04,06:35:25.080,15.17,82.35,0.00,15.17,82.35,0.00,0.82,0.23,1.46,3.25,95.37,0.00,1.65,32.92,0.69,0.21,0.90,3.42,92.94,0.00,1.39,27.77,0.83,0.20,0.81,2.73,97.27,0.00,1.66,33.20,1.40,0.12,4.66,34.22,60.89,0.00,2.79,55.81,1.44,0.13,4.47,24.74,73.88,0.00,2.89,57.72,1.55,0.12,4.25,25.70,70.66,0.00,3.10,61.91,1.12,0.12,4.05,13.15,86.85,0.00,2.24,44.87,0.69,0.11,5.64,14.19,80.91,0.00,1.38,27.59
2025-07-04,06:35:30.080,14.99,82.55,0.00,14.99,82.55,0.00,0.79,0.20,1.20,2.95,94.03,0.00,1.58,31.52,0.71,0.21,0.87,2.62,93.81,0.00,1.42,28.42,0.84,0.20,0.74,2.65,97.35,0.00,1.68,33.62,1.32,0.13,5.44,27.02,69.75,0.00,2.64,52.74,1.45,0.10,3.54,30.10,66.88,0.00,2.90,57.99,1.63,0.12,4.14,26.95,69.48,0.00,3.26,65.26,1.12,0.13,4.00,13.29,86.71,0.00,2.24,44.89,0.70,0.10,5.77,14.36,82.40,0.00,1.40,27.90
2025-07-04,06:35:35.080,15.26,82.33,0.00,15.26,82.33,0.00,0.78,0.21,1.23,3.11,91.98,0.00,1.56,31.19,0.78,0.21,0.86,2.71,93.95,0.00,1.56,31.14,0.83,0.19,0.73,2.63,97.37,0.00,1.67,33.39,1.21,0.17,6.40,24.03,74.57,0.00,2.42,48.48,1.46,0.07,3.77,34.45,60.64,0.00,2.91,58.27,1.65,0.11,4.62,27.18,69.48,0.00,3.30,65.93,1.12,0.13,4.15,13.33,86.67,0.00,2.24,44.89,0.69,0.11,6.01,14.61,83.99,0.00,1.39,27.76
2025-07-04,06:35:40.080,14.91,82.77,0.00,14.91,82.77,0.00,0.81,0.23,1.60,3.15,93.04,0.00,1.61,32.28,0.83,0.19,0.76,2.43,97.47,0.00,1.66,33.24,0.84,0.20,0.74,2.58,97.42,0.00,1.67,33.50,1.32,0.09,4.32,34.83,59.81,0.00,2.63,52.63,1.83,0.11,3.48,34.24,61.95,0.00,3.67,73.39,0.99,0.17,4.99,14.82,85.08,0.00,1.99,39.74,1.12,0.13,3.98,13.14,86.86,0.00,2.24,44.71,0.71,0.10,5.18,14.14,80.49,0.00,1.42,28.44
2025-07-04,06:35:45.080,15.05,82.41,0.00,15.05,82.41,0.00,0.73,0.22,1.63,3.14,92.55,0.00,1.46,29.10,0.60,0.17,0.72,2.85,95.95,0.00,1.20,23.95,0.78,0.18,0.70,2.34,97.66,0.00,1.55,31.08,1.23,0.11,5.25,30.01,65.32,0.00,2.46,49.27,1.82,0.09,3.76,34.42,61.27,0.00,3.65,72.94,1.17,0.13,4.96,20.26,78.55,0.00,2.33,46.69,1.12,0.13,4.00,13.26,86.74,0.00,2.24,44.84,0.70,0.10,5.42,14.11,81.22,0.00,1.40,27.98
2025-07-04,06:35:50.081,15.06,82.53,0.00,15.06,82.53,0.00,0.81,0.25,1.66,3.30,92.09,0.00,1.62,32.30,0.81,0.18,0.76,2.52,95.39,0.00,1.62,32.35,0.87,0.23,0.81,2.77,97.22,0.00,1.73,34.63,1.18,0.11,5.52,26.81,70.26,0.00,2.35,47.01,1.82,0.11,3.80,34.65,60.74,0.00,3.64,72.76,1.27,0.12,4.55,23.18,74.74,0.00,2.54,50.79,1.12,0.12,3.89,13.06,86.93,0.00,2.24,44.77,0.71,0.11,5.36,14.22,82.85,0.00,1.42,28.40
2025-07-04,06:35:55.080,15.15,81.58,0.00,15.15,81.58,0.00,0.81,0.24,1.52,3.37,91.79,0.00,1.62,32.38,0.79,0.18,0.82,2.61,90.76,0.00,1.59,31.77,0.79,0.20,0.78,2.69,97.31,0.00,1.59,31.75,0.89,0.13,6.24,18.66,79.73,0.00,1.77,35.45,1.67,0.11,3.73,31.66,63.51,0.00,3.34,66.83,1.58,0.08,3.37,34.11,59.27,0.00,3.17,63.37,1.12,0.13,3.85,13.32,86.68,0.00,2.24,44.81,0.71,0.10,5.51,14.78,83.60,0.00,1.42,28.48
2025-07-04,06:36:00.081,14.98,81.91,0.00,14.98,81.91,0.00,0.78,0.21,1.27,2.97,94.22,0.00,1.55,31.06,0.70,0.17,0.78,2.30,92.43,0.00,1.41,28.14,0.74,0.19,0.73,2.47,97.53,0.00,1.47,29.46,1.12,0.11,5.77,25.22,70.42,0.00,2.23,44.69,1.30,0.11,4.46,24.93,72.26,0.00,2.60,52.10,1.83,0.10,3.71,34.36,60.37,0.00,3.66,73.19,1.12,0.13,3.87,13.18,86.82,0.00,2.25,44.99,0.70,0.10,5.44,14.40,81.23,0.00,1.39,27.88
2025-07-04,06:36:05.081,14.95,82.22,0.00,14.95,82.22,0.00,0.89,0.24,1.27,3.11,94.48,0.00,1.78,35.63,0.78,0.18,0.78,2.38,91.29,0.00,1.56,31.20,0.76,0.20,0.77,2.60,97.38,0.00,1.52,30.44,1.18,0.12,5.35,24.81,72.62,0.00,2.36,47.30,1.32,0.11,3.94,24.83,72.75,0.00,2.64,52.82,1.80,0.09,3.50,34.28,59.40,0.00,3.60,72.02,1.12,0.12,3.79,13.07,86.92,0.00,2.24,44.87,0.71,0.10,5.40,14.53,82.90,0.00,1.43,28.51
2025-07-04,06:36:10.081,15.34,82.10,0.00,15.34,82.10,0.00,0.74,0.21,1.18,3.03,91.93,0.00,1.49,29.72,0.73,0.18,0.89,2.51,92.95,0.00,1.46,29.21,0.87,0.17,0.70,2.45,97.55,0.00,1.74,34.77,0.72,0.16,7.53,16.56,82.77,0.00,1.44,28.90,1.39,0.06,3.85,35.17,59.79,0.00,2.79,55.78,1.82,0.09,4.07,34.88,60.58,0.00,3.64,72.76,1.13,0.12,3.96,13.21,86.79,0.00,2.25,45.02,0.71,0.10,5.85,14.88,84.44,0.00,1.41,28.23
