System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-03,23:10:03.882,1.83,3.79,17.67,14.07,18.21,3.67,73.40,26.22,59.74,0.00,98.42,0.02
2025-07-03,23:10:08.883,1.75,4.20,19.71,15.26,19.37,3.50,69.97,27.16,65.97,0.00,100.00,0.00
2025-07-03,23:10:13.882,1.76,4.18,19.94,14.99,19.01,3.52,70.45,27.25,66.93,0.00,100.00,0.00
2025-07-03,23:10:18.882,1.77,3.98,19.46,15.28,19.70,3.54,70.70,27.10,67.30,0.00,100.00,0.00
2025-07-03,23:10:23.883,1.77,3.99,19.39,15.14,19.45,3.54,70.89,27.30,66.47,0.00,100.00,0.00
2025-07-03,23:10:28.882,1.76,4.30,19.84,15.14,19.10,3.52,70.34,27.51,67.16,0.00,100.00,0.00
2025-07-03,23:10:33.883,1.74,4.15,20.44,15.08,19.07,3.49,69.73,27.19,66.35,0.00,100.00,0.00
2025-07-03,23:10:38.883,1.77,4.14,19.86,14.85,18.81,3.54,70.81,27.27,66.66,0.00,100.00,0.00
2025-07-03,23:10:43.885,1.76,4.10,19.75,14.80,18.79,3.52,70.40,27.21,66.06,0.00,100.00,0.00
2025-07-03,23:10:48.883,1.75,4.15,19.80,15.24,19.42,3.51,70.16,27.16,66.17,0.00,100.00,0.00
2025-07-03,23:10:53.884,1.77,4.09,19.71,14.81,18.74,3.55,70.97,27.03,66.01,0.00,100.00,0.00
2025-07-03,23:10:58.884,1.75,4.17,19.49,15.01,19.04,3.51,70.11,27.31,66.41,0.00,100.00,0.00
2025-07-03,23:11:03.885,1.79,3.89,19.02,14.52,18.63,3.58,71.66,26.98,67.26,0.00,100.00,0.00
2025-07-03,23:11:08.885,1.82,3.80,19.21,14.06,18.16,3.63,72.62,26.95,67.86,0.00,100.00,0.00
2025-07-03,23:11:13.884,1.79,3.99,19.16,14.24,18.15,3.58,71.65,27.06,66.84,0.00,100.00,0.00
2025-07-03,23:11:18.885,1.80,3.98,18.91,14.56,18.77,3.60,71.99,27.00,67.71,0.00,100.00,0.00
2025-07-03,23:11:23.885,1.77,4.08,19.41,14.63,18.73,3.54,70.78,27.09,66.28,0.00,100.00,0.00
2025-07-03,23:11:28.885,1.78,4.25,19.84,14.31,17.99,3.55,71.01,27.33,67.26,0.00,100.00,0.00
2025-07-03,23:11:33.886,1.80,3.82,18.75,14.04,18.12,3.60,71.93,26.92,66.70,0.00,100.00,0.00
2025-07-03,23:11:38.886,1.78,3.99,19.05,14.67,18.91,3.55,71.07,27.04,67.23,0.00,100.00,0.00
2025-07-03,23:11:43.886,1.78,4.03,19.17,14.95,19.16,3.56,71.19,27.22,67.47,0.00,100.00,0.00
2025-07-03,23:11:48.886,1.79,3.91,19.25,14.68,19.05,3.57,71.45,27.00,67.40,0.00,100.00,0.00
2025-07-03,23:11:53.886,1.80,3.94,18.88,14.23,18.25,3.60,72.09,26.82,67.55,0.00,100.00,0.00
2025-07-03,23:11:58.886,1.77,3.99,19.43,14.45,18.58,3.55,70.96,27.24,67.40,0.00,100.00,0.00
2025-07-03,23:12:03.887,1.80,3.87,18.89,14.26,18.41,3.60,72.01,27.01,67.27,0.00,100.00,0.00
2025-07-03,23:12:08.887,1.79,4.03,19.38,14.13,18.04,3.59,71.71,27.16,67.13,0.00,100.00,0.00
2025-07-03,23:12:13.888,1.80,3.88,18.87,14.55,18.86,3.60,71.99,26.94,67.51,0.00,100.00,0.00
2025-07-03,23:12:18.887,1.80,3.84,18.68,14.13,18.29,3.59,71.90,26.98,68.05,0.00,100.00,0.00
2025-07-03,23:12:23.887,1.80,3.90,18.69,14.06,18.16,3.60,71.94,27.04,67.60,0.00,100.00,0.00
2025-07-03,23:12:28.888,1.82,3.95,18.50,13.86,17.84,3.64,72.76,26.95,67.72,0.00,100.00,0.00
2025-07-03,23:12:33.887,1.80,3.78,18.47,13.89,18.02,3.61,72.14,26.93,68.01,0.00,100.00,0.00
2025-07-03,23:12:38.888,1.80,4.03,18.86,13.88,17.59,3.60,71.92,27.03,67.07,0.00,100.00,0.00
2025-07-03,23:12:43.888,1.81,3.83,18.60,13.69,17.67,3.61,72.21,26.87,66.94,0.00,100.00,0.00
2025-07-03,23:12:48.888,1.83,3.78,18.45,13.83,17.92,3.66,73.11,26.62,67.70,0.00,100.00,0.00
2025-07-03,23:12:53.889,1.82,3.78,18.78,13.61,17.45,3.65,72.95,26.81,67.21,0.00,100.00,0.00
2025-07-03,23:12:58.888,1.79,3.94,18.95,13.98,17.72,3.58,71.56,26.98,66.99,0.00,100.00,0.00
2025-07-03,23:13:03.889,2.13,2.72,10.47,12.93,18.00,4.26,85.10,24.62,41.00,0.00,93.23,0.01
