System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-04,18:21:05.762,13.40,81.32,0.00,13.40,81.32,0.00,0.44,0.20,0.62,2.16,93.29,0.00,0.88,17.58,0.40,0.19,0.52,1.98,94.18,0.00,0.80,15.99,0.85,0.26,0.54,2.74,89.29,0.00,1.70,33.94,2.51,0.24,2.34,28.84,66.42,0.00,5.02,100.33,2.48,0.31,2.34,25.41,70.03,0.00,4.95,99.09,2.19,0.40,2.52,25.50,70.65,0.00,4.38,87.53,0.74,0.45,2.45,9.55,82.48,0.00,1.48,29.62,0.41,0.38,4.09,11.05,84.22,0.00,0.82,16.42
2025-07-04,18:21:10.761,14.51,85.48,0.00,14.51,85.48,0.00,0.48,0.20,0.54,2.05,97.92,0.00,0.96,19.20,0.52,0.20,0.58,2.07,97.90,0.00,1.03,20.67,0.80,0.27,0.55,2.71,97.29,0.00,1.59,31.81,2.34,0.29,2.73,29.67,70.33,0.00,4.68,93.56,2.03,0.48,2.90,26.52,73.45,0.00,4.06,81.19,2.47,0.39,2.83,27.97,72.00,0.00,4.94,98.72,0.75,0.54,2.97,11.61,88.39,0.00,1.50,29.91,0.42,0.46,4.94,13.45,86.55,0.00,0.84,16.90
2025-07-04,18:21:15.762,14.85,85.14,0.00,14.85,85.14,0.00,0.47,0.21,0.52,2.24,97.75,0.00,0.94,18.72,0.45,0.23,0.71,2.30,97.63,0.00,0.89,17.81,0.72,0.27,0.55,3.08,96.92,0.00,1.44,28.72,2.31,0.31,2.79,30.10,69.90,0.00,4.63,92.56,1.36,0.59,3.11,25.41,74.58,0.00,2.71,54.29,2.94,0.32,2.87,29.78,70.15,0.00,5.88,117.52,0.70,0.53,3.02,11.85,88.15,0.00,1.40,27.95,0.41,0.48,5.22,14.00,86.00,0.00,0.83,16.54
2025-07-04,18:21:20.762,14.60,85.40,0.00,14.60,85.40,0.00,0.52,0.27,0.74,2.56,97.43,0.00,1.04,20.87,0.44,0.22,0.73,2.31,97.68,0.00,0.88,17.54,0.93,0.27,0.55,2.81,97.19,0.00,1.87,37.38,1.77,0.48,3.09,28.16,71.84,0.00,3.54,70.73,2.39,0.43,2.96,26.90,73.09,0.00,4.77,95.49,2.80,0.30,2.53,29.94,70.05,0.00,5.60,111.99,0.71,0.50,2.97,11.49,88.51,0.00,1.41,28.23,0.46,0.44,4.20,12.59,87.41,0.00,0.92,18.45
2025-07-04,18:21:25.762,14.72,85.27,0.00,14.72,85.27,0.00,0.48,0.22,0.66,2.25,97.75,0.00,0.96,19.16,0.47,0.21,0.66,2.20,97.77,0.00,0.93,18.64,0.96,0.30,0.61,3.17,96.83,0.00,1.93,38.59,2.22,0.37,2.99,28.99,71.01,0.00,4.44,88.74,2.27,0.44,2.92,27.91,72.09,0.00,4.55,90.95,2.44,0.43,2.97,28.33,71.64,0.00,4.87,97.42,0.73,0.54,3.05,11.59,88.41,0.00,1.47,29.31,0.43,0.48,4.95,13.31,86.69,0.00,0.87,17.33
2025-07-04,18:21:30.763,14.57,85.42,0.00,14.57,85.42,0.00,0.48,0.20,0.63,2.12,97.84,0.00,0.95,19.08,0.56,0.24,0.70,2.36,97.62,0.00,1.12,22.38,0.65,0.21,0.49,2.35,97.65,0.00,1.29,25.88,2.07,0.41,3.08,27.90,72.10,0.00,4.15,82.98,2.38,0.44,3.00,26.31,73.65,0.00,4.76,95.22,2.50,0.36,2.65,30.73,69.26,0.00,5.00,99.95,0.76,0.56,3.03,11.69,88.31,0.00,1.52,30.35,0.45,0.48,4.74,13.09,86.91,0.00,0.90,17.99
2025-07-04,18:21:35.762,14.74,85.25,0.00,14.74,85.25,0.00,0.38,0.21,0.57,2.00,97.98,0.00,0.76,15.30,0.68,0.27,0.73,2.63,97.36,0.00,1.36,27.19,0.65,0.21,0.46,2.24,97.76,0.00,1.30,26.03,2.38,0.34,3.00,29.86,70.14,0.00,4.77,95.38,1.84,0.53,3.23,25.67,74.32,0.00,3.67,73.46,2.64,0.37,2.89,30.05,69.94,0.00,5.28,105.67,0.74,0.53,3.10,11.68,88.32,0.00,1.47,29.43,0.43,0.49,5.35,13.78,86.22,0.00,0.86,17.20
2025-07-04,18:21:40.762,14.74,85.26,0.00,14.74,85.26,0.00,0.56,0.20,0.51,2.19,97.81,0.00,1.12,22.33,0.43,0.25,0.80,2.38,97.61,0.00,0.86,17.24,0.78,0.25,0.53,2.99,97.01,0.00,1.55,31.09,2.46,0.32,2.96,30.32,69.68,0.00,4.92,98.32,1.34,0.57,3.12,24.57,75.42,0.00,2.68,53.56,2.95,0.31,2.76,30.45,69.54,0.00,5.91,118.14,0.76,0.52,2.87,11.35,88.65,0.00,1.53,30.59,0.44,0.49,5.30,13.64,86.36,0.00,0.88,17.52
2025-07-04,18:21:45.763,14.77,85.22,0.00,14.77,85.22,0.00,0.41,0.22,0.64,2.13,97.87,0.00,0.83,16.60,0.53,0.21,0.65,2.25,97.73,0.00,1.06,21.22,0.75,0.25,0.55,2.60,97.40,0.00,1.49,29.88,1.81,0.56,3.79,24.11,75.89,0.00,3.61,72.24,2.58,0.23,1.92,37.32,62.68,0.00,5.17,103.40,2.25,0.44,3.15,24.16,75.81,0.00,4.51,90.12,0.73,0.53,2.92,11.87,88.13,0.00,1.46,29.29,0.45,0.48,4.73,13.72,86.28,0.00,0.91,18.10
2025-07-04,18:21:50.762,14.77,85.22,0.00,14.77,85.22,0.00,0.50,0.24,0.71,2.33,97.67,0.00,1.00,20.09,0.48,0.20,0.61,2.17,97.80,0.00,0.95,19.03,0.68,0.24,0.52,2.57,97.43,0.00,1.37,27.35,1.61,0.59,3.94,22.48,77.52,0.00,3.22,64.46,2.76,0.18,1.76,40.04,59.96,0.00,5.52,110.37,2.06,0.51,3.26,23.57,76.40,0.00,4.12,82.48,0.71,0.49,2.87,11.60,88.40,0.00,1.41,28.26,0.46,0.48,4.49,13.43,86.57,0.00,0.91,18.28
