System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-04,18:21:05.762,1.95,2.44,15.42,11.11,12.11,3.90,77.98,13.40,81.32,0.00,99.82,0.00
2025-07-04,18:21:10.761,1.84,2.83,18.04,12.16,12.43,3.67,73.43,14.51,85.48,0.00,100.00,0.00
2025-07-04,18:21:15.762,1.79,2.94,18.80,12.53,12.81,3.58,71.51,14.85,85.14,0.00,100.00,0.00
2025-07-04,18:21:20.762,1.88,2.90,17.79,12.01,12.04,3.75,75.02,14.60,85.40,0.00,100.00,0.00
2025-07-04,18:21:25.762,1.85,2.98,18.80,12.32,12.40,3.71,74.16,14.72,85.27,0.00,100.00,0.00
2025-07-04,18:21:30.763,1.87,2.91,18.32,11.93,12.12,3.74,74.83,14.57,85.42,0.00,100.00,0.00
2025-07-04,18:21:35.762,1.85,2.96,19.32,12.03,12.22,3.71,74.17,14.74,85.25,0.00,100.00,0.00
2025-07-04,18:21:40.762,1.86,2.91,18.86,11.99,12.17,3.72,74.34,14.74,85.26,0.00,100.00,0.00
2025-07-04,18:21:45.763,1.83,2.93,18.35,12.04,12.32,3.65,73.09,14.77,85.22,0.00,100.00,0.00
2025-07-04,18:21:50.762,1.83,2.93,18.16,12.23,12.39,3.66,73.24,14.77,85.22,0.00,100.00,0.00
2025-07-04,18:21:55.763,1.81,3.06,18.22,12.49,12.49,3.62,72.39,14.92,85.08,0.00,100.00,0.00
2025-07-04,18:22:00.763,1.77,2.91,17.83,12.26,12.49,3.54,70.85,14.73,85.26,0.00,100.00,0.00
2025-07-04,18:22:05.763,1.82,2.90,18.14,12.16,12.38,3.63,72.63,14.67,85.31,0.00,100.00,0.00
2025-07-04,18:22:10.764,1.85,2.84,17.85,12.00,12.32,3.70,74.08,14.62,85.38,0.00,100.00,0.00
2025-07-04,18:22:15.763,1.80,3.13,19.03,12.41,12.41,3.60,71.98,15.13,84.86,0.00,100.00,0.00
2025-07-04,18:22:20.764,1.82,2.95,18.37,12.26,12.50,3.64,72.89,14.77,85.22,0.00,100.00,0.00
2025-07-04,18:22:25.764,1.80,3.15,18.78,12.51,12.42,3.61,72.16,15.17,84.83,0.00,100.00,0.00
2025-07-04,18:22:30.763,1.81,2.95,17.95,12.21,12.36,3.62,72.30,14.89,85.10,0.00,100.00,0.00
2025-07-04,18:22:35.764,1.84,2.86,17.56,12.18,12.47,3.68,73.50,14.67,85.32,0.00,100.00,0.00
2025-07-04,18:22:40.763,1.81,3.04,18.08,12.39,12.49,3.62,72.30,14.93,85.07,0.00,100.00,0.00
2025-07-04,18:22:45.764,1.81,3.05,18.38,12.41,12.49,3.61,72.26,14.97,85.02,0.00,100.00,0.00
2025-07-04,18:22:50.763,1.84,2.82,17.93,12.01,12.34,3.68,73.58,14.66,85.34,0.00,100.00,0.00
2025-07-04,18:22:55.764,1.80,3.04,18.61,12.52,12.63,3.61,72.13,14.92,85.07,0.00,100.00,0.00
2025-07-04,18:23:00.763,1.84,2.93,18.38,12.27,12.43,3.67,73.49,14.71,85.29,0.00,100.00,0.00
2025-07-04,18:23:05.764,1.81,3.01,18.45,12.55,12.66,3.63,72.57,14.92,85.07,0.00,100.00,0.00
2025-07-04,18:23:10.763,1.78,3.20,18.77,12.78,12.72,3.55,71.01,15.18,84.81,0.00,100.00,0.00
2025-07-04,18:23:15.764,1.79,3.08,18.54,12.60,12.66,3.58,71.70,15.01,84.99,0.00,100.00,0.00
2025-07-04,18:23:20.764,1.81,3.05,18.23,12.69,12.84,3.61,72.29,14.86,85.14,0.00,100.00,0.00
2025-07-04,18:23:25.764,1.78,3.11,18.51,12.67,12.77,3.57,71.34,15.08,84.91,0.00,100.00,0.00
2025-07-04,18:23:30.765,1.78,3.03,18.38,12.64,12.85,3.55,71.08,14.95,85.05,0.00,100.00,0.00
2025-07-04,18:23:35.765,1.78,3.01,18.20,12.58,12.75,3.56,71.15,14.95,85.04,0.00,100.00,0.00
2025-07-04,18:23:40.764,1.77,2.93,18.04,12.65,12.98,3.54,70.73,14.83,85.17,0.00,100.00,0.00
2025-07-04,18:23:45.765,1.82,2.95,17.76,12.42,12.72,3.65,72.96,14.73,85.27,0.00,100.00,0.00
2025-07-04,18:23:50.764,1.80,2.95,17.98,12.49,12.82,3.60,72.02,14.73,85.26,0.00,100.00,0.00
2025-07-04,18:23:55.765,1.80,2.95,18.02,12.55,12.83,3.60,71.91,14.88,85.11,0.00,100.00,0.00
2025-07-04,18:24:00.764,1.82,2.93,18.17,12.58,12.85,3.63,72.62,14.70,85.29,0.00,100.00,0.00
2025-07-04,18:24:05.765,2.36,1.85,8.87,11.54,12.87,4.72,94.45,14.88,75.58,0.00,99.94,0.00
