System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-02,19:55:41.071,0.39,92.37,0.00,0.39,92.37,0.00,1.04,0.02,0.06,0.26,93.05,0.00,2.07,41.44,0.91,0.04,0.13,0.54,93.63,0.00,1.81,36.29,0.74,0.02,0.05,0.24,93.09,0.00,1.49,29.73,0.69,0.01,0.11,0.43,89.81,0.00,1.38,27.65,0.85,0.01,0.07,0.36,92.94,0.00,1.70,34.00,0.84,0.00,0.07,0.38,93.80,0.00,1.68,33.57,0.88,0.00,0.10,0.44,92.89,0.00,1.76,35.19,0.71,0.01,0.13,0.48,89.77,0.00,1.42,28.47
2025-07-02,19:55:46.071,0.42,99.58,0.00,0.42,99.58,0.00,0.82,0.01,0.05,0.21,99.79,0.00,1.63,32.62,0.93,0.03,0.09,0.43,99.57,0.00,1.85,37.10,0.74,0.01,0.05,0.21,99.79,0.00,1.48,29.66,0.81,0.01,0.14,0.52,99.48,0.00,1.62,32.36,0.91,0.01,0.10,0.45,99.55,0.00,1.81,36.25,0.91,0.01,0.10,0.48,99.52,0.00,1.82,36.32,0.91,0.01,0.13,0.51,99.49,0.00,1.82,36.32,0.73,0.01,0.15,0.54,99.46,0.00,1.46,29.21
2025-07-02,19:55:51.071,0.40,99.60,0.00,0.40,99.60,0.00,0.71,0.01,0.04,0.20,99.80,0.00,1.41,28.22,0.98,0.02,0.09,0.43,99.57,0.00,1.95,39.04,1.04,0.01,0.05,0.23,99.77,0.00,2.07,41.49,0.70,0.00,0.12,0.46,99.54,0.00,1.41,28.14,0.88,0.00,0.09,0.43,99.57,0.00,1.75,35.08,0.88,0.00,0.09,0.44,99.56,0.00,1.75,35.07,0.90,0.01,0.12,0.50,99.50,0.00,1.81,36.17,0.73,0.00,0.15,0.53,99.47,0.00,1.47,29.35
2025-07-02,19:55:56.071,0.38,99.62,0.00,0.38,99.62,0.00,0.95,0.01,0.04,0.21,99.79,0.00,1.89,37.84,0.86,0.02,0.08,0.39,99.61,0.00,1.72,34.34,0.76,0.01,0.05,0.20,99.80,0.00,1.52,30.36,0.71,0.00,0.12,0.45,99.55,0.00,1.43,28.55,0.89,0.00,0.08,0.41,99.59,0.00,1.77,35.47,0.86,0.00,0.08,0.41,99.59,0.00,1.72,34.31,0.91,0.00,0.12,0.48,99.52,0.00,1.82,36.46,0.72,0.00,0.14,0.52,99.48,0.00,1.45,28.92
2025-07-02,19:56:01.071,0.41,99.59,0.00,0.41,99.59,0.00,1.35,0.01,0.06,0.25,99.75,0.00,2.70,54.01,1.00,0.02,0.11,0.43,99.57,0.00,2.00,40.05,0.71,0.01,0.04,0.18,99.82,0.00,1.42,28.36,0.73,0.01,0.13,0.49,99.51,0.00,1.46,29.12,0.88,0.01,0.09,0.43,99.57,0.00,1.76,35.20,0.78,0.00,0.09,0.48,99.52,0.00,1.55,31.03,0.93,0.00,0.12,0.50,99.50,0.00,1.86,37.13,0.79,0.01,0.15,0.55,99.45,0.00,1.57,31.40
2025-07-02,19:56:06.071,0.39,99.61,0.00,0.39,99.61,0.00,1.06,0.01,0.04,0.21,99.79,0.00,2.12,42.47,0.98,0.01,0.07,0.37,99.63,0.00,1.97,39.38,0.71,0.01,0.04,0.17,99.83,0.00,1.42,28.48,0.77,0.00,0.12,0.48,99.52,0.00,1.53,30.62,0.88,0.00,0.08,0.44,99.56,0.00,1.76,35.27,0.90,0.00,0.09,0.45,99.55,0.00,1.80,36.07,0.94,0.00,0.12,0.50,99.50,0.00,1.88,37.54,0.72,0.00,0.15,0.53,99.47,0.00,1.44,28.84
2025-07-02,19:56:11.071,0.38,99.62,0.00,0.38,99.62,0.00,0.77,0.01,0.04,0.18,99.82,0.00,1.54,30.89,0.83,0.02,0.07,0.37,99.63,0.00,1.67,33.32,0.65,0.01,0.04,0.16,99.84,0.00,1.30,25.95,0.74,0.01,0.13,0.49,99.51,0.00,1.48,29.52,0.87,0.01,0.09,0.43,99.57,0.00,1.73,34.62,0.87,0.00,0.07,0.40,99.60,0.00,1.75,34.91,0.93,0.00,0.12,0.49,99.51,0.00,1.86,37.16,0.72,0.00,0.15,0.52,99.48,0.00,1.44,28.73
2025-07-02,19:56:16.071,0.40,99.60,0.00,0.40,99.60,0.00,0.79,0.01,0.04,0.19,99.81,0.00,1.59,31.77,0.84,0.02,0.08,0.40,99.60,0.00,1.68,33.61,1.36,0.01,0.05,0.24,99.76,0.00,2.72,54.34,0.73,0.01,0.12,0.47,99.53,0.00,1.45,29.10,0.89,0.00,0.08,0.43,99.57,0.00,1.78,35.53,0.86,0.00,0.08,0.45,99.55,0.00,1.73,34.51,0.92,0.00,0.12,0.49,99.51,0.00,1.84,36.74,0.73,0.00,0.14,0.52,99.48,0.00,1.45,29.03
2025-07-02,19:56:21.071,0.40,99.60,0.00,0.40,99.60,0.00,0.87,0.01,0.04,0.19,99.81,0.00,1.74,34.79,0.85,0.02,0.09,0.41,99.59,0.00,1.70,34.09,1.27,0.01,0.05,0.23,99.77,0.00,2.54,50.80,0.72,0.00,0.12,0.47,99.53,0.00,1.43,28.66,0.87,0.01,0.09,0.44,99.56,0.00,1.73,34.67,0.75,0.00,0.09,0.47,99.53,0.00,1.49,29.89,0.90,0.00,0.12,0.48,99.52,0.00,1.80,36.01,0.72,0.00,0.14,0.52,99.48,0.00,1.45,28.97
2025-07-02,19:56:26.071,0.37,99.63,0.00,0.37,99.63,0.00,0.80,0.01,0.03,0.16,99.84,0.00,1.60,31.93,1.09,0.02,0.07,0.38,99.62,0.00,2.17,43.49,0.70,0.01,0.03,0.16,99.84,0.00,1.39,27.88,0.71,0.00,0.11,0.44,99.56,0.00,1.41,28.29,0.87,0.00,0.08,0.41,99.59,0.00,1.74,34.84,0.86,0.00,0.09,0.46,99.54,0.00,1.71,34.22,0.93,0.00,0.11,0.48,99.52,0.00,1.87,37.36,0.72,0.00,0.14,0.50,99.50,0.00,1.44,28.85
