System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-06-17,01:18:06.713,5.73,82.58,0.00,5.73,82.58,0.00,0.80,0.12,0.23,7.81,83.61,0.00,1.60,31.94,0.97,0.10,0.23,7.58,88.75,0.00,1.93,38.61,1.11,0.09,0.20,7.71,78.06,0.00,2.21,44.30,1.28,0.08,0.16,7.66,72.05,0.00,2.57,51.32,0.77,0.11,0.20,7.07,84.36,0.00,1.55,30.94,1.11,0.09,0.16,7.19,89.14,0.00,2.21,44.24,0.83,0.01,0.07,0.52,85.25,0.00,1.66,33.25,0.64,0.01,0.04,0.30,79.41,0.00,1.28,25.54
2025-06-17,01:18:11.711,4.69,80.36,0.00,4.69,80.36,0.00,1.36,0.09,0.23,7.50,83.63,0.00,2.72,54.46,1.15,0.11,0.25,7.02,88.77,0.00,2.30,45.91,0.98,0.10,0.26,4.26,73.40,0.00,1.96,39.25,1.24,0.10,0.20,6.83,68.78,0.00,2.48,49.65,1.18,0.06,0.18,3.52,87.60,0.00,2.35,47.08,1.17,0.10,0.21,7.44,88.35,0.00,2.34,46.83,0.85,0.02,0.07,0.67,76.99,0.00,1.71,34.14,0.68,0.01,0.05,0.28,75.34,0.00,1.35,27.08
2025-06-17,01:18:16.711,3.86,75.70,0.00,3.86,75.70,0.00,1.39,0.04,0.19,2.22,86.13,0.00,2.79,55.79,1.32,0.08,0.19,7.46,88.56,0.00,2.64,52.71,1.69,0.04,0.14,5.67,74.61,0.00,3.39,67.72,0.36,0.02,0.11,0.52,53.08,0.00,0.72,14.46,1.48,0.06,0.14,7.22,81.14,0.00,2.96,59.10,1.25,0.08,0.15,7.14,88.88,0.00,2.49,49.89,0.70,0.01,0.08,0.39,79.89,0.00,1.39,27.83,1.11,0.00,0.03,0.30,53.29,0.00,2.23,44.52
2025-06-17,01:18:21.710,3.90,76.30,0.00,3.90,76.30,0.00,1.27,0.07,0.21,4.55,85.50,0.00,2.54,50.87,1.30,0.07,0.19,4.14,79.65,0.00,2.61,52.17,1.69,0.04,0.15,7.04,75.37,0.00,3.38,67.54,1.36,0.04,0.13,3.25,61.30,0.00,2.73,54.59,1.31,0.08,0.15,7.20,82.85,0.00,2.63,52.56,1.29,0.05,0.12,4.39,79.41,0.00,2.58,51.59,0.34,0.02,0.08,0.27,82.13,0.00,0.68,13.59,1.06,0.01,0.04,0.38,64.17,0.00,2.12,42.44
2025-06-17,01:18:26.711,3.92,77.61,0.00,3.92,77.61,0.00,1.63,0.06,0.19,7.19,90.64,0.00,3.27,65.31,1.44,0.06,0.17,6.18,74.95,0.00,2.89,57.71,1.28,0.04,0.16,2.33,68.67,0.00,2.56,51.26,1.39,0.06,0.14,7.20,68.97,0.00,2.78,55.67,1.32,0.08,0.15,7.15,90.67,0.00,2.65,52.95,0.48,0.03,0.11,0.55,80.57,0.00,0.96,19.30,1.00,0.01,0.06,0.55,70.45,0.00,2.00,39.97,0.79,0.01,0.04,0.25,75.92,0.00,1.57,31.44
2025-06-17,01:18:31.710,3.98,76.52,0.00,3.98,76.52,0.00,1.36,0.07,0.23,4.22,86.08,0.00,2.72,54.37,1.39,0.06,0.18,5.90,83.22,0.00,2.79,55.79,1.55,0.06,0.20,5.97,75.13,0.00,3.09,61.82,1.31,0.04,0.12,3.24,58.26,0.00,2.62,52.43,1.34,0.08,0.15,7.24,83.06,0.00,2.68,53.65,1.27,0.06,0.14,4.46,84.66,0.00,2.54,50.71,1.07,0.01,0.06,0.68,80.42,0.00,2.15,42.97,0.31,0.01,0.04,0.14,61.37,0.00,0.62,12.42
2025-06-17,01:18:36.712,3.90,77.45,0.00,3.90,77.45,0.00,1.65,0.06,0.18,7.41,90.89,0.00,3.29,65.82,1.28,0.04,0.14,2.46,67.60,0.00,2.56,51.24,1.41,0.06,0.18,5.75,74.26,0.00,2.82,56.31,1.39,0.07,0.14,7.26,69.77,0.00,2.78,55.64,1.32,0.07,0.15,7.15,91.15,0.00,2.64,52.89,0.37,0.02,0.08,0.37,69.69,0.00,0.73,14.68,0.95,0.01,0.07,0.55,79.46,0.00,1.90,38.00,0.67,0.01,0.04,0.24,76.79,0.00,1.34,26.79
2025-06-17,01:18:41.714,3.95,77.11,0.00,3.95,77.11,0.00,1.14,0.05,0.20,1.94,85.87,0.00,2.28,45.68,1.58,0.07,0.18,7.28,80.30,0.00,3.16,63.24,1.43,0.06,0.16,6.57,75.09,0.00,2.87,57.34,1.28,0.05,0.14,4.62,62.57,0.00,2.56,51.24,1.35,0.08,0.14,7.24,80.59,0.00,2.70,53.92,1.14,0.05,0.13,3.13,84.45,0.00,2.29,45.75,1.00,0.01,0.07,0.61,81.04,0.00,2.01,40.11,0.65,0.01,0.05,0.23,66.96,0.00,1.31,26.11
2025-06-17,01:18:46.711,3.90,74.74,0.00,3.90,74.74,0.00,1.56,0.06,0.18,5.40,87.54,0.00,3.12,62.44,1.33,0.06,0.20,2.89,85.35,0.00,2.66,53.12,1.43,0.07,0.18,7.45,75.95,0.00,2.87,57.37,0.38,0.02,0.10,0.46,49.54,0.00,0.77,15.32,1.30,0.08,0.14,7.12,85.81,0.00,2.59,51.87,1.34,0.07,0.14,7.17,81.08,0.00,2.68,53.64,1.01,0.01,0.06,0.59,82.82,0.00,2.01,40.28,0.65,0.00,0.03,0.16,49.84,0.00,1.30,26.06
2025-06-17,01:18:36.712,3.90,77.45,0.00,3.90,77.45,0.00,1.65,0.06,0.18,7.41,90.89,0.00,3.29,65.82,1.28,0.04,0.14,2.46,67.60,0.00,2.56,51.24,1.41,0.06,0.18,5.75,74.26,0.00,2.82,56.31,1.39,0.07,0.14,7.26,69.77,0.00,2.78,55.64,1.32,0.07,0.15,7.15,91.15,0.00,2.64,52.89,0.37,0.02,0.08,0.37,69.69,0.00,0.73,14.68,0.95,0.01,0.07,0.55,79.46,0.00,1.90,38.00,0.67,0.01,0.04,0.24,76.79,0.00,1.34,26.79
