System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-16,16:18:03.471,1.85,80.43,0.00,1.85,80.43,0.00,0.92,0.01,0.40,1.69,80.92,0.00,1.84,36.73,0.96,0.01,0.40,1.75,80.99,0.00,1.91,38.28,1.06,0.01,0.56,2.16,78.74,0.00,2.13,42.59,0.91,0.02,0.41,1.72,81.16,0.00,1.82,36.41,0.94,0.02,0.41,1.78,80.83,0.00,1.87,37.44,0.94,0.02,0.43,1.84,80.90,0.00,1.88,37.50,0.99,0.02,0.49,2.03,78.87,0.00,1.97,39.49,1.00,0.02,0.46,1.85,81.02,0.00,2.01,40.14
2025-05-16,16:18:08.470,4.26,95.74,0.00,4.26,95.74,0.00,0.95,0.01,0.94,3.91,96.09,0.00,1.89,37.84,0.95,0.01,0.96,4.05,95.95,0.00,1.90,38.08,0.94,0.01,0.95,3.88,96.12,0.00,1.89,37.80,1.09,0.01,1.36,5.50,94.50,0.00,2.17,43.44,0.94,0.01,0.91,3.89,96.11,0.00,1.88,37.65,0.94,0.01,0.95,3.96,96.04,0.00,1.88,37.56,0.95,0.01,0.94,3.91,96.09,0.00,1.91,38.14,1.00,0.01,1.11,4.97,95.03,0.00,2.00,40.06
2025-05-16,16:18:13.471,4.26,95.74,0.00,4.26,95.74,0.00,0.96,0.01,0.93,3.90,96.10,0.00,1.91,38.28,0.94,0.01,0.96,3.98,96.02,0.00,1.88,37.69,0.89,0.01,0.85,4.03,95.97,0.00,1.78,35.51,1.00,0.01,1.08,4.55,95.45,0.00,2.00,40.01,0.95,0.01,0.90,3.94,96.06,0.00,1.90,38.08,0.94,0.01,0.98,3.99,96.01,0.00,1.88,37.63,1.11,0.01,1.37,5.19,94.81,0.00,2.23,44.51,0.99,0.01,1.03,4.46,95.54,0.00,1.99,39.75
2025-05-16,16:18:18.470,4.25,95.75,0.00,4.25,95.75,0.00,0.96,0.01,0.93,3.82,96.18,0.00,1.92,38.36,0.94,0.01,0.96,4.00,96.00,0.00,1.89,37.75,0.85,0.01,0.82,4.36,95.64,0.00,1.70,33.91,0.95,0.01,0.96,3.96,96.04,0.00,1.89,37.83,0.95,0.01,0.90,3.80,96.20,0.00,1.91,38.14,0.95,0.02,0.97,4.00,96.00,0.00,1.90,37.96,1.17,0.01,1.66,6.17,93.83,0.00,2.34,46.81,0.94,0.01,0.90,3.92,96.08,0.00,1.89,37.76
2025-05-16,16:18:23.470,4.26,95.74,0.00,4.26,95.74,0.00,0.94,0.01,0.95,3.96,96.04,0.00,1.89,37.70,0.94,0.01,0.97,3.96,96.04,0.00,1.88,37.63,0.87,0.01,0.84,4.32,95.68,0.00,1.74,34.74,0.95,0.01,0.98,3.95,96.05,0.00,1.90,37.96,0.94,0.01,0.92,3.96,96.04,0.00,1.87,37.44,0.94,0.01,1.00,4.03,95.97,0.00,1.88,37.53,1.18,0.01,1.68,6.08,93.92,0.00,2.35,47.02,0.95,0.01,0.89,3.85,96.15,0.00,1.90,38.05
2025-05-16,16:18:28.471,4.28,95.72,0.00,4.28,95.72,0.00,0.95,0.01,0.97,4.01,95.99,0.00,1.90,38.01,0.94,0.01,0.98,3.95,96.05,0.00,1.88,37.57,1.11,0.01,1.47,5.63,94.37,0.00,2.22,44.34,0.94,0.02,0.98,3.99,96.01,0.00,1.89,37.75,0.94,0.01,0.92,3.93,96.07,0.00,1.89,37.77,0.94,0.01,0.99,3.98,96.02,0.00,1.87,37.48,0.97,0.01,1.09,4.81,95.19,0.00,1.93,38.62,0.94,0.02,0.92,3.97,96.03,0.00,1.88,37.54
2025-05-16,16:18:33.503,4.25,95.75,0.00,4.25,95.75,0.00,0.95,0.01,0.96,3.89,96.11,0.00,1.89,37.82,1.06,0.01,1.31,5.22,94.78,0.00,2.13,42.57,0.96,0.01,0.96,4.01,95.99,0.00,1.93,38.57,0.94,0.01,0.98,3.96,96.04,0.00,1.87,37.49,0.95,0.01,0.93,3.88,96.12,0.00,1.89,37.82,0.99,0.01,1.14,4.79,95.21,0.00,1.98,39.53,0.99,0.01,1.02,4.20,95.80,0.00,1.98,39.68,0.94,0.01,0.93,4.01,95.99,0.00,1.87,37.44
2025-05-16,16:18:38.470,4.27,95.73,0.00,4.27,95.73,0.00,0.95,0.01,0.97,3.99,96.01,0.00,1.89,37.82,0.96,0.01,1.09,4.69,95.31,0.00,1.93,38.57,0.95,0.01,0.92,3.91,96.09,0.00,1.90,37.95,0.95,0.01,0.98,4.03,95.97,0.00,1.91,38.14,0.94,0.01,0.92,4.00,96.00,0.00,1.88,37.59,1.12,0.01,1.50,5.68,94.32,0.00,2.24,44.80,0.94,0.01,0.95,3.95,96.05,0.00,1.88,37.68,0.93,0.02,0.91,3.94,96.06,0.00,1.86,37.23
2025-05-16,16:18:43.471,4.24,95.76,0.00,4.24,95.76,0.00,0.97,0.01,0.96,3.95,96.05,0.00,1.94,38.72,0.99,0.01,1.13,4.69,95.31,0.00,1.98,39.54,0.95,0.01,0.91,3.86,96.14,0.00,1.89,37.81,1.02,0.01,1.16,4.56,95.44,0.00,2.04,40.71,0.95,0.01,0.89,3.80,96.20,0.00,1.90,37.99,1.04,0.01,1.23,4.97,95.03,0.00,2.08,41.64,0.95,0.01,0.95,3.90,96.10,0.00,1.90,37.96,0.93,0.02,0.92,4.19,95.81,0.00,1.87,37.34
2025-05-16,16:18:48.471,4.30,95.70,0.00,4.30,95.70,0.00,0.94,0.01,0.96,3.94,96.06,0.00,1.88,37.65,0.94,0.01,0.97,3.99,96.01,0.00,1.88,37.60,0.90,0.01,0.91,4.06,95.94,0.00,1.81,36.11,1.09,0.01,1.37,5.27,94.73,0.00,2.18,43.66,0.95,0.01,0.93,3.97,96.03,0.00,1.90,38.01,0.94,0.01,0.99,4.03,95.97,0.00,1.88,37.53,1.05,0.01,1.23,4.72,95.28,0.00,2.10,42.02,0.92,0.01,0.94,4.39,95.61,0.00,1.85,36.95
