System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-16,16:50:06.336,22.56,72.20,0.00,22.56,72.20,0.00,1.23,0.09,1.20,23.08,71.30,0.00,2.46,49.24,1.24,0.08,1.17,25.81,69.03,0.00,2.48,49.66,1.23,0.09,1.11,25.30,70.57,0.00,2.46,49.23,1.21,0.07,1.12,20.07,73.88,0.00,2.41,48.23,1.23,0.08,1.11,22.91,71.47,0.00,2.47,49.31,1.23,0.06,1.04,21.08,73.76,0.00,2.45,49.07,1.24,0.06,0.98,22.10,73.77,0.00,2.49,49.80,1.21,0.07,1.02,20.13,73.81,0.00,2.42,48.40
2025-05-16,16:50:11.335,30.22,69.78,0.00,30.22,69.78,0.00,1.09,0.09,3.73,31.81,68.19,0.00,2.18,43.68,1.16,0.06,2.63,33.82,66.18,0.00,2.31,46.26,1.17,0.05,2.55,33.28,66.72,0.00,2.34,46.79,1.14,0.07,2.42,28.36,71.64,0.00,2.28,45.56,1.09,0.10,3.95,31.95,68.05,0.00,2.18,43.66,1.16,0.06,2.17,27.97,72.03,0.00,2.32,46.39,1.17,0.05,1.98,27.09,72.91,0.00,2.34,46.83,1.14,0.07,2.14,27.46,72.54,0.00,2.28,45.59
2025-05-16,16:50:16.334,29.40,70.60,0.00,29.40,70.60,0.00,1.17,0.08,2.42,31.63,68.37,0.00,2.34,46.74,1.17,0.06,2.97,32.46,67.54,0.00,2.33,46.62,1.15,0.06,3.06,33.18,66.82,0.00,2.29,45.89,1.14,0.06,2.37,27.46,72.54,0.00,2.28,45.59,1.15,0.08,2.73,31.23,68.77,0.00,2.31,46.10,1.16,0.05,1.95,25.68,74.32,0.00,2.31,46.28,1.15,0.07,2.09,26.25,73.75,0.00,2.31,46.15,1.13,0.05,2.60,27.34,72.66,0.00,2.26,45.26
2025-05-16,16:50:21.334,29.72,70.27,0.00,29.72,70.27,0.00,1.12,0.09,3.41,32.07,67.91,0.00,2.24,44.72,1.17,0.07,2.74,32.86,67.14,0.00,2.34,46.83,1.17,0.05,2.76,33.40,66.60,0.00,2.33,46.69,1.16,0.07,2.43,27.79,72.21,0.00,2.32,46.43,1.10,0.07,3.43,31.68,68.30,0.00,2.21,44.12,1.17,0.05,1.76,26.38,73.62,0.00,2.34,46.72,1.16,0.05,1.97,26.83,73.17,0.00,2.33,46.54,1.16,0.06,2.06,26.79,73.21,0.00,2.31,46.25
2025-05-16,16:50:26.334,29.14,70.86,0.00,29.14,70.86,0.00,1.14,0.09,3.09,31.42,68.58,0.00,2.29,45.78,1.14,0.13,3.16,32.42,67.58,0.00,2.28,45.69,1.15,0.06,2.56,31.69,68.31,0.00,2.30,46.06,1.17,0.08,1.93,26.58,73.42,0.00,2.34,46.89,1.14,0.08,2.96,31.04,68.96,0.00,2.27,45.41,1.13,0.10,2.50,26.62,73.38,0.00,2.26,45.21,1.17,0.05,1.83,26.58,73.42,0.00,2.34,46.78,1.17,0.07,1.93,26.76,73.24,0.00,2.34,46.89
2025-05-16,16:50:31.335,29.13,70.86,0.00,29.13,70.86,0.00,1.18,0.07,2.17,31.29,68.69,0.00,2.37,47.35,1.13,0.05,3.18,32.84,67.16,0.00,2.25,45.06,1.14,0.05,2.92,31.68,68.32,0.00,2.28,45.61,1.17,0.07,1.88,25.87,74.13,0.00,2.34,46.84,1.20,0.06,1.90,31.45,68.53,0.00,2.39,47.84,1.11,0.05,2.66,26.76,73.24,0.00,2.22,44.37,1.15,0.04,2.16,26.24,73.76,0.00,2.30,46.07,1.18,0.05,1.89,26.93,73.07,0.00,2.37,47.39
2025-05-16,16:50:36.334,28.80,71.20,0.00,28.80,71.20,0.00,1.16,0.07,2.37,30.88,69.12,0.00,2.33,46.57,1.18,0.07,2.57,31.52,68.48,0.00,2.36,47.27,1.14,0.07,3.25,32.69,67.31,0.00,2.28,45.69,1.14,0.06,2.24,25.85,74.15,0.00,2.28,45.55,1.16,0.07,2.62,30.90,69.10,0.00,2.32,46.33,1.17,0.05,1.89,25.52,74.48,0.00,2.35,46.91,1.13,0.06,2.47,26.43,73.57,0.00,2.27,45.34,1.16,0.05,2.26,26.59,73.41,0.00,2.32,46.43
2025-05-16,16:50:41.334,28.84,71.16,0.00,28.84,71.16,0.00,1.14,0.07,3.18,31.46,68.54,0.00,2.28,45.69,1.17,0.07,2.42,31.90,68.10,0.00,2.35,46.91,1.17,0.06,2.71,31.40,68.60,0.00,2.33,46.61,1.15,0.07,2.29,25.91,74.09,0.00,2.30,46.10,1.16,0.06,2.57,31.62,68.38,0.00,2.33,46.59,1.16,0.05,2.20,25.99,74.01,0.00,2.31,46.23,1.16,0.07,2.10,25.99,74.01,0.00,2.33,46.57,1.16,0.05,2.28,26.47,73.53,0.00,2.32,46.40
2025-05-16,16:50:46.336,28.25,71.74,0.00,28.25,71.74,0.00,1.14,0.06,3.14,31.26,68.74,0.00,2.29,45.78,1.17,0.07,2.54,30.44,69.53,0.00,2.35,46.90,1.17,0.06,2.19,30.51,69.49,0.00,2.35,46.97,1.15,0.06,2.51,26.06,73.94,0.00,2.30,45.96,1.16,0.05,2.60,30.88,69.12,0.00,2.33,46.53,1.17,0.07,1.83,25.16,74.81,0.00,2.34,46.90,1.15,0.06,2.18,25.34,74.66,0.00,2.31,46.15,1.16,0.05,2.41,26.33,73.67,0.00,2.32,46.32
2025-05-16,16:50:51.338,28.48,71.51,0.00,28.48,71.51,0.00,1.17,0.07,2.29,29.95,70.05,0.00,2.34,46.76,1.17,0.06,2.39,30.91,69.05,0.00,2.34,46.75,1.15,0.06,3.12,31.73,68.27,0.00,2.29,45.83,1.15,0.06,2.58,26.34,73.66,0.00,2.30,45.91,1.18,0.08,2.59,30.79,69.21,0.00,2.35,47.01,1.17,0.06,2.04,25.56,74.40,0.00,2.34,46.74,1.15,0.05,2.45,26.26,73.74,0.00,2.30,46.07,1.16,0.07,2.45,26.32,73.68,0.00,2.31,46.22
