System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-16,18:15:33.788,2.50,83.85,0.00,2.50,83.85,0.00,0.82,0.18,10.61,2.50,84.08,0.00,1.65,32.91,0.82,0.15,11.70,2.59,82.27,0.00,1.64,32.76,0.85,0.18,11.03,2.55,83.57,0.00,1.69,33.88,0.84,0.20,10.66,2.55,85.30,0.00,1.68,33.64,0.79,0.22,11.22,2.41,84.17,0.00,1.58,31.66,0.80,0.17,10.70,2.34,82.52,0.00,1.59,31.85,0.85,0.20,11.53,2.64,83.48,0.00,1.71,34.17,0.84,0.17,10.13,2.40,85.45,0.00,1.68,33.60
2025-05-16,18:15:38.791,4.80,95.20,0.00,4.80,95.20,0.00,0.82,0.37,9.59,4.66,95.34,0.00,1.63,32.67,0.87,0.34,10.58,5.14,94.86,0.00,1.74,34.70,0.86,0.31,9.85,4.83,95.17,0.00,1.71,34.21,0.84,0.30,10.47,4.62,95.38,0.00,1.68,33.69,0.82,0.32,9.85,4.64,95.36,0.00,1.65,32.95,0.86,0.36,9.69,4.95,95.05,0.00,1.73,34.55,0.86,0.39,10.61,4.94,95.06,0.00,1.73,34.56,0.82,0.36,9.83,4.65,95.35,0.00,1.64,32.88
2025-05-16,18:15:43.793,4.77,95.23,0.00,4.77,95.23,0.00,0.85,0.36,10.74,4.83,95.17,0.00,1.70,33.92,0.86,0.39,10.36,5.05,94.95,0.00,1.72,34.40,0.84,0.32,9.98,4.61,95.39,0.00,1.69,33.71,0.83,0.34,10.35,4.59,95.41,0.00,1.66,33.20,0.82,0.29,8.67,4.59,95.41,0.00,1.64,32.81,0.87,0.37,10.14,5.14,94.86,0.00,1.74,34.87,0.86,0.27,8.96,4.71,95.29,0.00,1.72,34.40,0.81,0.42,10.97,4.64,95.36,0.00,1.62,32.43
2025-05-16,18:15:48.789,4.81,95.19,0.00,4.81,95.19,0.00,0.83,0.35,10.80,4.83,95.17,0.00,1.66,33.14,0.85,0.34,8.99,4.94,95.06,0.00,1.69,33.86,0.86,0.38,11.09,4.79,95.21,0.00,1.71,34.28,0.85,0.34,9.79,4.75,95.25,0.00,1.70,33.94,0.84,0.28,9.97,4.76,95.24,0.00,1.68,33.55,0.84,0.39,10.08,4.90,95.10,0.00,1.68,33.69,0.82,0.39,10.21,4.70,95.30,0.00,1.64,32.81,0.86,0.34,9.99,4.82,95.18,0.00,1.71,34.21
2025-05-16,18:15:53.808,4.80,95.20,0.00,4.80,95.20,0.00,0.85,0.27,8.93,4.79,95.21,0.00,1.71,34.12,0.86,0.44,9.85,5.16,94.84,0.00,1.73,34.51,0.83,0.30,10.31,4.57,95.43,0.00,1.65,33.07,0.84,0.36,10.32,4.64,95.36,0.00,1.67,33.49,0.81,0.34,9.89,4.66,95.34,0.00,1.61,32.30,0.87,0.39,10.70,5.24,94.76,0.00,1.73,34.65,0.81,0.38,9.57,4.58,95.42,0.00,1.63,32.56,0.84,0.37,10.10,4.80,95.20,0.00,1.68,33.66
2025-05-16,18:15:58.793,4.85,95.15,0.00,4.85,95.15,0.00,0.84,0.30,9.48,4.87,95.13,0.00,1.69,33.73,0.85,0.29,9.99,4.86,95.14,0.00,1.69,33.89,0.87,0.37,10.79,4.88,95.12,0.00,1.73,34.63,0.83,0.33,9.06,4.75,95.25,0.00,1.66,33.18,0.81,0.37,10.39,4.79,95.21,0.00,1.63,32.56,0.82,0.38,10.26,4.83,95.17,0.00,1.63,32.61,0.85,0.36,9.48,4.84,95.16,0.00,1.70,33.95,0.87,0.36,10.47,4.94,95.06,0.00,1.73,34.62
2025-05-16,18:16:03.792,4.82,95.18,0.00,4.82,95.18,0.00,0.84,0.35,10.09,4.87,95.13,0.00,1.68,33.57,0.86,0.38,9.96,5.02,94.98,0.00,1.73,34.55,0.86,0.35,9.28,4.74,95.26,0.00,1.73,34.53,0.82,0.33,10.23,4.69,95.31,0.00,1.64,32.86,0.82,0.37,10.21,4.91,95.09,0.00,1.65,32.92,0.85,0.32,10.38,5.03,94.97,0.00,1.71,34.19,0.84,0.34,9.67,4.72,95.28,0.00,1.68,33.60,0.84,0.33,9.14,4.61,95.39,0.00,1.69,33.70
2025-05-16,18:16:08.792,4.84,95.16,0.00,4.84,95.16,0.00,0.81,0.29,9.59,4.60,95.40,0.00,1.62,32.49,0.83,0.35,10.15,4.85,95.15,0.00,1.67,33.34,0.86,0.38,9.54,4.94,95.06,0.00,1.71,34.27,0.89,0.35,10.45,5.19,94.81,0.00,1.78,35.68,0.82,0.37,9.97,4.66,95.34,0.00,1.65,32.94,0.82,0.36,10.19,4.72,95.28,0.00,1.65,32.96,0.86,0.37,9.75,4.93,95.07,0.00,1.71,34.25,0.83,0.39,9.12,4.87,95.13,0.00,1.67,33.36
2025-05-16,18:16:13.789,4.83,95.17,0.00,4.83,95.17,0.00,0.87,0.37,9.09,5.11,94.89,0.00,1.75,35.00,0.82,0.33,10.30,4.67,95.33,0.00,1.65,32.92,0.84,0.33,9.54,4.74,95.26,0.00,1.68,33.67,0.86,0.36,10.20,4.87,95.13,0.00,1.71,34.21,0.85,0.41,9.73,5.08,94.92,0.00,1.71,34.11,0.81,0.30,9.60,4.59,95.41,0.00,1.62,32.45,0.83,0.34,10.38,4.72,95.28,0.00,1.67,33.32,0.84,0.41,10.19,4.88,95.12,0.00,1.67,33.47
2025-05-16,18:16:18.792,4.83,95.17,0.00,4.83,95.17,0.00,0.87,0.33,8.89,4.98,95.02,0.00,1.74,34.76,0.85,0.37,10.56,4.94,95.06,0.00,1.70,34.09,0.82,0.34,9.55,4.66,95.34,0.00,1.64,32.71,0.89,0.30,10.44,5.10,94.90,0.00,1.77,35.48,0.86,0.33,9.48,4.96,95.04,0.00,1.72,34.34,0.80,0.32,10.26,4.53,95.47,0.00,1.59,31.90,0.82,0.33,10.51,4.56,95.44,0.00,1.64,32.76,0.84,0.35,9.18,4.88,95.12,0.00,1.68,33.69
