System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-16,19:08:55.556,4.90,94.98,0.00,4.90,94.98,0.00,0.60,0.06,0.33,4.45,95.55,0.00,1.20,23.97,0.69,0.07,0.19,5.13,94.39,0.00,1.37,27.47,0.70,0.14,0.40,10.55,89.45,0.00,1.39,27.81,0.68,0.08,0.14,4.94,95.06,0.00,1.35,27.07,0.63,0.08,0.14,4.25,95.75,0.00,1.27,25.38,0.54,0.07,0.20,3.10,96.42,0.00,1.08,21.51,0.55,0.06,0.22,3.12,96.88,0.00,1.11,22.12,0.55,0.06,0.31,3.65,96.35,0.00,1.11,22.14
2025-05-16,19:09:00.554,6.27,93.73,0.00,6.27,93.73,0.00,0.54,0.06,0.60,5.18,94.82,0.00,1.08,21.63,0.61,0.07,0.51,5.46,94.54,0.00,1.21,24.27,0.61,0.16,0.98,11.51,88.49,0.00,1.23,24.52,0.66,0.13,0.17,6.13,93.87,0.00,1.32,26.49,0.64,0.10,0.36,5.86,94.14,0.00,1.28,25.56,0.63,0.09,0.36,5.22,94.78,0.00,1.25,25.06,0.59,0.08,0.49,5.44,94.56,0.00,1.17,23.41,0.49,0.04,0.89,5.33,94.67,0.00,0.99,19.74
2025-05-16,19:09:05.554,6.28,93.72,0.00,6.28,93.72,0.00,0.56,0.08,0.64,5.74,94.26,0.00,1.13,22.51,0.66,0.08,0.42,5.70,94.30,0.00,1.31,26.23,0.56,0.15,1.24,11.08,88.92,0.00,1.12,22.36,0.50,0.04,0.83,5.14,94.86,0.00,1.00,20.03,0.60,0.10,0.45,5.98,94.02,0.00,1.21,24.15,0.58,0.08,0.44,4.79,95.21,0.00,1.16,23.25,0.62,0.10,0.37,5.70,94.30,0.00,1.24,24.79,0.67,0.12,0.18,6.12,93.88,0.00,1.33,26.64
2025-05-16,19:09:10.554,6.28,93.72,0.00,6.28,93.72,0.00,0.69,0.13,0.17,6.12,93.88,0.00,1.39,27.77,0.70,0.10,0.33,5.92,94.08,0.00,1.41,28.13,0.52,0.09,1.67,10.42,89.58,0.00,1.04,20.85,0.48,0.06,0.75,5.31,94.69,0.00,0.97,19.35,0.53,0.04,0.89,5.39,94.61,0.00,1.06,21.12,0.58,0.05,0.69,4.86,95.14,0.00,1.16,23.21,0.70,0.12,0.17,6.12,93.88,0.00,1.39,27.89,0.66,0.12,0.16,6.12,93.88,0.00,1.32,26.42
2025-05-16,19:09:15.556,6.14,93.86,0.00,6.14,93.86,0.00,0.63,0.08,0.54,5.84,94.16,0.00,1.26,25.24,0.71,0.11,0.24,6.00,94.00,0.00,1.41,28.29,0.54,0.09,1.59,9.82,90.18,0.00,1.08,21.56,0.52,0.07,0.53,5.41,94.59,0.00,1.05,20.99,0.61,0.08,0.46,5.24,94.76,0.00,1.22,24.47,0.56,0.05,0.72,5.06,94.94,0.00,1.12,22.47,0.70,0.10,0.28,5.76,94.24,0.00,1.40,27.99,0.63,0.10,0.26,5.98,94.02,0.00,1.26,25.16
2025-05-16,19:09:20.555,6.17,93.83,0.00,6.17,93.83,0.00,0.64,0.09,0.45,5.76,94.24,0.00,1.28,25.66,0.74,0.11,0.15,6.13,93.87,0.00,1.47,29.47,0.61,0.15,1.10,10.80,89.20,0.00,1.21,24.24,0.61,0.11,0.22,5.93,94.07,0.00,1.22,24.36,0.60,0.07,0.53,5.24,94.76,0.00,1.20,24.02,0.49,0.05,0.64,4.14,95.86,0.00,0.99,19.74,0.65,0.08,0.51,5.55,94.45,0.00,1.29,25.83,0.53,0.06,0.74,5.78,94.22,0.00,1.06,21.17
2025-05-16,19:09:25.559,6.07,93.93,0.00,6.07,93.93,0.00,0.77,0.09,0.45,5.90,94.10,0.00,1.54,30.73,0.82,0.11,0.27,6.11,93.89,0.00,1.63,32.68,0.78,0.08,1.72,9.38,90.62,0.00,1.57,31.33,0.52,0.08,0.12,6.16,93.84,0.00,1.04,20.89,0.70,0.06,0.58,5.14,94.86,0.00,1.40,28.10,0.62,0.05,0.87,5.06,94.94,0.00,1.24,24.73,0.80,0.04,0.84,4.67,95.33,0.00,1.60,32.07,0.52,0.08,0.12,6.14,93.86,0.00,1.05,20.99
2025-05-16,19:09:30.555,6.20,93.80,0.00,6.20,93.80,0.00,0.60,0.05,1.04,5.77,94.23,0.00,1.20,23.92,0.86,0.11,0.16,6.14,93.86,0.00,1.72,34.46,0.59,0.14,0.68,11.33,88.67,0.00,1.19,23.77,0.69,0.05,0.62,5.16,94.84,0.00,1.37,27.44,0.78,0.13,0.22,6.08,93.92,0.00,1.57,31.37,0.58,0.05,0.80,4.53,95.47,0.00,1.17,23.39,0.58,0.07,0.33,5.63,94.37,0.00,1.16,23.19,0.68,0.05,0.55,4.93,95.07,0.00,1.36,27.27
2025-05-16,19:09:35.555,6.36,93.64,0.00,6.36,93.64,0.00,0.60,0.06,0.73,5.88,94.12,0.00,1.20,24.09,0.76,0.08,0.49,5.95,94.05,0.00,1.53,30.57,0.58,0.15,0.59,12.08,87.92,0.00,1.16,23.21,0.77,0.05,0.85,4.84,95.16,0.00,1.54,30.74,0.71,0.10,0.25,6.08,93.92,0.00,1.41,28.22,0.69,0.07,0.64,5.27,94.73,0.00,1.37,27.44,0.60,0.08,0.25,6.11,93.89,0.00,1.20,23.92,0.79,0.04,0.77,4.68,95.32,0.00,1.58,31.67
2025-05-16,19:09:40.555,6.26,93.74,0.00,6.26,93.74,0.00,0.55,0.07,0.31,5.97,94.03,0.00,1.11,22.10,0.84,0.12,0.16,6.14,93.86,0.00,1.69,33.75,0.63,0.13,1.37,11.69,88.31,0.00,1.26,25.12,0.78,0.04,0.88,4.82,95.18,0.00,1.55,31.05,0.60,0.09,0.16,6.12,93.88,0.00,1.20,24.00,0.62,0.04,0.93,4.99,95.01,0.00,1.24,24.83,0.70,0.09,0.32,5.94,94.06,0.00,1.40,28.01,0.80,0.03,0.77,4.46,95.54,0.00,1.60,31.90
