System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-16,19:50:51.301,2.14,78.57,0.00,2.14,78.57,0.00,0.92,0.02,0.53,2.24,78.59,0.00,1.83,36.69,0.92,0.02,0.53,2.13,79.15,0.00,1.85,36.94,0.99,0.02,0.55,2.12,78.26,0.00,1.98,39.68,0.94,0.02,0.55,2.19,78.16,0.00,1.89,37.77,0.97,0.02,0.61,2.33,78.50,0.00,1.93,38.65,0.95,0.02,0.53,2.18,79.11,0.00,1.90,38.07,0.92,0.02,0.37,1.83,78.56,0.00,1.83,36.65,0.91,0.02,0.46,2.10,78.25,0.00,1.83,36.57
2025-05-16,19:50:56.303,5.38,94.62,0.00,5.38,94.62,0.00,0.97,0.02,1.30,5.45,94.55,0.00,1.94,38.72,0.94,0.02,1.31,5.63,94.37,0.00,1.87,37.40,0.98,0.02,1.37,5.50,94.50,0.00,1.95,39.03,0.95,0.02,1.23,5.39,94.61,0.00,1.90,38.00,0.93,0.02,1.17,5.24,94.76,0.00,1.86,37.12,0.95,0.02,1.29,5.61,94.39,0.00,1.90,37.96,0.93,0.02,1.04,4.97,95.03,0.00,1.85,37.05,0.93,0.02,1.13,5.29,94.71,0.00,1.87,37.39
2025-05-16,19:51:01.302,5.38,94.62,0.00,5.38,94.62,0.00,0.99,0.02,1.16,5.23,94.77,0.00,1.98,39.63,0.94,0.02,1.26,5.63,94.37,0.00,1.88,37.63,1.00,0.02,1.46,5.77,94.23,0.00,2.01,40.20,0.94,0.02,1.24,5.59,94.41,0.00,1.89,37.79,0.92,0.02,0.88,4.67,95.33,0.00,1.84,36.82,0.93,0.02,1.31,5.58,94.42,0.00,1.87,37.39,0.92,0.02,1.03,5.10,94.90,0.00,1.84,36.85,0.93,0.02,1.20,5.43,94.57,0.00,1.86,37.25
2025-05-16,19:51:06.301,5.41,94.59,0.00,5.41,94.59,0.00,0.99,0.02,1.39,5.48,94.52,0.00,1.99,39.75,0.94,0.02,1.22,5.46,94.54,0.00,1.87,37.48,1.00,0.02,1.55,5.81,94.19,0.00,2.01,40.17,0.95,0.02,1.37,5.68,94.32,0.00,1.90,38.01,0.92,0.02,0.98,4.80,95.20,0.00,1.84,36.74,0.92,0.02,1.17,5.35,94.65,0.00,1.84,36.84,0.92,0.02,1.11,5.11,94.89,0.00,1.84,36.70,0.94,0.02,1.31,5.60,94.40,0.00,1.88,37.57
2025-05-16,19:51:11.303,5.40,94.60,0.00,5.40,94.60,0.00,1.02,0.02,1.47,5.73,94.27,0.00,2.04,40.74,0.94,0.02,1.26,5.45,94.55,0.00,1.88,37.66,0.98,0.02,1.36,5.59,94.41,0.00,1.96,39.29,0.94,0.02,1.33,5.58,94.42,0.00,1.88,37.58,0.92,0.02,1.04,4.93,95.07,0.00,1.84,36.90,0.95,0.02,1.21,5.46,94.54,0.00,1.89,37.84,0.92,0.02,0.97,5.02,94.98,0.00,1.85,36.95,0.93,0.02,1.22,5.46,94.54,0.00,1.86,37.26
2025-05-16,19:51:16.303,5.44,94.56,0.00,5.44,94.56,0.00,0.99,0.03,1.32,5.51,94.49,0.00,1.98,39.62,0.94,0.02,1.37,5.75,94.25,0.00,1.88,37.55,1.00,0.02,1.40,5.64,94.36,0.00,1.99,39.89,0.94,0.02,1.35,5.63,94.37,0.00,1.88,37.60,0.92,0.02,0.93,4.74,95.26,0.00,1.84,36.76,0.94,0.02,1.40,5.75,94.25,0.00,1.88,37.66,0.92,0.02,0.99,4.95,95.05,0.00,1.84,36.83,0.93,0.02,1.27,5.52,94.48,0.00,1.86,37.27
2025-05-16,19:51:21.302,5.35,94.65,0.00,5.35,94.65,0.00,0.98,0.03,1.28,5.45,94.55,0.00,1.96,39.21,0.96,0.02,1.38,5.68,94.32,0.00,1.92,38.49,0.97,0.02,1.30,5.45,94.55,0.00,1.94,38.82,0.95,0.02,1.35,5.57,94.43,0.00,1.90,37.95,0.91,0.02,0.98,4.82,95.18,0.00,1.82,36.42,0.94,0.02,1.26,5.56,94.44,0.00,1.89,37.78,0.92,0.02,0.97,4.89,95.11,0.00,1.84,36.85,0.94,0.02,1.19,5.38,94.62,0.00,1.88,37.53
2025-05-16,19:51:26.302,5.40,94.60,0.00,5.40,94.60,0.00,0.98,0.02,1.27,5.39,94.61,0.00,1.97,39.37,0.95,0.02,1.34,5.64,94.36,0.00,1.91,38.19,0.97,0.02,1.34,5.57,94.43,0.00,1.94,38.85,0.95,0.02,1.34,5.79,94.21,0.00,1.91,38.11,0.94,0.02,0.96,4.83,95.17,0.00,1.87,37.41,0.94,0.02,1.18,5.39,94.61,0.00,1.87,37.46,0.94,0.02,1.02,5.08,94.92,0.00,1.88,37.53,0.94,0.01,1.22,5.54,94.46,0.00,1.87,37.46
2025-05-16,19:51:31.303,5.34,94.66,0.00,5.34,94.66,0.00,1.00,0.02,1.40,5.54,94.46,0.00,2.00,40.05,0.96,0.02,1.33,5.52,94.48,0.00,1.92,38.48,0.98,0.02,1.42,5.63,94.37,0.00,1.96,39.14,0.94,0.02,1.35,5.64,94.36,0.00,1.89,37.77,0.91,0.02,0.97,4.79,95.21,0.00,1.83,36.56,0.93,0.02,1.12,5.14,94.86,0.00,1.87,37.37,0.92,0.02,1.08,5.10,94.90,0.00,1.84,36.83,0.93,0.03,1.24,5.40,94.60,0.00,1.87,37.35
2025-05-16,19:51:36.303,5.44,94.56,0.00,5.44,94.56,0.00,0.99,0.02,1.38,5.57,94.43,0.00,1.98,39.59,0.98,0.02,1.55,5.84,94.16,0.00,1.97,39.33,0.95,0.02,1.35,5.55,94.45,0.00,1.91,38.13,0.95,0.02,1.45,5.78,94.22,0.00,1.90,38.08,0.93,0.02,1.01,4.76,95.24,0.00,1.85,37.05,0.93,0.02,1.29,5.50,94.50,0.00,1.86,37.17,0.90,0.02,1.05,4.94,95.06,0.00,1.81,36.15,0.93,0.02,1.30,5.53,94.47,0.00,1.85,37.08
