System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-16,19:53:25.170,2.80,81.78,0.00,2.80,81.78,0.00,0.95,0.01,0.50,2.38,76.90,0.00,1.89,37.86,1.32,0.01,0.45,4.37,95.63,0.00,2.63,52.63,0.99,0.02,0.52,2.43,77.38,0.00,1.97,39.40,0.94,0.02,0.55,2.41,76.82,0.00,1.89,37.71,0.95,0.02,0.52,2.37,76.90,0.00,1.90,37.95,1.31,0.01,0.23,3.70,96.30,0.00,2.63,52.51,0.95,0.02,0.51,2.38,77.43,0.00,1.90,38.03,0.93,0.02,0.54,2.35,76.88,0.00,1.86,37.24
2025-05-16,19:53:30.170,5.55,94.45,0.00,5.55,94.45,0.00,0.98,0.02,1.08,5.54,94.46,0.00,1.97,39.36,1.08,0.02,1.01,5.62,94.38,0.00,2.16,43.26,0.98,0.02,1.11,5.74,94.26,0.00,1.97,39.34,0.97,0.02,1.18,5.71,94.29,0.00,1.95,38.93,0.96,0.03,1.09,5.40,94.60,0.00,1.92,38.50,1.02,0.02,0.79,4.97,95.03,0.00,2.04,40.82,0.97,0.02,1.15,5.74,94.26,0.00,1.94,38.87,0.94,0.02,1.20,5.71,94.29,0.00,1.89,37.77
2025-05-16,19:53:35.169,5.51,94.49,0.00,5.51,94.49,0.00,0.97,0.02,1.20,5.66,94.34,0.00,1.94,38.89,1.05,0.02,1.18,5.55,94.45,0.00,2.10,41.98,0.97,0.02,1.19,5.64,94.36,0.00,1.94,38.89,1.00,0.02,1.08,5.61,94.39,0.00,2.01,40.14,0.97,0.02,1.13,5.47,94.53,0.00,1.94,38.77,0.95,0.02,0.94,4.86,95.14,0.00,1.89,37.89,0.98,0.02,1.18,5.72,94.28,0.00,1.96,39.10,1.00,0.02,1.01,5.54,94.46,0.00,2.00,40.02
2025-05-16,19:53:40.170,5.48,94.52,0.00,5.48,94.52,0.00,1.02,0.02,1.01,5.60,94.40,0.00,2.04,40.76,1.04,0.02,1.19,5.51,94.49,0.00,2.07,41.42,0.99,0.02,1.09,5.53,94.47,0.00,1.98,39.52,0.96,0.02,1.21,5.66,94.34,0.00,1.92,38.38,1.01,0.02,1.04,5.50,94.50,0.00,2.03,40.56,0.96,0.02,0.90,4.85,95.15,0.00,1.91,38.23,1.00,0.02,1.04,5.54,94.46,0.00,2.00,40.00,0.96,0.02,1.18,5.63,94.37,0.00,1.92,38.47
2025-05-16,19:53:45.171,5.49,94.49,0.00,5.49,94.49,0.00,1.01,0.02,1.04,5.61,94.35,0.00,2.01,40.24,1.04,0.02,1.18,5.62,94.38,0.00,2.08,41.67,0.99,0.02,1.08,5.58,94.36,0.00,1.98,39.70,0.95,0.02,1.10,5.42,94.58,0.00,1.90,38.01,1.02,0.02,0.97,5.49,94.47,0.00,2.04,40.74,0.98,0.02,0.87,5.07,94.93,0.00,1.96,39.28,1.01,0.02,1.04,5.68,94.26,0.00,2.02,40.42,0.96,0.02,1.07,5.44,94.56,0.00,1.92,38.45
2025-05-16,19:53:50.172,5.41,94.59,0.00,5.41,94.59,0.00,0.97,0.02,1.20,5.76,94.24,0.00,1.95,38.98,1.06,0.01,1.12,5.42,94.54,0.00,2.12,42.35,1.02,0.01,0.95,5.48,94.52,0.00,2.05,40.91,0.96,0.03,1.13,5.37,94.63,0.00,1.92,38.34,0.97,0.02,1.13,5.61,94.39,0.00,1.94,38.75,1.01,0.02,0.79,4.85,95.12,0.00,2.03,40.55,1.03,0.02,0.92,5.44,94.56,0.00,2.06,41.16,0.96,0.02,1.09,5.32,94.68,0.00,1.91,38.22
2025-05-16,19:53:55.171,5.42,94.58,0.00,5.42,94.58,0.00,0.99,0.02,1.13,5.60,94.38,0.00,1.97,39.50,1.06,0.02,1.06,5.39,94.61,0.00,2.12,42.37,1.00,0.02,1.09,5.68,94.32,0.00,2.00,39.93,0.96,0.02,1.15,5.39,94.61,0.00,1.93,38.59,1.00,0.02,0.98,5.46,94.52,0.00,2.00,40.04,1.02,0.02,0.72,4.77,95.23,0.00,2.04,40.86,0.98,0.02,1.16,5.64,94.36,0.00,1.96,39.18,0.97,0.02,1.12,5.42,94.58,0.00,1.94,38.89
2025-05-16,19:54:00.170,5.39,94.57,0.00,5.39,94.57,0.00,1.00,0.02,1.13,5.56,94.37,0.00,1.99,39.89,1.05,0.02,1.13,5.56,94.44,0.00,2.10,42.10,1.03,0.02,0.90,5.28,94.64,0.00,2.05,41.06,0.96,0.02,1.19,5.60,94.40,0.00,1.92,38.39,1.00,0.02,0.99,5.39,94.53,0.00,2.01,40.14,0.95,0.03,0.91,4.83,95.17,0.00,1.89,37.85,1.04,0.02,0.89,5.33,94.60,0.00,2.07,41.40,0.94,0.03,1.17,5.60,94.40,0.00,1.89,37.71
2025-05-16,19:54:05.172,5.41,94.59,0.00,5.41,94.59,0.00,1.02,0.02,1.10,5.58,94.42,0.00,2.04,40.74,1.03,0.02,1.28,5.62,94.38,0.00,2.07,41.37,1.00,0.02,1.04,5.51,94.49,0.00,2.00,39.98,0.95,0.02,1.22,5.54,94.46,0.00,1.90,37.96,1.01,0.02,0.96,5.19,94.81,0.00,2.02,40.47,0.98,0.02,0.79,4.63,95.37,0.00,1.96,39.14,1.01,0.02,1.01,5.56,94.44,0.00,2.03,40.54,0.95,0.02,1.22,5.62,94.38,0.00,1.89,37.89
2025-05-16,19:54:10.171,5.41,94.59,0.00,5.41,94.59,0.00,0.99,0.02,1.15,5.62,94.38,0.00,1.98,39.64,1.05,0.02,1.16,5.58,94.42,0.00,2.11,42.18,1.00,0.02,1.07,5.54,94.46,0.00,2.00,40.00,0.99,0.02,1.05,5.32,94.68,0.00,1.97,39.41,0.98,0.02,1.14,5.59,94.41,0.00,1.96,39.30,1.01,0.01,0.73,4.82,95.18,0.00,2.02,40.33,0.99,0.02,1.09,5.55,94.45,0.00,1.98,39.67,0.99,0.02,1.05,5.26,94.74,0.00,1.97,39.48
