System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-17,18:09:14.822,5.55,88.52,0.00,5.55,88.52,0.00,0.40,3.44,8.44,3.94,91.14,0.00,0.81,16.13,0.48,2.13,8.70,3.64,90.99,0.00,0.95,19.08,0.42,2.40,9.06,3.59,88.88,0.00,0.83,16.67,0.43,2.83,8.00,3.83,90.28,0.00,0.85,17.04,0.42,5.44,17.09,7.61,87.47,0.00,0.85,16.95,0.47,4.65,17.03,7.44,87.19,0.00,0.93,18.62,0.44,4.62,15.44,7.07,85.40,0.00,0.87,17.42,0.43,4.74,16.47,7.27,86.84,0.00,0.86,17.27
2025-05-17,18:09:19.822,8.63,91.37,0.00,8.63,91.37,0.00,0.55,2.38,6.25,5.72,94.28,0.00,1.10,22.07,0.55,2.34,6.28,5.75,94.25,0.00,1.11,22.16,0.55,2.48,6.14,5.69,94.31,0.00,1.10,22.01,0.56,2.33,6.61,5.75,94.25,0.00,1.13,22.60,0.57,4.74,13.50,11.46,88.54,0.00,1.14,22.77,0.55,5.74,13.78,11.44,88.56,0.00,1.09,21.83,0.52,6.04,13.83,11.61,88.39,0.00,1.05,20.90,0.53,5.38,12.40,11.62,88.38,0.00,1.07,21.32
2025-05-17,18:09:24.825,8.64,91.36,0.00,8.64,91.36,0.00,0.54,2.56,6.19,5.76,94.24,0.00,1.08,21.60,0.52,2.87,6.79,5.71,94.29,0.00,1.04,20.82,0.52,2.88,6.50,5.75,94.25,0.00,1.05,20.94,0.52,2.55,6.35,5.70,94.30,0.00,1.05,20.96,0.53,4.98,12.23,11.52,88.48,0.00,1.06,21.17,0.54,4.89,11.66,11.46,88.54,0.00,1.08,21.66,0.54,5.26,11.46,11.55,88.45,0.00,1.08,21.55,0.53,5.14,13.41,11.63,88.37,0.00,1.07,21.35
2025-05-17,18:09:29.821,8.70,91.30,0.00,8.70,91.30,0.00,0.47,3.22,6.47,5.84,94.16,0.00,0.93,18.65,0.49,2.75,6.41,5.79,94.21,0.00,0.98,19.51,0.50,2.41,5.77,5.83,94.17,0.00,1.01,20.19,0.47,2.82,5.74,5.67,94.33,0.00,0.94,18.86,0.47,6.09,12.80,11.57,88.43,0.00,0.94,18.71,0.52,4.87,12.76,11.33,88.67,0.00,1.04,20.76,0.49,5.32,12.14,11.81,88.19,0.00,0.97,19.45,0.47,6.06,12.77,11.78,88.22,0.00,0.94,18.87
2025-05-17,18:09:34.822,8.69,91.31,0.00,8.69,91.31,0.00,0.52,2.31,6.38,5.65,94.35,0.00,1.04,20.81,0.52,2.32,5.65,5.81,94.19,0.00,1.04,20.72,0.46,3.09,6.14,5.81,94.19,0.00,0.92,18.39,0.48,2.98,6.58,5.88,94.12,0.00,0.95,19.04,0.49,6.21,13.50,11.70,88.30,0.00,0.99,19.79,0.48,6.21,13.13,11.30,88.70,0.00,0.95,19.05,0.50,5.34,12.47,11.72,88.28,0.00,0.99,19.90,0.48,5.83,13.21,11.65,88.35,0.00,0.96,19.10
2025-05-17,18:09:39.823,8.63,91.37,0.00,8.63,91.37,0.00,0.52,2.67,5.92,5.73,94.27,0.00,1.05,20.91,0.53,2.50,6.34,5.79,94.21,0.00,1.05,21.09,0.50,2.86,6.35,5.85,94.15,0.00,1.00,20.05,0.51,2.92,6.23,5.82,94.18,0.00,1.02,20.49,0.52,5.65,12.61,11.62,88.38,0.00,1.03,20.69,0.52,5.64,12.91,11.11,88.89,0.00,1.04,20.75,0.53,4.74,12.16,11.59,88.41,0.00,1.07,21.39,0.52,4.63,12.73,11.50,88.50,0.00,1.04,20.86
2025-05-17,18:09:44.823,8.64,91.36,0.00,8.64,91.36,0.00,0.49,3.21,6.25,5.73,94.27,0.00,0.97,19.45,0.51,2.69,6.57,5.83,94.17,0.00,1.02,20.42,0.50,2.60,6.19,5.89,94.11,0.00,0.99,19.81,0.49,2.65,6.10,5.75,94.25,0.00,0.98,19.51,0.50,4.64,12.54,11.39,88.61,0.00,0.99,19.84,0.52,4.79,12.51,11.12,88.88,0.00,1.05,20.90,0.51,5.08,11.83,11.71,88.29,0.00,1.03,20.59,0.49,5.72,12.44,11.66,88.34,0.00,0.99,19.74
2025-05-17,18:09:49.822,8.64,91.36,0.00,8.64,91.36,0.00,0.52,2.68,6.85,5.76,94.24,0.00,1.04,20.77,0.53,2.51,6.45,5.76,94.24,0.00,1.07,21.34,0.51,2.37,5.67,5.77,94.23,0.00,1.02,20.39,0.53,2.46,5.71,5.76,94.24,0.00,1.06,21.30,0.53,5.12,11.89,11.54,88.46,0.00,1.06,21.16,0.52,4.89,12.12,11.23,88.77,0.00,1.05,20.91,0.53,4.94,12.91,11.57,88.43,0.00,1.05,21.10,0.50,5.76,13.23,11.70,88.30,0.00,1.00,20.01
2025-05-17,18:09:54.822,8.70,91.30,0.00,8.70,91.30,0.00,0.49,2.61,5.68,5.82,94.18,0.00,0.98,19.54,0.49,2.69,6.10,5.76,94.24,0.00,0.98,19.51,0.44,3.10,6.50,5.87,94.13,0.00,0.89,17.78,0.44,3.11,6.93,5.72,94.28,0.00,0.87,17.44,0.47,5.21,13.01,11.57,88.43,0.00,0.93,18.66,0.51,4.42,11.75,11.31,88.69,0.00,1.02,20.38,0.49,4.76,11.53,11.82,88.18,0.00,0.97,19.50,0.46,5.73,11.65,11.71,88.29,0.00,0.93,18.57
2025-05-17,18:09:59.821,8.56,91.44,0.00,8.56,91.44,0.00,0.55,2.70,6.28,5.72,94.28,0.00,1.09,21.83,0.55,2.56,6.53,5.67,94.33,0.00,1.10,22.01,0.54,2.95,6.51,5.72,94.28,0.00,1.08,21.63,0.56,2.47,5.88,5.67,94.33,0.00,1.13,22.56,0.57,4.87,12.59,11.43,88.57,0.00,1.13,22.63,0.57,4.85,12.63,11.29,88.71,0.00,1.15,22.99,0.55,5.44,13.42,11.38,88.62,0.00,1.11,22.17,0.53,5.72,13.31,11.56,88.44,0.00,1.06,21.29
