System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-05-17,18:23:19.902,9.33,75.57,0.00,9.33,75.57,0.00,0.89,0.03,0.77,2.21,97.79,0.00,1.78,35.59,0.89,0.15,2.88,12.29,67.43,0.00,1.79,35.79,0.89,0.13,2.70,11.54,69.16,0.00,1.77,35.46,0.89,0.14,2.24,10.48,68.69,0.00,1.77,35.46,1.94,0.05,0.25,30.89,69.11,0.00,3.88,77.51,0.91,0.03,0.56,2.44,77.29,0.00,1.82,36.31,0.90,0.03,0.57,2.44,78.26,0.00,1.81,36.17,0.93,0.03,0.56,2.37,76.81,0.00,1.86,37.26
2025-05-17,18:23:24.902,16.72,83.28,0.00,16.72,83.28,0.00,1.15,0.03,1.22,5.43,94.57,0.00,2.31,46.17,0.91,0.17,6.28,28.62,71.38,0.00,1.82,36.49,0.92,0.17,5.99,27.64,72.36,0.00,1.84,36.73,0.90,0.20,5.19,25.38,74.62,0.00,1.80,35.94,1.49,0.10,2.82,29.99,70.01,0.00,2.98,59.63,0.91,0.03,1.20,5.60,94.40,0.00,1.82,36.34,0.92,0.03,1.16,5.56,94.44,0.00,1.84,36.86,0.94,0.04,1.28,5.54,94.46,0.00,1.88,37.67
2025-05-17,18:23:29.902,16.81,83.19,0.00,16.81,83.19,0.00,1.03,0.03,1.20,5.29,94.71,0.00,2.06,41.18,0.92,0.17,7.19,28.52,71.48,0.00,1.84,36.70,0.91,0.19,6.14,27.97,72.03,0.00,1.83,36.54,0.91,0.22,5.29,25.91,74.09,0.00,1.82,36.47,1.39,0.12,3.05,29.83,70.17,0.00,2.79,55.72,1.16,0.03,0.86,5.88,94.12,0.00,2.31,46.26,0.93,0.03,1.19,5.60,94.40,0.00,1.86,37.17,0.94,0.04,1.23,5.47,94.53,0.00,1.89,37.72
2025-05-17,18:23:34.902,16.74,83.26,0.00,16.74,83.26,0.00,1.32,0.03,0.64,5.79,94.21,0.00,2.64,52.76,0.91,0.18,6.57,28.51,71.49,0.00,1.83,36.52,1.27,0.12,3.54,29.19,70.81,0.00,2.54,50.73,0.91,0.18,5.44,25.36,74.64,0.00,1.82,36.41,0.95,0.16,7.86,28.27,71.73,0.00,1.90,37.90,0.91,0.04,1.31,5.63,94.37,0.00,1.82,36.37,0.92,0.04,1.60,5.59,94.41,0.00,1.83,36.68,0.94,0.04,1.29,5.55,94.45,0.00,1.89,37.73
2025-05-17,18:23:39.902,16.65,83.35,0.00,16.65,83.35,0.00,1.61,0.02,0.23,6.10,93.90,0.00,3.22,64.41,0.92,0.15,6.14,28.54,71.46,0.00,1.84,36.79,0.92,0.19,6.17,28.19,71.81,0.00,1.83,36.61,0.93,0.17,4.86,25.47,74.53,0.00,1.85,37.05,1.00,0.17,8.71,28.19,71.81,0.00,2.00,39.99,0.92,0.03,1.25,5.66,94.34,0.00,1.84,36.70,0.93,0.03,1.21,5.67,94.33,0.00,1.86,37.11,0.95,0.04,1.13,5.36,94.64,0.00,1.89,37.82
2025-05-17,18:23:44.906,16.98,83.02,0.00,16.98,83.02,0.00,0.97,0.04,1.59,5.24,94.76,0.00,1.93,38.63,0.91,0.16,6.00,28.39,71.61,0.00,1.82,36.43,0.92,0.18,5.91,28.01,71.99,0.00,1.84,36.90,0.91,0.21,5.50,26.58,73.42,0.00,1.82,36.41,1.68,0.07,0.47,30.62,69.38,0.00,3.37,67.30,0.92,0.03,1.19,5.75,94.25,0.00,1.84,36.84,0.93,0.03,1.16,5.62,94.38,0.00,1.87,37.35,0.93,0.04,1.23,5.58,94.42,0.00,1.86,37.14
2025-05-17,18:23:49.902,16.71,83.29,0.00,16.71,83.29,0.00,1.42,0.02,0.61,5.73,94.27,0.00,2.83,56.65,0.92,0.16,6.15,28.32,71.68,0.00,1.83,36.66,0.93,0.17,5.87,27.58,72.42,0.00,1.86,37.15,0.91,0.16,5.71,26.73,73.27,0.00,1.83,36.54,1.23,0.14,5.90,28.64,71.36,0.00,2.46,49.10,0.92,0.03,1.18,5.59,94.41,0.00,1.83,36.67,0.93,0.04,1.16,5.56,94.44,0.00,1.87,37.38,0.94,0.03,1.21,5.54,94.46,0.00,1.88,37.68
2025-05-17,18:23:54.903,16.90,83.10,0.00,16.90,83.10,0.00,0.92,0.03,1.14,5.54,94.46,0.00,1.84,36.77,0.92,0.15,5.81,27.99,72.01,0.00,1.85,36.99,1.40,0.12,3.27,29.79,70.21,0.00,2.80,56.08,0.91,0.20,5.55,26.57,73.43,0.00,1.83,36.51,0.92,0.16,6.13,28.41,71.59,0.00,1.83,36.70,0.93,0.03,1.20,5.59,94.41,0.00,1.85,37.05,1.17,0.03,1.25,5.79,94.21,0.00,2.34,46.85,0.93,0.04,1.18,5.54,94.46,0.00,1.85,37.08
2025-05-17,18:23:59.904,16.75,83.25,0.00,16.75,83.25,0.00,0.93,0.02,1.19,5.63,94.37,0.00,1.86,37.13,0.94,0.16,5.07,26.45,73.55,0.00,1.88,37.69,1.27,0.12,5.02,29.24,70.76,0.00,2.53,50.63,0.93,0.18,5.50,27.30,72.70,0.00,1.85,37.08,0.92,0.15,6.12,28.53,71.47,0.00,1.85,36.92,0.94,0.03,1.05,5.37,94.63,0.00,1.89,37.72,1.30,0.02,0.94,5.90,94.10,0.00,2.59,51.86,0.94,0.04,1.14,5.60,94.40,0.00,1.88,37.55
2025-05-17,18:24:04.903,16.77,83.23,0.00,16.77,83.23,0.00,0.90,0.03,1.22,5.64,94.36,0.00,1.80,36.10,0.94,0.17,5.64,27.05,72.95,0.00,1.88,37.65,1.14,0.15,4.24,28.49,71.51,0.00,2.28,45.63,0.93,0.19,7.92,27.08,72.92,0.00,1.86,37.28,0.92,0.18,6.55,28.99,71.01,0.00,1.84,36.84,0.94,0.03,1.09,5.40,94.60,0.00,1.88,37.60,0.92,0.03,1.44,5.67,94.33,0.00,1.85,36.95,1.42,0.02,0.34,5.84,94.16,0.00,2.83,56.64
