System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-06-17,00:38:47.371,0.74,4.25,159.89,5.71,1.72,1.49,29.71,1.95,79.89,0.00,99.54,0.02
2025-06-17,00:38:52.374,0.74,4.34,164.53,5.93,1.78,1.49,29.79,2.03,81.68,0.00,99.55,0.01
2025-06-17,00:38:57.371,0.74,4.34,161.49,5.96,1.74,1.48,29.52,2.02,80.22,0.00,99.62,0.01
2025-06-17,00:39:02.375,0.75,4.13,157.22,6.20,1.61,1.51,30.18,2.04,82.29,0.00,99.51,0.00
2025-06-17,00:39:07.373,0.76,4.08,164.39,6.03,1.86,1.52,30.36,2.03,82.81,0.00,99.70,0.01
2025-06-17,00:39:12.372,0.74,4.31,159.60,5.97,1.82,1.48,29.52,2.03,83.80,0.00,99.80,0.00
2025-06-17,00:39:17.373,0.79,4.23,159.28,6.41,1.77,1.58,31.50,2.06,80.32,0.00,99.59,0.01
2025-06-17,00:39:22.375,0.76,4.02,166.36,6.05,1.93,1.52,30.35,2.05,80.69,0.00,99.67,0.01
2025-06-17,00:39:27.377,0.74,4.16,165.86,5.24,1.83,1.48,29.57,1.83,70.26,0.00,99.53,0.01
2025-06-17,00:39:17.373,0.79,4.23,159.28,6.41,1.77,1.58,31.50,2.06,80.32,0.00,99.59,0.01
2025-06-17,00:39:22.375,0.76,4.02,166.36,6.05,1.93,1.52,30.35,2.05,80.69,0.00,99.67,0.01
2025-06-17,00:39:27.377,0.74,4.16,165.86,5.24,1.83,1.48,29.57,1.83,70.26,0.00,99.53,0.01
