System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-16,16:18:03.471,0.97,0.14,3.56,2.17,0.49,1.94,38.73,1.85,80.43,0.00,96.46,0.13
2025-05-16,16:18:08.470,0.98,0.08,8.12,1.43,0.51,1.95,39.08,4.26,95.74,0.00,100.00,0.00
2025-05-16,16:18:13.471,0.98,0.09,8.10,1.50,0.50,1.96,39.16,4.26,95.74,0.00,100.00,0.00
2025-05-16,16:18:18.470,0.98,0.08,8.09,1.39,0.48,1.95,39.05,4.25,95.75,0.00,100.00,0.00
2025-05-16,16:18:23.470,0.98,0.09,8.22,1.49,0.51,1.95,39.01,4.26,95.74,0.00,100.00,0.00
2025-05-16,16:18:28.471,0.97,0.10,8.31,1.62,0.50,1.95,38.92,4.28,95.72,0.00,100.00,0.00
2025-05-16,16:18:33.503,0.98,0.10,8.23,1.50,0.51,1.95,39.03,4.25,95.75,0.00,100.00,0.00
2025-05-16,16:18:38.470,0.98,0.10,8.24,1.49,0.50,1.95,39.03,4.27,95.73,0.00,100.00,0.00
2025-05-16,16:18:43.471,0.98,0.09,8.14,1.43,0.49,1.95,39.09,4.24,95.76,0.00,100.00,0.00
2025-05-16,16:18:48.471,0.97,0.08,8.31,1.44,0.49,1.95,38.93,4.30,95.70,0.00,100.00,0.00
2025-05-16,16:18:53.471,0.98,0.09,8.13,1.53,0.51,1.96,39.14,4.26,95.74,0.00,100.00,0.00
2025-05-16,16:18:58.471,0.98,0.08,8.21,1.40,0.48,1.95,39.06,4.27,95.73,0.00,100.00,0.00
2025-05-16,16:19:03.472,0.97,0.13,5.26,1.96,0.48,1.95,38.90,2.77,85.68,0.00,97.59,0.01
