System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-16,16:50:06.336,1.23,0.60,8.75,1.44,0.38,2.46,49.15,22.56,72.20,0.00,99.62,0.00
2025-05-16,16:50:11.335,1.14,0.56,21.56,1.29,0.37,2.28,45.57,30.22,69.78,0.00,100.00,0.00
2025-05-16,16:50:16.334,1.15,0.50,20.19,1.27,0.35,2.30,46.10,29.40,70.60,0.00,100.00,0.00
2025-05-16,16:50:21.334,1.15,0.51,20.55,1.16,0.35,2.30,46.01,29.72,70.27,0.00,100.00,0.00
2025-05-16,16:50:26.334,1.15,0.65,19.95,1.49,0.37,2.30,46.06,29.14,70.86,0.00,100.00,0.00
2025-05-16,16:50:31.335,1.16,0.45,18.77,1.21,0.34,2.32,46.32,29.13,70.86,0.00,100.00,0.00
2025-05-16,16:50:36.334,1.16,0.51,19.67,1.30,0.35,2.31,46.27,28.80,71.20,0.00,100.00,0.00
2025-05-16,16:50:41.334,1.16,0.49,19.75,1.31,0.36,2.32,46.40,28.84,71.16,0.00,100.00,0.00
2025-05-16,16:50:46.336,1.16,0.47,19.40,1.27,0.34,2.32,46.44,28.25,71.74,0.00,100.00,0.00
2025-05-16,16:50:51.338,1.16,0.51,19.92,1.24,0.35,2.32,46.42,28.48,71.51,0.00,100.00,0.00
2025-05-16,16:50:56.335,1.16,0.56,20.68,1.30,0.35,2.32,46.35,28.40,71.60,0.00,100.00,0.00
2025-05-16,16:51:01.336,1.16,0.96,20.18,1.80,0.45,2.32,46.49,28.19,71.81,0.00,100.00,0.00
2025-05-16,16:51:06.334,1.01,1.55,25.22,3.48,0.79,2.03,40.57,14.44,73.58,0.00,98.09,0.08
