System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-16,18:57:04.744,0.43,23.85,70.98,35.27,11.87,0.85,17.06,3.67,90.40,0.00,100.00,0.00
2025-05-16,18:57:09.746,0.45,25.77,48.57,37.48,13.04,0.90,18.03,5.41,94.59,0.00,100.00,0.00
2025-05-16,18:57:14.746,0.37,28.19,43.78,39.28,12.04,0.74,14.72,5.61,94.39,0.00,100.00,0.00
2025-05-16,18:57:19.746,0.35,26.98,44.55,38.23,13.10,0.71,14.17,5.63,94.37,0.00,100.00,0.00
2025-05-16,18:57:24.746,0.43,26.02,49.06,37.90,12.50,0.85,17.06,5.42,94.58,0.00,100.00,0.00
2025-05-16,18:57:29.744,0.40,27.30,49.84,39.16,11.82,0.80,16.09,5.52,94.48,0.00,100.00,0.00
2025-05-16,18:57:34.746,0.41,26.81,48.06,38.61,12.07,0.81,16.21,5.54,94.46,0.00,100.00,0.00
2025-05-16,18:57:39.748,0.34,27.26,44.57,38.36,12.87,0.69,13.79,5.56,94.44,0.00,100.00,0.00
2025-05-16,18:57:44.747,0.30,29.81,44.49,40.07,11.02,0.60,12.02,5.78,94.22,0.00,100.00,0.00
2025-05-16,18:57:49.746,0.34,27.97,47.75,39.43,11.93,0.69,13.79,5.56,94.44,0.00,100.00,0.00
2025-05-16,18:57:54.747,0.38,28.00,48.90,39.21,11.77,0.76,15.25,5.54,94.46,0.00,100.00,0.00
2025-05-16,18:57:59.746,0.32,28.59,44.71,38.95,12.36,0.64,12.77,5.70,94.30,0.00,100.00,0.00
2025-05-16,18:58:04.745,0.33,22.46,39.97,33.96,10.09,0.67,13.34,4.74,92.79,0.00,99.65,0.01
