System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-16,19:11:57.722,0.35,1.75,2.85,45.16,21.91,0.70,14.04,14.64,85.36,0.00,100.00,0.00
2025-05-16,19:12:02.721,0.35,1.53,2.51,44.32,21.74,0.69,13.83,14.64,85.36,0.00,100.00,0.00
2025-05-16,19:12:07.725,0.35,1.58,2.74,44.36,21.73,0.69,13.87,14.62,85.38,0.00,100.00,0.00
2025-05-16,19:12:12.721,0.34,1.57,2.69,44.30,21.79,0.68,13.66,14.63,85.37,0.00,100.00,0.00
2025-05-16,19:12:17.721,0.34,1.57,2.68,44.35,21.70,0.68,13.68,14.63,85.37,0.00,100.00,0.00
2025-05-16,19:12:22.721,0.35,1.52,2.66,44.30,21.79,0.69,13.83,14.63,85.37,0.00,100.00,0.00
2025-05-16,19:12:27.721,0.34,1.56,2.63,44.35,21.72,0.68,13.60,14.63,85.37,0.00,100.00,0.00
2025-05-16,19:12:32.721,0.34,1.50,2.54,44.30,21.78,0.69,13.73,14.64,85.36,0.00,100.00,0.00
2025-05-16,19:12:37.721,0.35,1.58,2.73,44.41,21.72,0.69,13.89,14.62,85.38,0.00,100.00,0.00
2025-05-16,19:12:42.721,0.34,1.49,2.50,44.30,21.78,0.68,13.64,14.64,85.36,0.00,100.00,0.00
2025-05-16,19:12:47.721,0.34,1.54,2.56,44.37,21.75,0.69,13.75,14.63,85.37,0.00,100.00,0.00
2025-05-16,19:12:52.721,0.34,1.47,2.42,44.27,21.81,0.68,13.59,14.64,85.36,0.00,100.00,0.00
2025-05-16,19:12:57.723,0.35,1.74,2.90,44.39,21.74,0.70,13.92,15.87,84.13,0.00,100.00,0.00
