System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-16,19:50:51.301,0.94,0.18,4.12,2.51,0.65,1.88,37.65,2.14,78.57,0.00,96.43,0.14
2025-05-16,19:50:56.303,0.95,0.15,9.83,2.12,0.86,1.89,37.85,5.38,94.62,0.00,100.00,0.00
2025-05-16,19:51:01.302,0.95,0.15,9.55,2.19,0.85,1.90,37.98,5.38,94.62,0.00,100.00,0.00
2025-05-16,19:51:06.301,0.95,0.16,10.10,2.17,0.86,1.90,37.96,5.41,94.59,0.00,100.00,0.00
2025-05-16,19:51:11.303,0.95,0.14,9.86,2.24,0.86,1.90,38.07,5.40,94.60,0.00,100.00,0.00
2025-05-16,19:51:16.303,0.95,0.15,10.03,2.08,0.83,1.90,37.93,5.44,94.56,0.00,100.00,0.00
2025-05-16,19:51:21.302,0.95,0.16,9.71,2.27,0.86,1.90,37.92,5.35,94.65,0.00,100.00,0.00
2025-05-16,19:51:26.302,0.95,0.13,9.68,2.10,0.82,1.90,38.06,5.40,94.60,0.00,100.00,0.00
2025-05-16,19:51:31.303,0.95,0.16,9.91,2.29,0.87,1.90,37.99,5.34,94.66,0.00,100.00,0.00
2025-05-16,19:51:36.303,0.95,0.16,10.38,2.23,0.89,1.89,37.87,5.44,94.56,0.00,100.00,0.00
2025-05-16,19:51:41.304,0.95,0.16,10.10,2.14,0.84,1.89,37.83,5.41,94.59,0.00,100.00,0.00
2025-05-16,19:51:46.304,0.95,0.15,9.96,2.11,0.81,1.90,37.93,5.45,94.55,0.00,100.00,0.00
2025-05-16,19:51:51.304,0.95,0.15,10.01,2.20,0.84,1.89,37.84,5.44,94.56,0.00,100.00,0.00
2025-05-16,19:51:56.303,0.96,0.13,9.52,1.81,0.74,1.92,38.31,5.59,94.41,0.00,100.00,0.00
2025-05-16,19:52:01.308,0.95,0.16,9.83,2.38,0.85,1.90,37.95,5.47,94.53,0.00,100.00,0.00
2025-05-16,19:52:06.310,0.94,0.15,9.13,1.95,0.78,1.88,37.66,5.42,94.58,0.00,100.00,0.00
2025-05-16,19:52:11.308,0.95,0.16,9.56,2.19,0.82,1.89,37.90,5.44,94.56,0.00,100.00,0.00
2025-05-16,19:52:16.309,0.95,0.16,9.89,2.18,0.84,1.91,38.13,5.42,94.58,0.00,100.00,0.00
2025-05-16,19:52:21.308,0.95,0.16,9.51,2.20,0.82,1.90,38.02,5.45,94.55,0.00,100.00,0.00
2025-05-16,19:52:26.309,0.94,0.15,9.74,2.10,0.81,1.89,37.76,5.42,94.58,0.00,100.00,0.00
2025-05-16,19:52:31.309,0.94,0.19,6.44,2.38,0.68,1.89,37.73,3.63,84.36,0.00,97.39,0.13
