System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-17,17:26:00.090,1.14,0.46,11.86,1.73,0.52,2.28,45.59,10.24,79.78,0.00,100.00,0.00
2025-05-17,17:26:05.089,1.03,0.53,25.42,1.85,0.70,2.06,41.17,19.14,80.86,0.00,100.00,0.00
2025-05-17,17:26:10.090,1.03,0.43,24.75,1.72,0.66,2.06,41.10,18.83,81.17,0.00,100.00,0.00
2025-05-17,17:26:15.091,1.03,0.48,24.66,1.83,0.69,2.07,41.36,18.86,81.14,0.00,100.00,0.00
2025-05-17,17:26:20.091,1.04,0.43,24.49,1.79,0.68,2.07,41.49,18.83,81.17,0.00,100.00,0.00
2025-05-17,17:26:25.091,1.03,0.48,25.58,1.85,0.72,2.05,41.06,18.63,81.37,0.00,100.00,0.00
2025-05-17,17:26:30.091,1.04,0.50,24.47,2.08,0.71,2.07,41.42,18.58,81.40,0.00,100.00,0.00
2025-05-17,17:26:35.091,1.04,0.50,24.69,1.87,0.72,2.08,41.62,18.53,81.47,0.00,100.00,0.00
2025-05-17,17:26:40.091,1.04,0.45,23.97,1.82,0.70,2.08,41.53,18.46,81.54,0.00,100.00,0.00
2025-05-17,17:26:45.091,1.05,0.43,22.45,1.79,0.68,2.10,41.98,18.26,81.72,0.00,100.00,0.00
2025-05-17,17:26:50.091,1.05,0.46,23.66,1.87,0.71,2.09,41.84,18.41,81.58,0.00,100.00,0.00
2025-05-17,17:26:55.091,1.05,0.42,23.42,1.79,0.68,2.09,41.80,18.45,81.55,0.00,100.00,0.00
2025-05-17,17:27:00.091,1.04,0.40,22.92,1.82,0.69,2.09,41.79,18.53,81.47,0.00,100.00,0.00
2025-05-17,17:27:05.091,1.04,0.52,23.32,1.92,0.74,2.08,41.59,18.31,81.69,0.00,100.00,0.00
2025-05-17,17:27:10.090,1.04,0.48,24.51,1.91,0.73,2.07,41.40,18.59,81.41,0.00,100.00,0.00
2025-05-17,17:27:15.091,1.04,0.49,24.18,1.87,0.71,2.07,41.45,18.73,81.27,0.00,100.00,0.00
2025-05-17,17:27:20.091,1.04,0.46,23.21,1.93,0.73,2.08,41.64,18.40,81.60,0.00,100.00,0.00
2025-05-17,17:27:25.094,1.04,0.54,24.38,2.04,0.77,2.07,41.45,18.53,81.47,0.00,100.00,0.00
2025-05-17,17:27:30.091,1.03,0.53,24.75,2.03,0.77,2.07,41.38,18.65,81.35,0.00,100.00,0.00
2025-05-17,17:27:35.091,1.03,0.50,25.54,2.05,0.78,2.06,41.27,18.67,81.33,0.00,100.00,0.00
2025-05-17,17:27:40.090,1.05,0.54,15.99,2.05,0.62,2.10,42.07,13.96,78.55,0.00,98.95,0.04
