System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-17,18:01:47.801,0.66,14.73,151.00,20.92,8.06,1.31,26.26,4.75,84.55,0.00,100.00,0.00
2025-05-17,18:01:52.802,0.68,20.66,117.33,26.84,10.57,1.35,27.05,8.55,91.45,0.00,100.00,0.00
2025-05-17,18:01:57.802,0.67,22.54,115.80,27.23,10.88,1.34,26.85,8.55,91.45,0.00,100.00,0.00
2025-05-17,18:02:02.802,0.67,20.74,117.76,27.18,10.07,1.35,26.98,8.52,91.48,0.00,100.00,0.00
2025-05-17,18:02:07.802,0.68,19.68,119.62,26.33,10.85,1.35,27.07,8.49,91.51,0.00,100.00,0.00
2025-05-17,18:02:12.801,0.67,20.77,119.08,27.33,10.89,1.34,26.73,8.52,91.48,0.00,100.00,0.00
2025-05-17,18:02:17.801,0.68,19.66,115.25,26.34,10.12,1.37,27.33,8.44,91.56,0.00,100.00,0.00
2025-05-17,18:02:22.805,0.67,21.74,116.00,28.00,9.56,1.34,26.86,8.53,91.47,0.00,100.00,0.00
2025-05-17,18:02:27.802,0.67,21.52,119.44,27.76,10.78,1.33,26.64,8.49,91.51,0.00,100.00,0.00
2025-05-17,18:02:32.803,0.67,22.25,116.19,27.63,9.27,1.34,26.80,8.50,91.50,0.00,100.00,0.00
2025-05-17,18:02:37.801,0.67,21.58,118.71,27.33,11.14,1.33,26.67,8.58,91.42,0.00,100.00,0.00
2025-05-17,18:02:42.804,0.67,22.43,112.48,27.78,9.58,1.34,26.84,8.62,91.38,0.00,100.00,0.00
2025-05-17,18:02:47.805,0.66,22.91,118.58,28.09,9.69,1.33,26.58,8.60,91.40,0.00,100.00,0.00
2025-05-17,18:02:52.801,0.66,21.81,119.01,27.59,11.26,1.33,26.50,8.53,91.47,0.00,100.00,0.00
2025-05-17,18:02:57.804,0.68,19.90,115.35,26.40,9.97,1.36,27.29,8.50,91.50,0.00,100.00,0.00
2025-05-17,18:03:02.801,0.68,20.08,116.24,26.99,10.05,1.36,27.27,8.52,91.48,0.00,100.00,0.00
2025-05-17,18:03:07.801,0.66,21.89,114.51,28.11,10.40,1.32,26.46,8.48,91.52,0.00,100.00,0.00
2025-05-17,18:03:12.802,0.68,20.68,115.08,26.29,10.81,1.37,27.39,8.46,91.54,0.00,100.00,0.00
2025-05-17,18:03:17.802,0.66,22.47,107.77,27.80,11.54,1.32,26.46,8.53,91.47,0.00,100.00,0.00
2025-05-17,18:03:22.801,0.67,22.68,118.99,27.56,10.77,1.34,26.73,8.57,91.43,0.00,100.00,0.00
2025-05-17,18:03:27.802,0.67,16.90,139.02,23.57,7.70,1.33,26.68,6.18,86.63,0.00,100.00,0.00
