System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-05-17,18:30:02.416,1.12,0.32,3.44,50.50,25.24,2.24,44.79,3.29,88.72,0.00,100.00,0.00
2025-05-17,18:30:07.418,0.97,0.39,7.66,44.97,22.42,1.93,38.63,5.70,94.30,0.00,100.00,0.00
2025-05-17,18:30:12.419,0.98,0.37,7.34,44.78,22.26,1.96,39.18,5.63,94.37,0.00,100.00,0.00
2025-05-17,18:30:17.420,0.98,0.38,7.40,45.33,22.61,1.97,39.39,5.62,94.38,0.00,100.00,0.00
2025-05-17,18:30:22.416,0.98,0.40,7.25,44.82,22.26,1.96,39.17,5.65,94.35,0.00,100.00,0.00
2025-05-17,18:30:27.417,0.98,0.39,7.35,45.17,22.40,1.95,39.10,5.65,94.35,0.00,100.00,0.00
2025-05-17,18:30:32.417,0.98,0.39,7.49,44.86,22.24,1.96,39.23,5.59,94.41,0.00,100.00,0.00
2025-05-17,18:30:37.417,0.98,0.39,7.71,44.73,22.24,1.96,39.13,5.60,94.40,0.00,100.00,0.00
2025-05-17,18:30:42.417,0.98,0.38,7.25,44.92,22.31,1.97,39.36,5.57,94.43,0.00,100.00,0.00
2025-05-17,18:30:47.418,0.98,0.38,7.47,44.69,22.24,1.96,39.30,5.62,94.38,0.00,100.00,0.00
2025-05-17,18:30:52.420,0.98,0.38,7.54,44.75,22.20,1.96,39.16,5.59,94.41,0.00,100.00,0.00
2025-05-17,18:30:57.417,0.97,0.38,7.65,44.72,22.28,1.95,38.99,5.65,94.35,0.00,100.00,0.00
2025-05-17,18:31:02.418,0.97,0.40,7.65,45.39,22.56,1.95,38.99,5.64,94.36,0.00,100.00,0.00
2025-05-17,18:31:07.421,0.98,0.38,7.40,45.32,22.57,1.96,39.14,5.62,94.38,0.00,100.00,0.00
2025-05-17,18:31:12.419,0.98,0.38,7.37,45.07,22.39,1.96,39.24,5.66,94.34,0.00,100.00,0.00
2025-05-17,18:31:17.419,0.98,0.42,7.36,42.55,21.11,1.96,39.17,5.69,94.31,0.00,100.00,0.00
2025-05-17,18:31:22.420,0.99,0.42,6.71,42.38,20.99,1.99,39.78,5.63,94.37,0.00,100.00,0.00
2025-05-17,18:31:27.419,0.99,0.42,7.01,42.34,21.00,1.98,39.50,5.64,94.36,0.00,100.00,0.00
2025-05-17,18:31:32.420,0.98,0.44,7.20,42.44,20.97,1.96,39.20,5.61,94.39,0.00,100.00,0.00
2025-05-17,18:31:37.419,0.98,0.39,7.39,44.04,21.87,1.96,39.15,5.64,94.36,0.00,100.00,0.00
2025-05-17,18:31:42.420,1.05,0.34,5.11,48.05,24.04,2.10,41.92,4.36,90.21,0.00,100.00,0.00
